FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
金門縣金沙鎮大洋里4鄰東溪1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,1號,118.45286231548,24.463003423451
金門縣金沙鎮大洋里4鄰東溪1之1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,1之1號,118.45280127248,24.462929090261
金門縣金沙鎮大洋里4鄰東溪1之2號,09020,0902002,0902002-003,4鄰,東溪,,,,,,1之2號,118.45290579389,24.463029150628
金門縣金沙鎮大洋里4鄰東溪2號,09020,0902002,0902002-003,4鄰,東溪,,,,,,2號,118.45272694088,24.463092797682
金門縣金沙鎮大洋里4鄰東溪2之1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,2之1號,118.45206278716,24.463344530716
金門縣金沙鎮大洋里4鄰東溪2之3號,09020,0902002,0902002-003,4鄰,東溪,,,,,,2之3號,118.4529239422,24.463691880571
金門縣金沙鎮大洋里4鄰東溪2之5號,09020,0902002,0902002-003,4鄰,東溪,,,,,,2之5號,118.45238437594,24.463172605112
金門縣金沙鎮大洋里4鄰東溪3號,09020,0902002,0902002-003,4鄰,東溪,,,,,,3號,118.45277926217,24.462817779761
金門縣金沙鎮大洋里4鄰東溪4號,09020,0902002,0902002-003,4鄰,東溪,,,,,,4號,118.45263366226,24.462903372248
金門縣金沙鎮大洋里4鄰東溪5號,09020,0902002,0902002-003,4鄰,東溪,,,,,,5號,118.45241572515,24.462945335966
金門縣金沙鎮大洋里4鄰東溪5之2號,09020,0902002,0902002-003,4鄰,東溪,,,,,,5之2號,118.45234524252,24.463376670824
金門縣金沙鎮大洋里4鄰東溪6號,09020,0902002,0902002-003,4鄰,東溪,,,,,,6號,118.45254160158,24.46282780308
金門縣金沙鎮大洋里4鄰東溪7號,09020,0902002,0902002-003,4鄰,東溪,,,,,,7號,118.45269733948,24.462745927723
金門縣金沙鎮大洋里4鄰東溪10號,09020,0902002,0902002-003,4鄰,東溪,,,,,,10號,118.4525524623,24.462376874984
金門縣金沙鎮大洋里4鄰東溪11號,09020,0902002,0902002-003,4鄰,東溪,,,,,,11號,118.45250646938,24.462322303496
金門縣金沙鎮大洋里4鄰東溪12號,09020,0902002,0902002-003,4鄰,東溪,,,,,,12號,118.45236987034,24.462478409885
金門縣金沙鎮大洋里4鄰東溪12之1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,12之1號,118.45231552888,24.462191658828
金門縣金沙鎮大洋里4鄰東溪13號,09020,0902002,0902002-003,4鄰,東溪,,,,,,13號,118.45198338069,24.462646804654
金門縣金沙鎮大洋里4鄰東溪14號,09020,0902002,0902002-003,4鄰,東溪,,,,,,14號,118.45388034384,24.463676504239
金門縣金沙鎮大洋里4鄰東溪14之1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,14之1號,118.45398481666,24.463777582741
金門縣金沙鎮大洋里4鄰東溪14之2號,09020,0902002,0902002-003,4鄰,東溪,,,,,,14之2號,118.45391294545,24.463828840878
金門縣金沙鎮大洋里4鄰東溪15號,09020,0902002,0902002-003,4鄰,東溪,,,,,,15號,118.45218644763,24.462263724116
金門縣金沙鎮大洋里4鄰東溪15之1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,15之1號,118.45184961912,24.462064099839
金門縣金沙鎮大洋里4鄰東溪16號,09020,0902002,0902002-003,4鄰,東溪,,,,,,16號,118.44350494041,24.464274582374
金門縣金沙鎮大洋里4鄰東溪16之1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,16之1號,118.44362748787,24.464313515657
金門縣金沙鎮大洋里4鄰東溪16之2號,09020,0902002,0902002-003,4鄰,東溪,,,,,,16之2號,118.45229806464,24.461619956747
金門縣金沙鎮大洋里4鄰東溪16之3號,09020,0902002,0902002-003,4鄰,東溪,,,,,,16之3號,118.45177464835,24.46178508541
金門縣金沙鎮大洋里4鄰東溪51號,09020,0902002,0902002-003,4鄰,東溪,,,,,,51號,118.45264569426,24.463789086781
金門縣金沙鎮大洋里4鄰東溪53之1號,09020,0902002,0902002-003,4鄰,東溪,,,,,,53之1號,118.4527054067,24.46386097039
金門縣金沙鎮大洋里4鄰東溪66號,09020,0902002,0902002-003,4鄰,東溪,,,,,,66號,118.45165816969,24.462210437669
金門縣金沙鎮大洋里4鄰東溪101號,09020,0902002,0902002-003,4鄰,東溪,,,,,,101號,118.44323431013,24.468709898795
