FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
金門縣金湖鎮新市里1鄰林森路1號,09020,0902003,0902003-001,1鄰,林森路,,,,,,1號,118.41704427995,24.441136093397
金門縣金湖鎮新市里1鄰林森路1之1號,09020,0902003,0902003-001,1鄰,林森路,,,,,,1之1號,118.41711761227,24.441122413426
金門縣金湖鎮新市里1鄰林森路2號,09020,0902003,0902003-001,1鄰,林森路,,,,,,2號,118.41703937028,24.441388977822
金門縣金湖鎮新市里1鄰林森路2之1號,09020,0902003,0902003-001,1鄰,林森路,,,,,,2之1號,118.41715137413,24.441317967948
金門縣金湖鎮新市里1鄰林森路2之2號,09020,0902003,0902003-001,1鄰,林森路,,,,,,2之2號,118.41693280013,24.441447267826
金門縣金湖鎮新市里1鄰林森路2之3號,09020,0902003,0902003-001,1鄰,林森路,,,,,,2之3號,118.41769516207,24.441380512394
金門縣金湖鎮新市里1鄰林森路3號,09020,0902003,0902003-001,1鄰,林森路,,,,,,3號,118.41699039347,24.441081142974
金門縣金湖鎮新市里1鄰林森路4號,09020,0902003,0902003-001,1鄰,林森路,,,,,,4號,118.41672868796,24.441726722302
金門縣金湖鎮新市里1鄰林森路5號,09020,0902003,0902003-001,1鄰,林森路,,,,,,5號,118.41696160348,24.44118122116
金門縣金湖鎮新市里1鄰林森路6號,09020,0902003,0902003-001,1鄰,林森路,,,,,,6號,118.41657192219,24.441819704699
金門縣金湖鎮新市里1鄰林森路6之1號,09020,0902003,0902003-001,1鄰,林森路,,,,,,6之1號,118.4167433029,24.441600172133
金門縣金湖鎮新市里1鄰林森路6之2號,09020,0902003,0902003-001,1鄰,林森路,,,,,,6之2號,118.41678558806,24.441993015452
金門縣金湖鎮新市里1鄰林森路7號,09020,0902003,0902003-001,1鄰,林森路,,,,,,7號,118.41693168199,24.441212560974
金門縣金湖鎮新市里1鄰林森路9號,09020,0902003,0902003-001,1鄰,林森路,,,,,,9號,118.41689953018,24.441233405033
金門縣金湖鎮新市里1鄰林森路10號,09020,0902003,0902003-001,1鄰,林森路,,,,,,10號,118.41604339979,24.44184030214
金門縣金湖鎮新市里1鄰林森路11號,09020,0902003,0902003-001,1鄰,林森路,,,,,,11號,118.41687192181,24.44126054356
金門縣金湖鎮新市里1鄰林森路12號,09020,0902003,0902003-001,1鄰,林森路,,,,,,12號,118.41554659692,24.442807174044
金門縣金湖鎮新市里1鄰林森路13號,09020,0902003,0902003-001,1鄰,林森路,,,,,,13號,118.41684202342,24.441289781394
金門縣金湖鎮新市里1鄰林森路15號,09020,0902003,0902003-001,1鄰,林森路,,,,,,15號,118.41680297946,24.441312691209
金門縣金湖鎮新市里1鄰林森路17之1號,09020,0902003,0902003-001,1鄰,林森路,,,,,,17之1號,118.41658488165,24.441429258251
金門縣金湖鎮新市里1鄰林森路19號,09020,0902003,0902003-001,1鄰,林森路,,,,,,19號,118.41597284547,24.441869007183
金門縣金湖鎮新市里1鄰林森路21號,09020,0902003,0902003-001,1鄰,林森路,,,,,,21號,118.41593548603,24.441893876465
金門縣金湖鎮新市里1鄰林森路23號,09020,0902003,0902003-001,1鄰,林森路,,,,,,23號,118.41589567405,24.441911900484
金門縣金湖鎮新市里1鄰林森路25號,09020,0902003,0902003-001,1鄰,林森路,,,,,,25號,118.41586946363,24.441942482409
金門縣金湖鎮新市里1鄰林森路27號,09020,0902003,0902003-001,1鄰,林森路,,,,,,27號,118.41585073443,24.441966280628
金門縣金湖鎮新市里1鄰林森路29號,09020,0902003,0902003-001,1鄰,林森路,,,,,,29號,118.41581713109,24.441984338584
金門縣金湖鎮新市里1鄰林森路31號,09020,0902003,0902003-001,1鄰,林森路,,,,,,31號,118.41578104431,24.442002381142
金門縣金湖鎮新市里1鄰林森路33號,09020,0902003,0902003-001,1鄰,林森路,,,,,,33號,118.41574614484,24.442031794893
金門縣金湖鎮新市里1鄰林森路35號,09020,0902003,0902003-001,1鄰,林森路,,,,,,35號,118.41571873372,24.442052142251
金門縣金湖鎮新市里1鄰林森路35之1號,09020,0902003,0902003-001,1鄰,林森路,,,,,,35之1號,118.41563138687,24.441937717308
金門縣金湖鎮新市里1鄰林森路37號,09020,0902003,0902003-001,1鄰,林森路,,,,,,37號,118.41565227122,24.442074483708
金門縣金湖鎮新市里1鄰林森路39號,09020,0902003,0902003-001,1鄰,林森路,,,,,,39號,118.41557489731,24.442114729634
