FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣五結鄉三興村2鄰三吉二路25號,10002,1000209,1000209-001,2鄰,三吉二路,,,,,,25號,121.78689698344,24.703643371366
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄1號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,1號,121.78817884109,24.706685369932
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄1號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,1號,121.7883938366,24.706472258842
宜蘭縣五結鄉大吉村23鄰三吉二路60巷1號,10002,1000209,1000209-009,23鄰,三吉二路,,60巷,,,,1號,121.78750402288,24.70519059648
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄2號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,2號,121.78831186711,24.706544373235
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄2號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,2號,121.78853082381,24.706348304399
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄3號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,3號,121.78842675771,24.706505399838
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄3號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,3號,121.78820889511,24.706718345471
宜蘭縣五結鄉大吉村23鄰三吉二路60巷3號,10002,1000209,1000209-009,23鄰,三吉二路,,60巷,,,,3號,121.78756193813,24.705238051597
宜蘭縣五結鄉大吉村23鄰三吉二路60巷5號,10002,1000209,1000209-009,23鄰,三吉二路,,60巷,,,,5號,121.78762493212,24.705275910162
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄5號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,5號,121.78824083991,24.706753387552
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄5號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,5號,121.7884573036,24.706538011617
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄6號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,6號,121.78856083406,24.706374328403
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄6號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,6號,121.78834985278,24.706581369756
宜蘭縣五結鄉大吉村23鄰三吉二路60巷7號,10002,1000209,1000209-009,23鄰,三吉二路,,60巷,,,,7號,121.78767748081,24.705318608465
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄7號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,7號,121.7882748345,24.706784356178
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄7號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,7號,121.78848722188,24.706565119499
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄8號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,8號,121.78860083823,24.706402286076
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄8號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,8號,121.78837928715,24.706610105274
宜蘭縣五結鄉大吉村23鄰三吉二路60巷9號,10002,1000209,1000209-009,23鄰,三吉二路,,60巷,,,,9號,121.78773523773,24.705356584755
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄9號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,9號,121.7883088166,24.706813338662
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄9號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,9號,121.78852981841,24.706612383865
宜蘭縣五結鄉大吉村21鄰三吉二路80巷13弄10號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,13弄,,,10號,121.78863280182,24.706440307274
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄10號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,10號,121.7884108253,24.70664334382
宜蘭縣五結鄉大吉村23鄰三吉二路60巷11號,10002,1000209,1000209-009,23鄰,三吉二路,,60巷,,,,11號,121.78778775638,24.70539449824
宜蘭縣五結鄉大吉村21鄰三吉二路80巷11弄11號,10002,1000209,1000209-009,21鄰,三吉二路,,80巷,11弄,,,11號,121.78834786443,24.706846357203
