FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣員山鄉永和村11鄰中和路1之2號,10002,1000207,1000207-009,11鄰,中和路,,,,,,1之2號,121.71210655308,24.752527989355
宜蘭縣員山鄉永和村11鄰中和路4號,10002,1000207,1000207-009,11鄰,中和路,,,,,,4號,121.71256052822,24.752472384164
宜蘭縣員山鄉永和村11鄰中和路5號,10002,1000207,1000207-009,11鄰,中和路,,,,,,5號,121.71262644153,24.752675025216
宜蘭縣員山鄉永和村11鄰中和路5之1號,10002,1000207,1000207-009,11鄰,中和路,,,,,,5之1號,121.71257401322,24.752635279505
宜蘭縣員山鄉永和村11鄰中和路6號,10002,1000207,1000207-009,11鄰,中和路,,,,,,6號,121.712796844,24.7526153507
宜蘭縣員山鄉永和村11鄰中和路6之1號,10002,1000207,1000207-009,11鄰,中和路,,,,,,6之1號,121.71268905852,24.752542373632
宜蘭縣員山鄉永和村11鄰中和路7號,10002,1000207,1000207-009,11鄰,中和路,,,,,,7號,121.71291693452,24.752661635882
宜蘭縣員山鄉永和村11鄰中和路8號,10002,1000207,1000207-009,11鄰,中和路,,,,,,8號,121.71300355409,24.752750422607
宜蘭縣員山鄉永和村11鄰中和路9號,10002,1000207,1000207-009,11鄰,中和路,,,,,,9號,121.71317982472,24.753008693791
宜蘭縣員山鄉永和村11鄰中和路9之1號,10002,1000207,1000207-009,11鄰,中和路,,,,,,9之1號,121.71300425203,24.753219254971
宜蘭縣員山鄉永和村11鄰中和路10號,10002,1000207,1000207-009,11鄰,中和路,,,,,,10號,121.71294616781,24.753089344353
宜蘭縣員山鄉永和村11鄰中和路11號,10002,1000207,1000207-009,11鄰,中和路,,,,,,11號,121.71300478592,24.753191535783
宜蘭縣員山鄉永和村12鄰中和路14號,10002,1000207,1000207-009,12鄰,中和路,,,,,,14號,121.71341196868,24.753303804737
宜蘭縣員山鄉永和村12鄰中和路16號,10002,1000207,1000207-009,12鄰,中和路,,,,,,16號,121.71333144111,24.753243157323
宜蘭縣員山鄉永和村12鄰中和路16之1號,10002,1000207,1000207-009,12鄰,中和路,,,,,,16之1號,121.71322579577,24.753389375743
宜蘭縣員山鄉永和村12鄰中和路18號,10002,1000207,1000207-009,12鄰,中和路,,,,,,18號,121.71295633025,24.7533109389
宜蘭縣員山鄉永和村12鄰中和路19號,10002,1000207,1000207-009,12鄰,中和路,,,,,,19號,121.71281827009,24.753390321847
宜蘭縣員山鄉永和村13鄰中和路20號,10002,1000207,1000207-009,13鄰,中和路,,,,,,20號,121.71270812567,24.753510560029
宜蘭縣員山鄉永和村13鄰中和路21號,10002,1000207,1000207-009,13鄰,中和路,,,,,,21號,121.71270168665,24.753664341309
宜蘭縣員山鄉永和村13鄰中和路21之3號,10002,1000207,1000207-009,13鄰,中和路,,,,,,21之3號,121.7123847894,24.753590282025
宜蘭縣員山鄉永和村13鄰中和路22號,10002,1000207,1000207-009,13鄰,中和路,,,,,,22號,121.71272354259,24.753856087105
宜蘭縣員山鄉永和村13鄰中和路23號,10002,1000207,1000207-009,13鄰,中和路,,,,,,23號,121.7129392751,24.75377001494
宜蘭縣員山鄉永和村13鄰中和路25號,10002,1000207,1000207-009,13鄰,中和路,,,,,,25號,121.71327701152,24.753753511043
宜蘭縣員山鄉永和村13鄰中和路26號,10002,1000207,1000207-009,13鄰,中和路,,,,,,26號,121.71360288636,24.753633599445
