FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣員山鄉湖西村16鄰二湖路72巷10弄8號,10002,1000207,1000207-016,16鄰,二湖路,,72巷,10弄,,,8號,121.687759382,24.756186388725
宜蘭縣員山鄉湖西村18鄰二湖路150巷8號,10002,1000207,1000207-016,18鄰,二湖路,,150巷,,,,8號,121.68365297392,24.759141260929
宜蘭縣員山鄉湖西村18鄰二湖路220巷10號,10002,1000207,1000207-016,18鄰,二湖路,,220巷,,,,10號,121.68357220274,24.756016679326
宜蘭縣員山鄉湖西村16鄰二湖路72巷16號,10002,1000207,1000207-016,16鄰,二湖路,,72巷,,,,16號,121.68525250731,24.748771589648
宜蘭縣員山鄉湖西村16鄰二湖路72巷10弄16號,10002,1000207,1000207-016,16鄰,二湖路,,72巷,10弄,,,16號,121.68762319453,24.756322166736
宜蘭縣員山鄉湖西村18鄰二湖路150巷16號,10002,1000207,1000207-016,18鄰,二湖路,,150巷,,,,16號,121.68347739832,24.759054849088
宜蘭縣員山鄉湖西村18鄰二湖路220巷16號,10002,1000207,1000207-016,18鄰,二湖路,,220巷,,,,16號,121.68355700084,24.756147568133
宜蘭縣員山鄉湖西村1鄰二湖路16號,10002,1000207,1000207-016,1鄰,二湖路,,,,,,16號,121.6902389201,24.748450954251
宜蘭縣員山鄉湖西村17鄰二湖路86巷12弄17號,10002,1000207,1000207-016,17鄰,二湖路,,86巷,12弄,,,17號,121.68757772942,24.757887783891
宜蘭縣員山鄉湖西村17鄰二湖路86巷12弄18號,10002,1000207,1000207-016,17鄰,二湖路,,86巷,12弄,,,18號,121.68763596094,24.756899194007
宜蘭縣員山鄉湖西村16鄰二湖路67巷18號,10002,1000207,1000207-016,16鄰,二湖路,,67巷,,,,18號,121.68781691424,24.756130691157
宜蘭縣員山鄉湖西村18鄰二湖路150巷18號,10002,1000207,1000207-016,18鄰,二湖路,,150巷,,,,18號,121.6835412295,24.75908362885
宜蘭縣員山鄉湖西村1鄰二湖路19號,10002,1000207,1000207-016,1鄰,二湖路,,,,,,19號,121.68922528555,24.74694780959
宜蘭縣員山鄉湖西村1鄰二湖路20號,10002,1000207,1000207-016,1鄰,二湖路,,,,,,20號,121.68994397819,24.748749703227
宜蘭縣員山鄉湖西村17鄰二湖路86巷12弄21號,10002,1000207,1000207-016,17鄰,二湖路,,86巷,12弄,,,21號,121.68490275694,24.74859677619
宜蘭縣員山鄉湖西村16鄰二湖路72巷22號,10002,1000207,1000207-016,16鄰,二湖路,,72巷,,,,22號,121.68753693487,24.756260087083
宜蘭縣員山鄉湖西村1鄰二湖路25號,10002,1000207,1000207-016,1鄰,二湖路,,,,,,25號,121.68932426474,24.746861405326
