FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣羅東鎮東安里27鄰傳藝路三段201號,10002,1000202,1000202-005,27鄰,傳藝路,3段,,,,,201號,121.77751244508,24.677982380704
宜蘭縣羅東鎮東安里27鄰傳藝路三段203號,10002,1000202,1000202-005,27鄰,傳藝路,3段,,,,,203號,121.77751250106,24.677991408641
宜蘭縣羅東鎮東安里27鄰傳藝路三段225號,10002,1000202,1000202-005,27鄰,傳藝路,3段,,,,,225號,121.77679101066,24.677959029364
宜蘭縣羅東鎮東安里27鄰傳藝路三段227號,10002,1000202,1000202-005,27鄰,傳藝路,3段,,,,,227號,121.77678090657,24.677922968717
宜蘭縣羅東鎮東安里27鄰傳藝路三段229號,10002,1000202,1000202-005,27鄰,傳藝路,3段,,,,,229號,121.77572510419,24.678154131767
宜蘭縣五結鄉福興村19鄰傳藝路二段9號,10002,1000209,1000209-007,19鄰,傳藝路,2段,,,,,9號,121.79920167853,24.680460878702
宜蘭縣五結鄉福興村19鄰傳藝路二段11號,10002,1000209,1000209-007,19鄰,傳藝路,2段,,,,,11號,121.7988299166,24.68042286191
宜蘭縣五結鄉福興村19鄰傳藝路二段25號,10002,1000209,1000209-007,19鄰,傳藝路,2段,,,,,25號,121.79812863302,24.680338927085
宜蘭縣五結鄉福興村18鄰傳藝路二段92號,10002,1000209,1000209-007,18鄰,傳藝路,2段,,,,,92號,121.79599708937,24.680704597764
宜蘭縣五結鄉福興村18鄰傳藝路二段96號,10002,1000209,1000209-007,18鄰,傳藝路,2段,,,,,96號,121.79579798484,24.680610405568
宜蘭縣五結鄉福興村18鄰傳藝路二段100號,10002,1000209,1000209-007,18鄰,傳藝路,2段,,,,,100號,121.79538276928,24.680497947306
宜蘭縣五結鄉福興村19鄰傳藝路二段105之1號,10002,1000209,1000209-007,19鄰,傳藝路,2段,,,,,105之1號,121.79497480562,24.680048697667
宜蘭縣五結鄉福興村18鄰傳藝路二段156號,10002,1000209,1000209-007,18鄰,傳藝路,2段,,,,,156號,121.79383009827,24.680280458298
宜蘭縣五結鄉福興村20鄰傳藝路二段173號,10002,1000209,1000209-007,20鄰,傳藝路,2段,,,,,173號,121.7919032004,24.679461391622
宜蘭縣五結鄉福興村20鄰傳藝路二段175號,10002,1000209,1000209-007,20鄰,傳藝路,2段,,,,,175號,121.79167557922,24.679435146035
