FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣宜蘭市東門里9鄰力新路16巷1號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,1號,121.75408939939,24.759103560401
宜蘭縣宜蘭市東門里9鄰力新路16巷2號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,2號,121.75399661949,24.75906439374
宜蘭縣宜蘭市東門里9鄰力新路16巷3號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,3號,121.75412274328,24.759091204543
宜蘭縣宜蘭市東門里9鄰力新路16巷4號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,4號,121.75405898649,24.759044579013
宜蘭縣宜蘭市東門里9鄰力新路16巷5號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,5號,121.75415933237,24.759075943329
宜蘭縣宜蘭市東門里9鄰力新路16巷6號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,6號,121.75412801382,24.759014348347
宜蘭縣宜蘭市東門里5鄰力新路7號,10002,1000201,1000201-019,5鄰,力新路,,,,,,7號,121.75346732813,24.758026109293
宜蘭縣宜蘭市東門里5鄰力新路9巷8號,10002,1000201,1000201-019,5鄰,力新路,,9巷,,,,8號,121.75337826813,24.758144555278
宜蘭縣宜蘭市東門里5鄰力新路9巷8之2號,10002,1000201,1000201-019,5鄰,力新路,,9巷,,,,8之2號,121.75337826813,24.758144555278
宜蘭縣宜蘭市東門里5鄰力新路9巷10號,10002,1000201,1000201-019,5鄰,力新路,,9巷,,,,10號,121.75331257133,24.758153191535
宜蘭縣宜蘭市東門里9鄰力新路16巷11號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,11號,121.75423602672,24.759038270925
宜蘭縣宜蘭市東門里5鄰力新路9巷12號,10002,1000201,1000201-019,5鄰,力新路,,9巷,,,,12號,121.75325959849,24.758156798301
宜蘭縣宜蘭市東門里9鄰力新路16巷13號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,13號,121.75426945963,24.759024289517
宜蘭縣宜蘭市東門里5鄰力新路15號,10002,1000201,1000201-019,5鄰,力新路,,,,,,15號,121.75355846888,24.758400139172
宜蘭縣宜蘭市東門里9鄰力新路16巷15號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,15號,121.75431049284,24.759008193358
宜蘭縣宜蘭市東門里9鄰力新路16巷18號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,18號,121.75441810756,24.759080779604
宜蘭縣宜蘭市東門里10鄰力新路18號,10002,1000201,1000201-019,10鄰,力新路,,,,,,18號,121.75398655991,24.759150482761
宜蘭縣宜蘭市東門里5鄰力新路19號,10002,1000201,1000201-019,5鄰,力新路,,,,,,19號,121.75361473504,24.758581863944
宜蘭縣宜蘭市東門里9鄰力新路16巷19號,10002,1000201,1000201-019,9鄰,力新路,,16巷,,,,19號,121.75425334972,24.759189044309
