FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣礁溪鄉大義村10鄰大義路13巷20弄1號,10002,1000205,1000205-005,10鄰,大義路,,13巷,20弄,,,1號,121.77003257939,24.817822789642
宜蘭縣礁溪鄉大義村10鄰大義路13巷1號,10002,1000205,1000205-005,10鄰,大義路,,13巷,,,,1號,121.76958129142,24.817834592045
宜蘭縣礁溪鄉大義村5鄰大義路1號,10002,1000205,1000205-005,5鄰,大義路,,,,,,1號,121.76932496245,24.817893239107
宜蘭縣礁溪鄉大義村9鄰大義路29巷1號,10002,1000205,1000205-005,9鄰,大義路,,29巷,,,,1號,121.76992860941,24.817405415486
宜蘭縣礁溪鄉大義村9鄰大義路33巷1號,10002,1000205,1000205-005,9鄰,大義路,,33巷,,,,1號,121.77020634871,24.817226132391
宜蘭縣礁溪鄉大義村5鄰大義路1之1號,10002,1000205,1000205-005,5鄰,大義路,,,,,,1之1號,121.76936826349,24.817857174909
宜蘭縣礁溪鄉大義村10鄰大義路13巷2號,10002,1000205,1000205-005,10鄰,大義路,,13巷,,,,2號,121.76972274817,24.817675240843
宜蘭縣礁溪鄉大義村9鄰大義路33巷2號,10002,1000205,1000205-005,9鄰,大義路,,33巷,,,,2號,121.77026105519,24.817402981414
宜蘭縣礁溪鄉大義村5鄰大義路2號,10002,1000205,1000205-005,5鄰,大義路,,,,,,2號,121.76920000329,24.817856957043
宜蘭縣礁溪鄉大義村6鄰大義路38巷2號,10002,1000205,1000205-005,6鄰,大義路,,38巷,,,,2號,121.76948932498,24.817054227259
宜蘭縣礁溪鄉大義村7鄰大義路52巷2號,10002,1000205,1000205-005,7鄰,大義路,,52巷,,,,2號,121.77016596431,24.816901871449
宜蘭縣礁溪鄉大義村10鄰大義路13巷20弄3號,10002,1000205,1000205-005,10鄰,大義路,,13巷,20弄,,,3號,121.77007731912,24.817795475063
宜蘭縣礁溪鄉大義村5鄰大義路3號,10002,1000205,1000205-005,5鄰,大義路,,,,,,3號,121.76940392244,24.8178169971
宜蘭縣礁溪鄉大義村9鄰大義路29巷3號,10002,1000205,1000205-005,9鄰,大義路,,29巷,,,,3號,121.76996923211,24.817432200287
宜蘭縣礁溪鄉大義村9鄰大義路33巷3號,10002,1000205,1000205-005,9鄰,大義路,,33巷,,,,3號,121.77020280088,24.817340265489
宜蘭縣礁溪鄉大義村5鄰大義路4號,10002,1000205,1000205-005,5鄰,大義路,,,,,,4號,121.76920210416,24.81784475834
