FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣三星鄉大隱村10鄰大隱一路7號,10002,1000210,1000210-010,10鄰,大隱一路,,,,,,7號,121.71386946136,24.653583350273
宜蘭縣三星鄉大隱村10鄰大隱一路77巷8號,10002,1000210,1000210-010,10鄰,大隱一路,,77巷,,,,8號,121.71041139388,24.653797366753
宜蘭縣三星鄉大隱村10鄰大隱一路92巷9號,10002,1000210,1000210-010,10鄰,大隱一路,,92巷,,,,9號,121.71035414756,24.653998427739
宜蘭縣三星鄉大隱村10鄰大隱一路77巷10號,10002,1000210,1000210-010,10鄰,大隱一路,,77巷,,,,10號,121.71046580438,24.65370619411
宜蘭縣三星鄉大隱村10鄰大隱一路92巷11號,10002,1000210,1000210-010,10鄰,大隱一路,,92巷,,,,11號,121.71035436762,24.65400239917
宜蘭縣三星鄉大隱村10鄰大隱一路77巷12號,10002,1000210,1000210-010,10鄰,大隱一路,,77巷,,,,12號,121.71051672153,24.653608718122
宜蘭縣三星鄉大隱村10鄰大隱一路47巷13號,10002,1000210,1000210-010,10鄰,大隱一路,,47巷,,,,13號,121.71206547698,24.653077112211
宜蘭縣三星鄉大隱村10鄰大隱一路47巷16號,10002,1000210,1000210-010,10鄰,大隱一路,,47巷,,,,16號,121.71180339748,24.653060658139
宜蘭縣三星鄉大隱村10鄰大隱一路47巷21號,10002,1000210,1000210-010,10鄰,大隱一路,,47巷,,,,21號,121.71201145378,24.652957652319
宜蘭縣三星鄉大隱村10鄰大隱一路69巷43弄21號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,43弄,,,21號,121.7123136048,24.652602128919
宜蘭縣三星鄉大隱村10鄰大隱一路47巷23號,10002,1000210,1000210-010,10鄰,大隱一路,,47巷,,,,23號,121.71229645273,24.652747927682
宜蘭縣三星鄉大隱村10鄰大隱一路69巷46弄26號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,46弄,,,26號,121.71109837493,24.652001901008
宜蘭縣三星鄉大隱村10鄰大隱一路47巷29號,10002,1000210,1000210-010,10鄰,大隱一路,,47巷,,,,29號,121.71216448267,24.652575660293
宜蘭縣三星鄉大隱村10鄰大隱一路69巷29號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,29號,121.71174044321,24.652515915129
宜蘭縣三星鄉大隱村10鄰大隱一路23巷36號,10002,1000210,1000210-010,10鄰,大隱一路,,23巷,,,,36號,121.71265672219,24.652972379786
宜蘭縣三星鄉大隱村10鄰大隱一路69巷38號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,38號,121.71160979985,24.652281255081
宜蘭縣三星鄉大隱村10鄰大隱一路69巷40號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,40號,121.71161984684,24.652101814288
宜蘭縣三星鄉大隱村10鄰大隱一路69巷46弄42號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,46弄,,,42號,121.7086992965,24.653816735535
宜蘭縣三星鄉大隱村10鄰大隱一路43號,10002,1000210,1000210-010,10鄰,大隱一路,,,,,,43號,121.71223058959,24.653658296834
宜蘭縣三星鄉大隱村10鄰大隱一路23巷46號,10002,1000210,1000210-010,10鄰,大隱一路,,23巷,,,,46號,121.71276222509,24.652745719476
宜蘭縣三星鄉大隱村10鄰大隱一路69巷48號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,48號,121.71207744163,24.651529145831
宜蘭縣三星鄉大隱村10鄰大隱一路23巷56號,10002,1000210,1000210-010,10鄰,大隱一路,,23巷,,,,56號,121.71266238826,24.652578356014
宜蘭縣三星鄉大隱村10鄰大隱一路23巷58號,10002,1000210,1000210-010,10鄰,大隱一路,,23巷,,,,58號,121.71266238826,24.652578356014
宜蘭縣三星鄉大隱村10鄰大隱一路58號,10002,1000210,1000210-010,10鄰,大隱一路,,,,,,58號,121.71188144294,24.654088887647
宜蘭縣三星鄉大隱村10鄰大隱一路69巷60號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,60號,121.71230639375,24.651923231596
宜蘭縣三星鄉大隱村10鄰大隱一路69巷63號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,63號,121.71272492038,24.652160679154
宜蘭縣三星鄉大隱村10鄰大隱一路69巷66號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,66號,121.71239324131,24.651838585513
宜蘭縣三星鄉大隱村10鄰大隱一路69巷90號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,90號,121.71276661945,24.651814605539
宜蘭縣三星鄉大隱村10鄰大隱一路69巷92號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,92號,121.71308759942,24.651905172089
宜蘭縣三星鄉大隱村10鄰大隱一路69巷96號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,96號,121.71315053062,24.65188844191
宜蘭縣三星鄉大隱村10鄰大隱一路69巷98號,10002,1000210,1000210-010,10鄰,大隱一路,,69巷,,,,98號,121.71321949762,24.651890823151
宜蘭縣三星鄉大隱村10鄰大隱一路300號,10002,1000210,1000210-010,10鄰,大隱一路,,,,,,300號,121.70805559347,24.700833302579
