FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄1號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,1號,121.70999358667,24.662191635162
宜蘭縣三星鄉大隱村3鄰大隱七路121巷1號,10002,1000210,1000210-010,3鄰,大隱七路,,121巷,,,,1號,121.72081253369,24.662290352895
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄2號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,2號,121.7099962764,24.662073351254
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄3號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,3號,121.71004702433,24.662189757537
宜蘭縣三星鄉大隱村3鄰大隱七路121巷3號,10002,1000210,1000210-010,3鄰,大隱七路,,121巷,,,,3號,121.72081253369,24.662290352895
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄5號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,5號,121.71008607254,24.662141632537
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄6號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,6號,121.71006017735,24.662069889364
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄7號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,7號,121.71017463795,24.662184459675
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄8號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,8號,121.7101411873,24.662069506502
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄9號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,9號,121.71025763167,24.662220361281
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄10號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,10號,121.71021360297,24.662051829817
宜蘭縣三星鄉大隱村12鄰大隱七路367巷19弄12號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,19弄,,,12號,121.71029641825,24.662056223355
宜蘭縣三星鄉大隱村14鄰大隱七路408巷15號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,15號,121.71073764211,24.663347626285
宜蘭縣三星鄉大隱村14鄰大隱七路408巷16號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,16號,121.71083410075,24.663179152671
宜蘭縣三星鄉大隱村14鄰大隱七路408巷17號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,17號,121.71078391451,24.663319058418
宜蘭縣三星鄉大隱村3鄰大隱七路121巷18號,10002,1000210,1000210-010,3鄰,大隱七路,,121巷,,,,18號,121.7206816461,24.66212115803
宜蘭縣三星鄉大隱村14鄰大隱七路408巷18號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,18號,121.71088942509,24.663178890913
宜蘭縣三星鄉大隱村14鄰大隱七路408巷19號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,19號,121.71086107033,24.66330090757
宜蘭縣三星鄉大隱村3鄰大隱七路121巷20號,10002,1000210,1000210-010,3鄰,大隱七路,,121巷,,,,20號,121.7207430325,24.662092785494
宜蘭縣三星鄉大隱村14鄰大隱七路408巷20號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,20號,121.71094688408,24.663154332817
宜蘭縣三星鄉大隱村14鄰大隱七路408巷21號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,21號,121.71090562368,24.66330024535
宜蘭縣三星鄉大隱村3鄰大隱七路121巷22號,10002,1000210,1000210-010,3鄰,大隱七路,,121巷,,,,22號,121.72079471648,24.66206084815
宜蘭縣三星鄉大隱村14鄰大隱七路408巷22號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,22號,121.71101547697,24.66314191026
宜蘭縣三星鄉大隱村12鄰大隱七路367巷23號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,23號,121.710024851,24.661937700904
宜蘭縣三星鄉大隱村14鄰大隱七路408巷23號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,23號,121.71096758572,24.663285777672
宜蘭縣三星鄉大隱村14鄰大隱七路408巷25號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,25號,121.71101176491,24.663271394124
宜蘭縣三星鄉大隱村12鄰大隱七路367巷25號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,25號,121.71003471538,24.661847732062
宜蘭縣三星鄉大隱村14鄰大隱七路408巷26號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,26號,121.71106633927,24.663121355804
宜蘭縣三星鄉大隱村3鄰大隱七路121巷26號,10002,1000210,1000210-010,3鄰,大隱七路,,121巷,,,,26號,121.72089715703,24.662162286429
宜蘭縣三星鄉大隱村14鄰大隱七路408巷27號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,27號,121.71106714256,24.663263096831
宜蘭縣三星鄉大隱村12鄰大隱七路367巷27號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,27號,121.71001187928,24.661775342437
宜蘭縣三星鄉大隱村3鄰大隱七路121巷28號,10002,1000210,1000210-010,3鄰,大隱七路,,121巷,,,,28號,121.7209572637,24.66225508002
宜蘭縣三星鄉大隱村14鄰大隱七路408巷29號,10002,1000210,1000210-010,14鄰,大隱七路,,408巷,,,,29號,121.71111789484,24.663240556644
宜蘭縣三星鄉大隱村12鄰大隱七路367巷29號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,29號,121.71000466088,24.661721838514
宜蘭縣三星鄉大隱村12鄰大隱七路367巷31號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,31號,121.71000076587,24.661644574361
宜蘭縣三星鄉大隱村12鄰大隱七路367巷32號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,32號,121.70982194464,24.662045825968
宜蘭縣三星鄉大隱村12鄰大隱七路367巷33號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,33號,121.70999524503,24.661576797644
宜蘭縣三星鄉大隱村12鄰大隱七路367巷35號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,35號,121.7099999097,24.661493263489
宜蘭縣三星鄉大隱村12鄰大隱七路367巷36號,10002,1000210,1000210-010,12鄰,大隱七路,,367巷,,,,36號,121.70981469923,24.661987537146
