FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣冬山鄉太和村4鄰寶德路19號,10002,1000208,1000208-011,4鄰,寶德路,,,,,,19號,121.78563975272,24.641919316881
宜蘭縣冬山鄉太和村4鄰寶德路20號,10002,1000208,1000208-011,4鄰,寶德路,,,,,,20號,121.7854923206,24.64219481713
宜蘭縣冬山鄉太和村6鄰寶德路570號,10002,1000208,1000208-011,6鄰,寶德路,,,,,,570號,121.77731297855,24.640904848037
宜蘭縣冬山鄉太和村6鄰寶德路589號,10002,1000208,1000208-011,6鄰,寶德路,,,,,,589號,121.77656411387,24.640068998398
宜蘭縣冬山鄉太和村6鄰寶德路608號,10002,1000208,1000208-011,6鄰,寶德路,,,,,,608號,121.7749566671,24.640493315332
宜蘭縣冬山鄉太和村6鄰寶德路616號,10002,1000208,1000208-011,6鄰,寶德路,,,,,,616號,121.77432956031,24.640946876782
宜蘭縣冬山鄉八寶村5鄰寶德路631巷21號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,21號,121.77249768504,24.639012692751
宜蘭縣冬山鄉八寶村5鄰寶德路631巷23號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,23號,121.7724487907,24.639012673109
宜蘭縣冬山鄉八寶村5鄰寶德路631巷25號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,25號,121.77240530889,24.639009375465
宜蘭縣冬山鄉八寶村5鄰寶德路631巷27號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,27號,121.77235797161,24.639005555916
宜蘭縣冬山鄉八寶村5鄰寶德路631巷29號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,29號,121.77231245939,24.638993330679
宜蘭縣冬山鄉八寶村5鄰寶德路631巷31號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,31號,121.77227006909,24.638990839933
宜蘭縣冬山鄉八寶村5鄰寶德路631巷33號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,33號,121.77222559956,24.63898754731
宜蘭縣冬山鄉八寶村5鄰寶德路631巷35號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,35號,121.77217825119,24.638981922106
宜蘭縣冬山鄉八寶村5鄰寶德路631巷37號,10002,1000208,1000208-012,5鄰,寶德路,,631巷,,,,37號,121.77212323071,24.638981572689
宜蘭縣冬山鄉八寶村5鄰寶德路629號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,629號,121.77252070064,24.639542805323
宜蘭縣冬山鄉八寶村5鄰寶德路639號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,639號,121.77195009223,24.639514588538
宜蘭縣冬山鄉八寶村5鄰寶德路680號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,680號,121.77102644665,24.639887049874
宜蘭縣冬山鄉八寶村5鄰寶德路690號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,690號,121.77089970588,24.639466981894
宜蘭縣冬山鄉八寶村5鄰寶德路716號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,716號,121.7700123227,24.639745086138
宜蘭縣冬山鄉八寶村5鄰寶德路728號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,728號,121.76935635187,24.639649313702
宜蘭縣冬山鄉八寶村5鄰寶德路732號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,732號,121.76910611347,24.639498106282
宜蘭縣冬山鄉八寶村5鄰寶德路738號,10002,1000208,1000208-012,5鄰,寶德路,,,,,,738號,121.76899864786,24.639498655975
宜蘭縣冬山鄉八寶村3鄰寶德路776號,10002,1000208,1000208-012,3鄰,寶德路,,,,,,776號,121.76848010936,24.639505008845
宜蘭縣冬山鄉八寶村3鄰寶德路778號,10002,1000208,1000208-012,3鄰,寶德路,,,,,,778號,121.76834009634,24.639481257771
