FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣大同鄉樂水村8鄰智腦路1號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,1號,121.51886361063,24.590969422731
宜蘭縣大同鄉樂水村8鄰智腦路3號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,3號,121.51875178288,24.590980732681
宜蘭縣大同鄉樂水村8鄰智腦路5號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,5號,121.51864988431,24.590885560768
宜蘭縣大同鄉樂水村8鄰智腦路6號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,6號,121.51822832075,24.59068504171
宜蘭縣大同鄉樂水村8鄰智腦路7號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,7號,121.51889400864,24.590726357479
宜蘭縣大同鄉樂水村8鄰智腦路8號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,8號,121.51815719375,24.590605021935
宜蘭縣大同鄉樂水村8鄰智腦路11號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,11號,121.51876941492,24.590563007385
宜蘭縣大同鄉樂水村8鄰智腦路13號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,13號,121.51861883571,24.590611287557
宜蘭縣大同鄉樂水村8鄰智腦路15號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,15號,121.51852156399,24.590536594609
宜蘭縣大同鄉樂水村8鄰智腦路17號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,17號,121.51847920132,24.590392101775
宜蘭縣大同鄉樂水村8鄰智腦路21號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,21號,121.51837656956,24.59047840772
宜蘭縣大同鄉樂水村8鄰智腦路21之1號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,21之1號,121.51840153015,24.590329439622
宜蘭縣大同鄉樂水村8鄰智腦路25號,10002,1000211,1000211-006,8鄰,智腦路,,,,,,25號,121.5178392931,24.590160281595
