FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣五結鄉四結村3鄰清水路6巷1號,10002,1000209,1000209-006,3鄰,清水路,,6巷,,,,1號,121.77088005851,24.689634999591
宜蘭縣五結鄉四結村4鄰清水路15巷1號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,1號,121.77085395086,24.690579485603
宜蘭縣五結鄉四結村4鄰清水路1號,10002,1000209,1000209-006,4鄰,清水路,,,,,,1號,121.77057810007,24.690394107911
宜蘭縣五結鄉四結村6鄰清水路101巷1號,10002,1000209,1000209-006,6鄰,清水路,,101巷,,,,1號,121.77344410128,24.689965244991
宜蘭縣五結鄉四結村4鄰清水路15巷2號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,2號,121.77110115697,24.690268909187
宜蘭縣五結鄉四結村3鄰清水路6巷2號,10002,1000209,1000209-006,3鄰,清水路,,6巷,,,,2號,121.7709780832,24.68963485734
宜蘭縣五結鄉四結村3鄰清水路6巷3號,10002,1000209,1000209-006,3鄰,清水路,,6巷,,,,3號,121.77105724205,24.689828738121
宜蘭縣五結鄉四結村4鄰清水路3號,10002,1000209,1000209-006,4鄰,清水路,,,,,,3號,121.7705751162,24.69027847171
宜蘭縣五結鄉四結村4鄰清水路15巷3號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,3號,121.77085421521,24.690622458576
宜蘭縣五結鄉四結村6鄰清水路101巷3號,10002,1000209,1000209-006,6鄰,清水路,,101巷,,,,3號,121.77344224128,24.690000103495
宜蘭縣五結鄉四結村3鄰清水路6巷4號,10002,1000209,1000209-006,3鄰,清水路,,6巷,,,,4號,121.77102713552,24.689785828133
宜蘭縣五結鄉四結村4鄰清水路5號,10002,1000209,1000209-006,4鄰,清水路,,,,,,5號,121.770671889,24.690251431976
宜蘭縣五結鄉四結村6鄰清水路101巷5號,10002,1000209,1000209-006,6鄰,清水路,,101巷,,,,5號,121.7734427307,24.690063388781
宜蘭縣五結鄉四結村4鄰清水路15巷6號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,6號,121.77110049848,24.690370660617
宜蘭縣五結鄉四結村3鄰清水路6巷6號,10002,1000209,1000209-006,3鄰,清水路,,6巷,,,,6號,121.77093918371,24.689656453992
宜蘭縣五結鄉四結村4鄰清水路7號,10002,1000209,1000209-006,4鄰,清水路,,,,,,7號,121.77074579095,24.690265407445
宜蘭縣五結鄉四結村6鄰清水路101巷7號,10002,1000209,1000209-006,6鄰,清水路,,101巷,,,,7號,121.77344495177,24.690135061387
宜蘭縣五結鄉四結村4鄰清水路15巷8號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,8號,121.77109962063,24.690452821934
宜蘭縣五結鄉四結村4鄰清水路9號,10002,1000209,1000209-006,4鄰,清水路,,,,,,9號,121.77084421191,24.690249283286
宜蘭縣五結鄉四結村6鄰清水路101巷9號,10002,1000209,1000209-006,6鄰,清水路,,101巷,,,,9號,121.77345299206,24.690172938477
宜蘭縣五結鄉四結村4鄰清水路15巷10號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,10號,121.77109866771,24.690506725306
宜蘭縣五結鄉四結村6鄰清水路101巷11號,10002,1000209,1000209-006,6鄰,清水路,,101巷,,,,11號,121.77344264786,24.690226077691
宜蘭縣五結鄉四結村4鄰清水路11號,10002,1000209,1000209-006,4鄰,清水路,,,,,,11號,121.77084366599,24.690385431664
宜蘭縣五結鄉四結村4鄰清水路15巷12號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,12號,121.77109496356,24.690563170711
宜蘭縣五結鄉四結村6鄰清水路101巷13號,10002,1000209,1000209-006,6鄰,清水路,,101巷,,,,13號,121.77344318298,24.690296765877
宜蘭縣五結鄉四結村4鄰清水路15巷16號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,16號,121.77109532521,24.690621942568
宜蘭縣五結鄉四結村4鄰清水路17號,10002,1000209,1000209-006,4鄰,清水路,,,,,,17號,121.77111682636,24.690197776603
宜蘭縣五結鄉四結村4鄰清水路15巷18號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,18號,121.77109564965,24.690674665709
宜蘭縣五結鄉四結村4鄰清水路19號,10002,1000209,1000209-006,4鄰,清水路,,,,,,19號,121.77121613384,24.69019726647
宜蘭縣五結鄉四結村4鄰清水路15巷20號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,20號,121.77109331388,24.690728666464
宜蘭縣五結鄉四結村4鄰清水路21號,10002,1000209,1000209-006,4鄰,清水路,,,,,,21號,121.77161324213,24.690191524337
宜蘭縣五結鄉四結村4鄰清水路15巷22號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,22號,121.77109223215,24.690777695256
宜蘭縣五結鄉四結村4鄰清水路23號,10002,1000209,1000209-006,4鄰,清水路,,,,,,23號,121.77165622596,24.6901913034
宜蘭縣五結鄉四結村4鄰清水路25號,10002,1000209,1000209-006,4鄰,清水路,,,,,,25號,121.77170991166,24.690195902676
宜蘭縣五結鄉四結村4鄰清水路15巷26號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,26號,121.77109122645,24.690823022087
宜蘭縣五結鄉四結村4鄰清水路27號,10002,1000209,1000209-006,4鄰,清水路,,,,,,27號,121.7717114681,24.690240042671
宜蘭縣五結鄉四結村4鄰清水路15巷28號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,28號,121.77109010693,24.690865911883
宜蘭縣五結鄉四結村4鄰清水路29號,10002,1000209,1000209-006,4鄰,清水路,,,,,,29號,121.77170901919,24.690275626446
宜蘭縣五結鄉四結村4鄰清水路15巷30號,10002,1000209,1000209-006,4鄰,清水路,,15巷,,,,30號,121.77108770339,24.690908898557
宜蘭縣五結鄉四結村4鄰清水路31號,10002,1000209,1000209-006,4鄰,清水路,,,,,,31號,121.77170796868,24.690313640652
宜蘭縣五結鄉四結村5鄰清水路41號,10002,1000209,1000209-006,5鄰,清水路,,,,,,41號,121.77187412463,24.690256811469
宜蘭縣五結鄉四結村5鄰清水路43號,10002,1000209,1000209-006,5鄰,清水路,,,,,,43號,121.77195505822,24.690241227908
宜蘭縣五結鄉四結村5鄰清水路45號,10002,1000209,1000209-006,5鄰,清水路,,,,,,45號,121.77196360771,24.690281630369
宜蘭縣五結鄉四結村5鄰清水路47號,10002,1000209,1000209-006,5鄰,清水路,,,,,,47號,121.77204846678,24.690277672975
宜蘭縣五結鄉四結村5鄰清水路49號,10002,1000209,1000209-006,5鄰,清水路,,,,,,49號,121.77207735417,24.690186790804
宜蘭縣五結鄉四結村5鄰清水路51號,10002,1000209,1000209-006,5鄰,清水路,,,,,,51號,121.77215837808,24.690250023026
宜蘭縣五結鄉四結村5鄰清水路53號,10002,1000209,1000209-006,5鄰,清水路,,,,,,53號,121.77225378345,24.690241677726
宜蘭縣五結鄉四結村5鄰清水路55號,10002,1000209,1000209-006,5鄰,清水路,,,,,,55號,121.77229973336,24.690241712192
宜蘭縣五結鄉四結村5鄰清水路57號,10002,1000209,1000209-006,5鄰,清水路,,,,,,57號,121.7723447934,24.69024166094
宜蘭縣五結鄉四結村5鄰清水路59號,10002,1000209,1000209-006,5鄰,清水路,,,,,,59號,121.77239074331,24.690241695378
宜蘭縣五結鄉四結村5鄰清水路61號,10002,1000209,1000209-006,5鄰,清水路,,,,,,61號,121.77243579722,24.690240651027
宜蘭縣五結鄉四結村5鄰清水路63號,10002,1000209,1000209-006,5鄰,清水路,,,,,,63號,121.77248174713,24.690240685437
宜蘭縣五結鄉四結村5鄰清水路65號,10002,1000209,1000209-006,5鄰,清水路,,,,,,65號,121.77252670834,24.690240634639
