FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣南澳鄉澳花村7鄰碧海路1號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,1號,121.76456486726,24.323183071995
宜蘭縣南澳鄉澳花村7鄰碧海路2號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,2號,121.76426452652,24.324034000847
宜蘭縣南澳鄉澳花村7鄰碧海路2之1號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,2之1號,121.76426452652,24.324034000847
宜蘭縣南澳鄉澳花村7鄰碧海路2之2號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,2之2號,121.7642717277,24.324018977014
宜蘭縣南澳鄉澳花村7鄰碧海路3號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,3號,121.76647348119,24.328194643293
宜蘭縣南澳鄉澳花村7鄰碧海路4號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,4號,121.76442099126,24.324460810325
宜蘭縣南澳鄉澳花村7鄰碧海路7號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,7號,121.76554397071,24.325957158321
宜蘭縣南澳鄉澳花村7鄰碧海路8號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,8號,121.76506725346,24.325543701981
宜蘭縣南澳鄉澳花村7鄰碧海路9號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,9號,121.76566346357,24.326215136312
宜蘭縣南澳鄉澳花村7鄰碧海路18號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,18號,121.76659043651,24.326965433511
宜蘭縣南澳鄉澳花村7鄰碧海路18之1號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,18之1號,121.76970645238,24.340178248864
宜蘭縣南澳鄉澳花村7鄰碧海路18之2號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,18之2號,121.76981701105,24.340063024285
宜蘭縣南澳鄉澳花村7鄰碧海路34號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,34號,121.7687825563,24.336152910504
宜蘭縣南澳鄉澳花村7鄰碧海路35號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,35號,121.76856941813,24.336006552523
宜蘭縣南澳鄉澳花村7鄰碧海路36號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,36號,121.76883526951,24.336298907387
宜蘭縣南澳鄉澳花村7鄰碧海路37號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,37號,121.7688913767,24.336452109961
宜蘭縣南澳鄉澳花村7鄰碧海路38號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,38號,121.76894586711,24.336598639508
宜蘭縣南澳鄉澳花村7鄰碧海路39號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,39號,121.76900136754,24.336749226799
宜蘭縣南澳鄉澳花村7鄰碧海路99號,10002,1000212,1000212-007,7鄰,碧海路,,,,,,99號,121.76922259564,24.330597433216
