FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
宜蘭縣員山鄉頭分村10鄰頭分路75巷1號,10002,1000207,1000207-010,10鄰,頭分路,,75巷,,,,1號,121.72086589113,24.761841498113
宜蘭縣員山鄉頭分村11鄰頭分路82巷1號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,1號,121.71456017313,24.763909646817
宜蘭縣員山鄉頭分村1鄰頭分路1號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,1號,121.72073712617,24.755769835689
宜蘭縣員山鄉頭分村1鄰頭分路1之1號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,1之1號,121.72081712132,24.755822988154
宜蘭縣員山鄉頭分村1鄰頭分路1之6號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,1之6號,121.72057979516,24.756090281371
宜蘭縣員山鄉頭分村1鄰頭分路2號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,2號,121.72101309065,24.755824843989
宜蘭縣員山鄉頭分村11鄰頭分路82巷2號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,2號,121.71443191017,24.763750369018
宜蘭縣員山鄉頭分村10鄰頭分路75巷2號,10002,1000207,1000207-010,10鄰,頭分路,,75巷,,,,2號,121.72083388685,24.7618125813
宜蘭縣員山鄉頭分村10鄰頭分路75巷3號,10002,1000207,1000207-010,10鄰,頭分路,,75巷,,,,3號,121.72078596433,24.761783741071
宜蘭縣員山鄉頭分村11鄰頭分路82巷3號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,3號,121.71465231007,24.76383788442
宜蘭縣員山鄉頭分村1鄰頭分路3號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,3號,121.72120220122,24.755940217183
宜蘭縣員山鄉頭分村1鄰頭分路4號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,4號,121.720963224,24.756195421138
宜蘭縣員山鄉頭分村11鄰頭分路82巷4號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,4號,121.7144969338,24.763709431938
宜蘭縣員山鄉頭分村10鄰頭分路75巷4號,10002,1000207,1000207-010,10鄰,頭分路,,75巷,,,,4號,121.72073795797,24.761740365822
宜蘭縣員山鄉頭分村1鄰頭分路4之1號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,4之1號,121.72101554155,24.756112470977
宜蘭縣員山鄉頭分村10鄰頭分路75巷5號,10002,1000207,1000207-010,10鄰,頭分路,,75巷,,,,5號,121.7206900355,24.761711525562
宜蘭縣員山鄉頭分村11鄰頭分路82巷5號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,5號,121.71471783287,24.763780513523
宜蘭縣員山鄉頭分村11鄰頭分路82巷6號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,6號,121.71457881783,24.763642954852
宜蘭縣員山鄉頭分村1鄰頭分路6號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,6號,121.72096299658,24.756413002094
宜蘭縣員山鄉頭分村1鄰頭分路6之1號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,6之1號,121.72159232813,24.758214891824
宜蘭縣員山鄉頭分村1鄰頭分路6之5號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,6之5號,121.72132314751,24.758034359962
宜蘭縣員山鄉頭分村1鄰頭分路7號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,7號,121.72100458797,24.756647174278
宜蘭縣員山鄉頭分村11鄰頭分路82巷7號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,7號,121.71479655736,24.763732107813
宜蘭縣員山鄉頭分村11鄰頭分路82巷8號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,8號,121.71463940571,24.763587142326
宜蘭縣員山鄉頭分村1鄰頭分路8號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,8號,121.72119865301,24.756644344341
宜蘭縣員山鄉頭分村1鄰頭分路8之2號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,8之2號,121.72106437252,24.756864376132
宜蘭縣員山鄉頭分村1鄰頭分路8之4號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,8之4號,121.72110667773,24.756793933057
宜蘭縣員山鄉頭分村1鄰頭分路8之5號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,8之5號,121.72113520731,24.756752085417
宜蘭縣員山鄉頭分村1鄰頭分路8之6號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,8之6號,121.72116829257,24.756711570074
宜蘭縣員山鄉頭分村1鄰頭分路8之23號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,8之23號,121.72170655737,24.756919967487
宜蘭縣員山鄉頭分村1鄰頭分路9號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9號,121.72173206698,24.75733089892
宜蘭縣員山鄉頭分村11鄰頭分路82巷9號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,9號,121.71485702875,24.763673226166
宜蘭縣員山鄉頭分村1鄰頭分路9之1號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之1號,121.72165247859,24.757331282291
宜蘭縣員山鄉頭分村1鄰頭分路9之3號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之3號,121.7218383948,24.759049266948
宜蘭縣員山鄉頭分村1鄰頭分路9之5號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之5號,121.72140592601,24.758586307107
宜蘭縣員山鄉頭分村1鄰頭分路9之6號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之6號,121.72135800462,24.758557467024
宜蘭縣員山鄉頭分村1鄰頭分路9之7號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之7號,121.72170354756,24.75901741506
宜蘭縣員山鄉頭分村1鄰頭分路9之8號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之8號,121.72163856052,24.758978274845
宜蘭縣員山鄉頭分村1鄰頭分路9之9號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之9號,121.72153528312,24.758934443784
宜蘭縣員山鄉頭分村1鄰頭分路9之12號,10002,1000207,1000207-010,1鄰,頭分路,,,,,,9之12號,121.7215039984,24.758584932016
宜蘭縣員山鄉頭分村11鄰頭分路82巷10號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,10號,121.71469662257,24.763529720783
宜蘭縣員山鄉頭分村2鄰頭分路10號,10002,1000207,1000207-010,2鄰,頭分路,,,,,,10號,121.72032497174,24.758930246575
宜蘭縣員山鄉頭分村2鄰頭分路11號,10002,1000207,1000207-010,2鄰,頭分路,,,,,,11號,121.72017868747,24.758938172409
宜蘭縣員山鄉頭分村11鄰頭分路82巷11號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,11號,121.71491443072,24.763630880766
宜蘭縣員山鄉頭分村11鄰頭分路82巷12號,10002,1000207,1000207-010,11鄰,頭分路,,82巷,,,,12號,121.7147572274,24.763476887439
宜蘭縣員山鄉頭分村2鄰頭分路12號,10002,1000207,1000207-010,2鄰,頭分路,,,,,,12號,121.7196344931,24.759400684326
宜蘭縣員山鄉頭分村2鄰頭分路12之1號,10002,1000207,1000207-010,2鄰,頭分路,,,,,,12之1號,121.71968426542,24.759407577521
