FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣新豐鄉福興村1鄰圓山子1號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,1號,121.02847369971,24.944065916556
新竹縣新豐鄉福興村1鄰圓山子2號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,2號,121.02821840118,24.941175659833
新竹縣新豐鄉福興村1鄰圓山子3號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,3號,121.02877188344,24.939473211849
新竹縣新豐鄉福興村1鄰圓山子4號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,4號,121.02912153421,24.93934767549
新竹縣新豐鄉福興村1鄰圓山子4之1號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,4之1號,121.02943298702,24.938950190711
新竹縣新豐鄉福興村1鄰圓山子5號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,5號,121.03024853368,24.937932700931
新竹縣新豐鄉福興村1鄰圓山子7號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,7號,121.03079494851,24.939398431125
新竹縣新豐鄉福興村1鄰圓山子8號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,8號,121.03031293979,24.939649349461
新竹縣新豐鄉福興村1鄰圓山子8之1號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,8之1號,121.03044171493,24.940330610399
新竹縣新豐鄉福興村1鄰圓山子8之2號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,8之2號,121.03053345466,24.939554225783
新竹縣新豐鄉福興村1鄰圓山子9號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,9號,121.03051461843,24.940830311386
新竹縣新豐鄉福興村1鄰圓山子9之1號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,9之1號,121.03115623236,24.942306592466
新竹縣新豐鄉福興村1鄰圓山子9之2號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,9之2號,121.03151249844,24.943407166999
新竹縣新豐鄉福興村1鄰圓山子9之3號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,9之3號,121.03236117369,24.941985031119
新竹縣新豐鄉福興村1鄰圓山子9之5號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,9之5號,121.03207889621,24.942541217698
新竹縣新豐鄉福興村1鄰圓山子10號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,10號,121.03187690162,24.939893333126
新竹縣新豐鄉福興村1鄰圓山子11號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,11號,121.03209500712,24.940935621332
新竹縣新豐鄉福興村1鄰圓山子12號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,12號,121.03337738228,24.942139942861
新竹縣新豐鄉福興村1鄰圓山子13號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,13號,121.03351626146,24.942213963052
新竹縣新豐鄉福興村1鄰圓山子14號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,14號,121.03282277302,24.94230995443
新竹縣新豐鄉福興村1鄰圓山子15號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,15號,121.03291376412,24.942344468188
新竹縣新豐鄉福興村1鄰圓山子16號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,16號,121.03300080553,24.942346552567
新竹縣新豐鄉福興村1鄰圓山子18號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,18號,121.03319429686,24.942461839031
新竹縣新豐鄉福興村1鄰圓山子19號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,19號,121.03330674214,24.94251738406
新竹縣新豐鄉福興村1鄰圓山子20號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,20號,121.03336530177,24.9425819605
新竹縣新豐鄉福興村1鄰圓山子22號,10004,1000406,1000406-001,1鄰,圓山子,,,,,,22號,121.03370970419,24.943969095377
新竹縣新豐鄉福興村2鄰圓山子23號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,23號,121.03613787705,24.945490424767
新竹縣新豐鄉福興村2鄰圓山子24號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,24號,121.03741357348,24.944689286567
新竹縣新豐鄉福興村2鄰圓山子24之1號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,24之1號,121.03692091085,24.944436477464
新竹縣新豐鄉福興村2鄰圓山子25號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,25號,121.03749005131,24.945445851293
新竹縣新豐鄉福興村2鄰圓山子26號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,26號,121.03861704639,24.944717653882
新竹縣新豐鄉福興村2鄰圓山子26之1號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,26之1號,121.03864582823,24.944607761174
新竹縣新豐鄉福興村2鄰圓山子27號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,27號,121.03985748059,24.943129909175
新竹縣新豐鄉福興村2鄰圓山子28號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,28號,121.04036670665,24.942367770861
新竹縣新豐鄉福興村2鄰圓山子29號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,29號,121.04178039361,24.942810217686
新竹縣新豐鄉福興村2鄰圓山子29之1號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,29之1號,121.0421880285,24.940824177521
新竹縣新豐鄉福興村2鄰圓山子29之2號,10004,1000406,1000406-001,2鄰,圓山子,,,,,,29之2號,121.04120691123,24.941229928883
