FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣北埔鄉南坑村3鄰小南坑1號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,1號,121.05081226445,24.670329039748
新竹縣北埔鄉南坑村3鄰小南坑1之3號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,1之3號,121.05168008414,24.67320731635
新竹縣北埔鄉南坑村3鄰小南坑2號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,2號,121.05113274893,24.670292535996
新竹縣北埔鄉南坑村3鄰小南坑2之2號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,2之2號,121.05099323396,24.670244107907
新竹縣北埔鄉南坑村3鄰小南坑4號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,4號,121.0499696484,24.668984115527
新竹縣北埔鄉南坑村3鄰小南坑5號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,5號,121.04987502657,24.668920512127
新竹縣北埔鄉南坑村3鄰小南坑6號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,6號,121.04983805074,24.66908764712
新竹縣北埔鄉南坑村3鄰小南坑7號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,7號,121.04870002366,24.668700044628
新竹縣北埔鄉南坑村3鄰小南坑8號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,8號,121.04874823453,24.669167205175
新竹縣北埔鄉南坑村3鄰小南坑9號,10004,1000409,1000409-008,3鄰,小南坑,,,,,,9號,121.04866777423,24.668727213652
新竹縣北埔鄉南坑村4鄰小南坑10號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,10號,121.04877614005,24.668539036773
新竹縣北埔鄉南坑村4鄰小南坑12號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,12號,121.04854157661,24.668105911829
新竹縣北埔鄉南坑村4鄰小南坑13號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,13號,121.04624295673,24.668397472064
新竹縣北埔鄉南坑村4鄰小南坑15號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,15號,121.04637909159,24.668266693344
新竹縣北埔鄉南坑村4鄰小南坑17號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,17號,121.04649997223,24.668300044411
新竹縣北埔鄉南坑村4鄰小南坑18號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,18號,121.04643356102,24.667968139856
新竹縣北埔鄉南坑村4鄰小南坑23號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,23號,121.04839667839,24.667386906392
新竹縣北埔鄉南坑村4鄰小南坑24號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,24號,121.04853621415,24.667423265427
新竹縣北埔鄉南坑村4鄰小南坑24之1號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,24之1號,121.04853621415,24.667423265427
新竹縣北埔鄉南坑村4鄰小南坑24之2號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,24之2號,121.04853621415,24.667423265427
新竹縣北埔鄉南坑村4鄰小南坑27號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,27號,121.04949997302,24.667500038715
新竹縣北埔鄉南坑村4鄰小南坑27之1號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,27之1號,121.04876414165,24.666623819314
新竹縣北埔鄉南坑村4鄰小南坑28號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,28號,121.04862187047,24.667481356
新竹縣北埔鄉南坑村4鄰小南坑29號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,29號,121.04933775104,24.667688920023
新竹縣北埔鄉南坑村4鄰小南坑30號,10004,1000409,1000409-008,4鄰,小南坑,,,,,,30號,121.04627493149,24.659989486243
