FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣新豐鄉重興村15鄰成德街1號,10004,1000406,1000406-008,15鄰,成德街,,,,,,1號,120.98914060001,24.902185927623
新竹縣新豐鄉重興村15鄰成德街32巷1號,10004,1000406,1000406-008,15鄰,成德街,,32巷,,,,1號,120.99027131613,24.902479639578
新竹縣新豐鄉重興村15鄰成德街5巷1號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,1號,120.98913299476,24.902330653941
新竹縣新豐鄉重興村15鄰成德街5巷2號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,2號,120.98930848093,24.9022673678
新竹縣新豐鄉重興村15鄰成德街2號,10004,1000406,1000406-008,15鄰,成德街,,,,,,2號,120.98930909449,24.902039650987
新竹縣新豐鄉重興村15鄰成德街2之1號,10004,1000406,1000406-008,15鄰,成德街,,,,,,2之1號,120.98935623404,24.902036070042
新竹縣新豐鄉重興村15鄰成德街5巷2之1號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,2之1號,120.98931371764,24.902266167384
新竹縣新豐鄉重興村15鄰成德街5巷2之2號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,2之2號,120.98931371784,24.90226378386
新竹縣新豐鄉重興村15鄰成德街5巷2之3號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,2之3號,120.98931371784,24.90226378386
新竹縣新豐鄉重興村15鄰成德街5巷2之4號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,2之4號,120.98930848104,24.902266167009
新竹縣新豐鄉重興村15鄰成德街32巷3號,10004,1000406,1000406-008,15鄰,成德街,,32巷,,,,3號,120.9903420435,24.902372150842
新竹縣新豐鄉重興村15鄰成德街3號,10004,1000406,1000406-008,15鄰,成德街,,,,,,3號,120.98919280399,24.902227570861
新竹縣新豐鄉重興村15鄰成德街5巷4號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,4號,120.98927966095,24.902311560244
新竹縣新豐鄉重興村15鄰成德街5巷4之1號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,4之1號,120.98927966116,24.902309167691
新竹縣新豐鄉重興村15鄰成德街5巷4之2號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,4之2號,120.98928228441,24.90230916788
新竹縣新豐鄉重興村15鄰成德街5巷4之3號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,4之3號,120.98931371784,24.90226378386
新竹縣新豐鄉重興村15鄰成德街5巷4之4號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,4之4號,120.9892822842,24.902311560433
新竹縣新豐鄉重興村15鄰成德街5巷6號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,6號,120.98923759279,24.902392804695
新竹縣新豐鄉重興村15鄰成德街6號,10004,1000406,1000406-008,15鄰,成德街,,,,,,6號,120.98950565162,24.902018845218
新竹縣新豐鄉重興村15鄰成德街5巷6之1號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,6之1號,120.98924036453,24.902392768781
新竹縣新豐鄉重興村15鄰成德街5巷6之2號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,6之2號,120.98924298778,24.90239276897
新竹縣新豐鄉重興村15鄰成德街5巷6之3號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,6之3號,120.98924298799,24.902390385446
新竹縣新豐鄉重興村15鄰成德街5巷6之4號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,6之4號,120.98923775138,24.902390385069
新竹縣新豐鄉重興村15鄰成德街5巷8號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,8號,120.98919897934,24.902474058412
新竹縣新豐鄉重興村15鄰成德街5巷8之1號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,8之1號,120.98920107795,24.902473986336
新竹縣新豐鄉重興村15鄰成德街5巷8之2號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,8之2號,120.9891984547,24.902473986146
新竹縣新豐鄉重興村15鄰成德街5巷8之3號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,8之3號,120.98920107816,24.902471602812
新竹縣新豐鄉重興村15鄰成德街5巷8之4號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,8之4號,120.98920369152,24.902471603001
新竹縣新豐鄉重興村15鄰成德街10號,10004,1000406,1000406-008,15鄰,成德街,,,,,,10號,120.98955632488,24.902135605353
新竹縣新豐鄉重興村15鄰成德街5巷10號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,10號,120.98915244682,24.902552602993
新竹縣新豐鄉重興村15鄰成德街5巷10之1號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,10之1號,120.98416465935,24.902988621748
新竹縣新豐鄉重興村15鄰成德街5巷10之2號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,10之2號,120.98416465935,24.902988621748
新竹縣新豐鄉重興村15鄰成德街5巷10之3號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,10之3號,120.98416465935,24.902988621748
新竹縣新豐鄉重興村15鄰成德街5巷10之4號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,10之4號,120.98416465935,24.902988621748
新竹縣新豐鄉重興村15鄰成德街5巷12號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,12號,120.98911729787,24.902634759789
新竹縣新豐鄉重興村15鄰成德街12號,10004,1000406,1000406-008,15鄰,成德街,,,,,,12號,120.98960870935,24.902151138033
新竹縣新豐鄉重興村15鄰成德街5巷12之1號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,12之1號,120.98912248516,24.902632837097
新竹縣新豐鄉重興村15鄰成德街5巷12之2號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,12之2號,120.9891198716,24.902635229459
新竹縣新豐鄉重興村15鄰成德街5巷12之3號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,12之3號,120.98912248516,24.902632837097
新竹縣新豐鄉重興村15鄰成德街5巷12之4號,10004,1000406,1000406-008,15鄰,成德街,,5巷,,,,12之4號,120.98912248516,24.902632837097
新竹縣新豐鄉重興村15鄰成德街13號,10004,1000406,1000406-008,15鄰,成德街,,,,,,13號,120.98954583076,24.902384041881
新竹縣新豐鄉重興村15鄰成德街15號,10004,1000406,1000406-008,15鄰,成德街,,,,,,15號,120.989611302,24.902398374686
新竹縣新豐鄉重興村15鄰成德街16號,10004,1000406,1000406-008,15鄰,成德街,,,,,,16號,120.98968531417,24.90219836241
新竹縣新豐鄉重興村15鄰成德街18號,10004,1000406,1000406-008,15鄰,成德街,,,,,,18號,120.98974489535,24.902213254515
新竹縣新豐鄉重興村15鄰成德街28號,10004,1000406,1000406-008,15鄰,成德街,,,,,,28號,120.99005131605,24.902393628599
新竹縣新豐鄉重興村15鄰成德街36號,10004,1000406,1000406-008,15鄰,成德街,,,,,,36號,120.99127283127,24.902397668566
