FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣新埔鎮五埔里18鄰新關路五埔段657巷49弄1號,10004,1000403,1000403-004,18鄰,新關路,五埔段,657巷,49弄,,,1號,121.0943377455,24.820660691265
新竹縣新埔鎮五埔里19鄰新關路五埔段657巷12弄1號,10004,1000403,1000403-004,19鄰,新關路,五埔段,657巷,12弄,,,1號,121.09429530872,24.821330206138
新竹縣新埔鎮五埔里3鄰新關路五埔段167巷1號,10004,1000403,1000403-004,3鄰,新關路,五埔段,167巷,,,,1號,121.10929110556,24.816197555382
新竹縣新埔鎮五埔里4鄰新關路五埔段486巷1號,10004,1000403,1000403-004,4鄰,新關路,五埔段,486巷,,,,1號,121.10368586546,24.81753661342
新竹縣新埔鎮五埔里7鄰新關路五埔段708巷13弄1號,10004,1000403,1000403-004,7鄰,新關路,五埔段,708巷,13弄,,,1號,121.10043253961,24.81963068623
新竹縣新埔鎮五埔里8鄰新關路五埔段740巷2號,10004,1000403,1000403-004,8鄰,新關路,五埔段,740巷,,,,2號,121.09951019902,24.819635609413
新竹縣新埔鎮五埔里8鄰新關路五埔段758巷2號,10004,1000403,1000403-004,8鄰,新關路,五埔段,758巷,,,,2號,121.09919166082,24.81963492719
新竹縣新埔鎮五埔里7鄰新關路五埔段650巷2號,10004,1000403,1000403-004,7鄰,新關路,五埔段,650巷,,,,2號,121.10093608795,24.818680412903
新竹縣新埔鎮五埔里4鄰新關路五埔段510巷2號,10004,1000403,1000403-004,4鄰,新關路,五埔段,510巷,,,,2號,121.10327684821,24.817858738695
新竹縣新埔鎮五埔里4鄰新關路五埔段542巷2號,10004,1000403,1000403-004,4鄰,新關路,五埔段,542巷,,,,2號,121.1030484299,24.817973053786
新竹縣新埔鎮五埔里5鄰新關路五埔段542巷1弄2號,10004,1000403,1000403-004,5鄰,新關路,五埔段,542巷,1弄,,,2號,121.10279642586,24.817881198749
新竹縣新埔鎮五埔里3鄰新關路五埔段167巷2號,10004,1000403,1000403-004,3鄰,新關路,五埔段,167巷,,,,2號,121.1091850389,24.816341440299
新竹縣新埔鎮五埔里19鄰新關路五埔段657巷12弄2號,10004,1000403,1000403-004,19鄰,新關路,五埔段,657巷,12弄,,,2號,121.09452293934,24.821462782721
新竹縣新埔鎮五埔里2鄰新關路五埔段119巷2號,10004,1000403,1000403-004,2鄰,新關路,五埔段,119巷,,,,2號,121.11018946567,24.8161641044
新竹縣新埔鎮五埔里11鄰新關路五埔段1046巷12弄2號,10004,1000403,1000403-004,11鄰,新關路,五埔段,1046巷,12弄,,,2號,121.09436598839,24.822501449601
新竹縣新埔鎮五埔里12鄰新關路五埔段1046巷1弄2號,10004,1000403,1000403-004,12鄰,新關路,五埔段,1046巷,1弄,,,2號,121.09405512905,24.822264365071
新竹縣新埔鎮五埔里13鄰新關路五埔段1170巷15弄2號,10004,1000403,1000403-004,13鄰,新關路,五埔段,1170巷,15弄,,,2號,121.09170117905,24.823613786434
新竹縣新埔鎮五埔里13鄰新關路五埔段1252巷2號,10004,1000403,1000403-004,13鄰,新關路,五埔段,1252巷,,,,2號,121.09055235017,24.823901144208
新竹縣新埔鎮五埔里11鄰新關路五埔段1046巷12弄3號,10004,1000403,1000403-004,11鄰,新關路,五埔段,1046巷,12弄,,,3號,121.09430814915,24.82254513029
新竹縣新埔鎮五埔里19鄰新關路五埔段657巷12弄3號,10004,1000403,1000403-004,19鄰,新關路,五埔段,657巷,12弄,,,3號,121.09423991526,24.821337012498
新竹縣新埔鎮五埔里18鄰新關路五埔段657巷49弄3號,10004,1000403,1000403-004,18鄰,新關路,五埔段,657巷,49弄,,,3號,121.09441912747,24.82065529498
新竹縣新埔鎮五埔里18鄰新關路五埔段657巷1弄3號,10004,1000403,1000403-004,18鄰,新關路,五埔段,657巷,1弄,,,3號,121.09477899762,24.821485778993
新竹縣新埔鎮五埔里3鄰新關路五埔段167巷3號,10004,1000403,1000403-004,3鄰,新關路,五埔段,167巷,,,,3號,121.10922063067,24.816171712853
新竹縣新埔鎮五埔里3鄰新關路五埔段205巷3號,10004,1000403,1000403-004,3鄰,新關路,五埔段,205巷,,,,3號,121.10810874009,24.816311082493
新竹縣新埔鎮五埔里4鄰新關路五埔段510巷3號,10004,1000403,1000403-004,4鄰,新關路,五埔段,510巷,,,,3號,121.10361753981,24.817632381924
新竹縣新埔鎮五埔里8鄰新關路五埔段708巷13弄3號,10004,1000403,1000403-004,8鄰,新關路,五埔段,708巷,13弄,,,3號,121.10038677598,24.819678496264
新竹縣新埔鎮五埔里13鄰新關路五埔段1298巷20弄5號,10004,1000403,1000403-004,13鄰,新關路,五埔段,1298巷,20弄,,,5號,121.09048628797,24.824462220668
新竹縣新埔鎮五埔里13鄰新關路五埔段1216巷5號,10004,1000403,1000403-004,13鄰,新關路,五埔段,1216巷,,,,5號,121.09109264692,24.823550425558
新竹縣新埔鎮五埔里4鄰新關路五埔段486巷5號,10004,1000403,1000403-004,4鄰,新關路,五埔段,486巷,,,,5號,121.10390537799,24.817586768407
新竹縣新埔鎮五埔里3鄰新關路五埔段167巷5號,10004,1000403,1000403-004,3鄰,新關路,五埔段,167巷,,,,5號,121.10918053763,24.816137884895
新竹縣新埔鎮五埔里4鄰新關路五埔段440巷5號,10004,1000403,1000403-004,4鄰,新關路,五埔段,440巷,,,,5號,121.10467740986,24.81735880882
新竹縣新埔鎮五埔里20鄰新關路五埔段913巷5號,10004,1000403,1000403-004,20鄰,新關路,五埔段,913巷,,,,5號,121.08921822237,24.823814567459
新竹縣新埔鎮五埔里18鄰新關路五埔段657巷49弄5號,10004,1000403,1000403-004,18鄰,新關路,五埔段,657巷,49弄,,,5號,121.09450810817,24.820638517824
新竹縣新埔鎮五埔里19鄰新關路五埔段657巷12弄5號,10004,1000403,1000403-004,19鄰,新關路,五埔段,657巷,12弄,,,5號,121.09417313369,24.821328477405
新竹縣新埔鎮五埔里18鄰新關路五埔段507巷5號,10004,1000403,1000403-004,18鄰,新關路,五埔段,507巷,,,,5號,121.09770189543,24.819687424994
新竹縣新埔鎮五埔里8鄰新關路五埔段708巷13弄5號,10004,1000403,1000403-004,8鄰,新關路,五埔段,708巷,13弄,,,5號,121.10034101232,24.819726306284
新竹縣新埔鎮五埔里7鄰新關路五埔段676巷30弄5號,10004,1000403,1000403-004,7鄰,新關路,五埔段,676巷,30弄,,,5號,121.10121742,24.819389256201
新竹縣新埔鎮五埔里8鄰新關路五埔段722巷20弄5號,10004,1000403,1000403-004,8鄰,新關路,五埔段,722巷,20弄,,,5號,121.09998106655,24.819654878385
新竹縣新埔鎮五埔里8鄰新關路五埔段740巷6號,10004,1000403,1000403-004,8鄰,新關路,五埔段,740巷,,,,6號,121.09946719346,24.819669052841
新竹縣新埔鎮五埔里8鄰新關路五埔段758巷6號,10004,1000403,1000403-004,8鄰,新關路,五埔段,758巷,,,,6號,121.09917084853,24.819587071396
新竹縣新埔鎮五埔里9鄰新關路五埔段878巷6號,10004,1000403,1000403-004,9鄰,新關路,五埔段,878巷,,,,6號,121.09726917848,24.820662740806
新竹縣新埔鎮五埔里18鄰新關路五埔段531巷6號,10004,1000403,1000403-004,18鄰,新關路,五埔段,531巷,,,,6號,121.09715800598,24.819800293637
新竹縣新埔鎮五埔里19鄰新關路五埔段657巷12弄6號,10004,1000403,1000403-004,19鄰,新關路,五埔段,657巷,12弄,,,6號,121.09447495403,24.821467778768
新竹縣新埔鎮五埔里3鄰新關路五埔段167巷6號,10004,1000403,1000403-004,3鄰,新關路,五埔段,167巷,,,,6號,121.10915335181,24.81630489762
新竹縣新埔鎮五埔里4鄰新關路五埔段510巷6號,10004,1000403,1000403-004,4鄰,新關路,五埔段,510巷,,,,6號,121.10330892078,24.817765270601
新竹縣新埔鎮五埔里5鄰新關路五埔段542巷1弄6號,10004,1000403,1000403-004,5鄰,新關路,五埔段,542巷,1弄,,,6號,121.10264383963,24.817824829691
新竹縣新埔鎮五埔里4鄰新關路五埔段542巷6號,10004,1000403,1000403-004,4鄰,新關路,五埔段,542巷,,,,6號,121.10297996925,24.818002127867
新竹縣新埔鎮五埔里7鄰新關路五埔段650巷6號,10004,1000403,1000403-004,7鄰,新關路,五埔段,650巷,,,,6號,121.10105354746,24.818859876183
新竹縣新埔鎮五埔里12鄰新關路五埔段1046巷1弄6號,10004,1000403,1000403-004,12鄰,新關路,五埔段,1046巷,1弄,,,6號,121.09386926544,24.822408939291
新竹縣新埔鎮五埔里13鄰新關路五埔段1252巷6號,10004,1000403,1000403-004,13鄰,新關路,五埔段,1252巷,,,,6號,121.09061224928,24.823966556162
新竹縣新埔鎮五埔里11鄰新關路五埔段1046巷12弄6號,10004,1000403,1000403-004,11鄰,新關路,五埔段,1046巷,12弄,,,6號,121.09428545198,24.822619179035
新竹縣新埔鎮五埔里13鄰新關路五埔段1252巷7號,10004,1000403,1000403-004,13鄰,新關路,五埔段,1252巷,,,,7號,121.09055164455,24.824141639144
新竹縣新埔鎮五埔里13鄰新關路五埔段1298巷20弄7號,10004,1000403,1000403-004,13鄰,新關路,五埔段,1298巷,20弄,,,7號,121.09046122617,24.824321615574
