FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣五峰鄉桃山村1鄰桃山1之1號,10004,1000413,1000413-004,1鄰,桃山,,,,,,1之1號,121.10941459749,24.599314552653
新竹縣五峰鄉桃山村1鄰桃山2號,10004,1000413,1000413-004,1鄰,桃山,,,,,,2號,121.10938986412,24.599193845803
新竹縣五峰鄉桃山村1鄰桃山3號,10004,1000413,1000413-004,1鄰,桃山,,,,,,3號,121.10970894537,24.599610656424
新竹縣五峰鄉桃山村1鄰桃山3之1號,10004,1000413,1000413-004,1鄰,桃山,,,,,,3之1號,121.10959235024,24.599554202661
新竹縣五峰鄉桃山村1鄰桃山3之2號,10004,1000413,1000413-004,1鄰,桃山,,,,,,3之2號,121.10958188469,24.599556557781
新竹縣五峰鄉桃山村1鄰桃山4號,10004,1000413,1000413-004,1鄰,桃山,,,,,,4號,121.10996551228,24.599228557688
新竹縣五峰鄉桃山村1鄰桃山4之5號,10004,1000413,1000413-004,1鄰,桃山,,,,,,4之5號,121.11054650398,24.59963516198
新竹縣五峰鄉桃山村1鄰桃山5號,10004,1000413,1000413-004,1鄰,桃山,,,,,,5號,121.10979705714,24.599561059887
新竹縣五峰鄉桃山村1鄰桃山6號,10004,1000413,1000413-004,1鄰,桃山,,,,,,6號,121.10976471762,24.599268331874
新竹縣五峰鄉桃山村1鄰桃山7號,10004,1000413,1000413-004,1鄰,桃山,,,,,,7號,121.10973778527,24.599162948651
新竹縣五峰鄉桃山村1鄰桃山7之1號,10004,1000413,1000413-004,1鄰,桃山,,,,,,7之1號,121.10963953027,24.599505195797
新竹縣五峰鄉桃山村1鄰桃山8之2號,10004,1000413,1000413-004,1鄰,桃山,,,,,,8之2號,121.10939049566,24.598193565472
新竹縣五峰鄉桃山村2鄰桃山9號,10004,1000413,1000413-004,2鄰,桃山,,,,,,9號,121.10980632967,24.595633400902
新竹縣五峰鄉桃山村2鄰桃山9之1號,10004,1000413,1000413-004,2鄰,桃山,,,,,,9之1號,121.1098348943,24.595754276495
新竹縣五峰鄉桃山村2鄰桃山10號,10004,1000413,1000413-004,2鄰,桃山,,,,,,10號,121.10977205032,24.595459024444
