FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣竹北市竹北里1鄰豆子埔7號,10004,1000401,1000401-007,1鄰,豆子埔,,,,,,7號,121.0235879988,24.832566998458
新竹縣竹北市竹北里7鄰豆子埔12之3號,10004,1000401,1000401-007,7鄰,豆子埔,,,,,,12之3號,121.02328752885,24.835084124331
新竹縣竹北市竹北里10鄰豆子埔19之14號,10004,1000401,1000401-007,10鄰,豆子埔,,,,,,19之14號,121.02179758604,24.836555908409
新竹縣竹北市竹北里10鄰豆子埔21號,10004,1000401,1000401-007,10鄰,豆子埔,,,,,,21號,121.02187200882,24.839491828715
新竹縣竹北市竹北里10鄰豆子埔23之2號,10004,1000401,1000401-007,10鄰,豆子埔,,,,,,23之2號,121.01974030112,24.837977816301
新竹縣竹北市竹北里11鄰豆子埔24之1號,10004,1000401,1000401-007,11鄰,豆子埔,,,,,,24之1號,121.01892471696,24.836891368393
新竹縣竹北市竹北里11鄰豆子埔24之5號,10004,1000401,1000401-007,11鄰,豆子埔,,,,,,24之5號,121.01909027395,24.837105351766
新竹縣竹北市竹仁里10鄰豆子埔51號,10004,1000401,1000401-008,10鄰,豆子埔,,,,,,51號,121.01742151622,24.836624169747
新竹縣竹北市竹義里7鄰豆子埔115號,10004,1000401,1000401-009,7鄰,豆子埔,,,,,,115號,121.00806072214,24.83813169309
新竹縣竹北市竹義里7鄰豆子埔120號,10004,1000401,1000401-009,7鄰,豆子埔,,,,,,120號,121.0077757483,24.838158712665
新竹縣竹北市福德里6鄰豆子埔93號,10004,1000401,1000401-026,6鄰,豆子埔,,,,,,93號,121.00964375437,24.835830169156
新竹縣竹北市福德里6鄰豆子埔94號,10004,1000401,1000401-026,6鄰,豆子埔,,,,,,94號,121.00926679765,24.835775245053
新竹縣竹北市福德里6鄰豆子埔94之1號,10004,1000401,1000401-026,6鄰,豆子埔,,,,,,94之1號,121.00916731548,24.835770475067
新竹縣竹北市福德里6鄰豆子埔94之2號,10004,1000401,1000401-026,6鄰,豆子埔,,,,,,94之2號,121.00927202718,24.835717913236
新竹縣竹北市福德里6鄰豆子埔94之3號,10004,1000401,1000401-026,6鄰,豆子埔,,,,,,94之3號,121.0093086701,24.835670140734
新竹縣竹北市福德里6鄰豆子埔94之4號,10004,1000401,1000401-026,6鄰,豆子埔,,,,,,94之4號,121.00937672637,24.835631909466
新竹縣竹北市福德里14鄰豆子埔103號,10004,1000401,1000401-026,14鄰,豆子埔,,,,,,103號,121.01040816199,24.836245766676
新竹縣竹北市福德里16鄰豆子埔111號,10004,1000401,1000401-026,16鄰,豆子埔,,,,,,111號,121.00734368472,24.834728984376
