FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
新竹縣寶山鄉大崎村2鄰雙龍路236巷9號,10004,1000410,1000410-002,2鄰,雙龍路,,236巷,,,,9號,121.00248631643,24.758052211721
新竹縣寶山鄉大崎村2鄰雙龍路109巷20號,10004,1000410,1000410-002,2鄰,雙龍路,,109巷,,,,20號,121.00137846649,24.753249628311
新竹縣寶山鄉大崎村2鄰雙龍路219巷21號,10004,1000410,1000410-002,2鄰,雙龍路,,219巷,,,,21號,121.00156476539,24.755138688156
新竹縣寶山鄉大崎村2鄰雙龍路109巷22號,10004,1000410,1000410-002,2鄰,雙龍路,,109巷,,,,22號,121.00126074875,24.753201858596
新竹縣寶山鄉大崎村2鄰雙龍路103巷23號,10004,1000410,1000410-002,2鄰,雙龍路,,103巷,,,,23號,121.00270603915,24.751225072674
新竹縣寶山鄉大崎村2鄰雙龍路219巷25號,10004,1000410,1000410-002,2鄰,雙龍路,,219巷,,,,25號,121.00133270693,24.754963624315
新竹縣寶山鄉大崎村2鄰雙龍路109巷28號,10004,1000410,1000410-002,2鄰,雙龍路,,109巷,,,,28號,121.00111686954,24.753154079956
新竹縣寶山鄉大崎村2鄰雙龍路110巷29號,10004,1000410,1000410-002,2鄰,雙龍路,,110巷,,,,29號,121.00453729692,24.753840809115
新竹縣寶山鄉大崎村2鄰雙龍路190巷29號,10004,1000410,1000410-002,2鄰,雙龍路,,190巷,,,,29號,121.00380487973,24.755853421397
新竹縣寶山鄉大崎村2鄰雙龍路236巷30號,10004,1000410,1000410-002,2鄰,雙龍路,,236巷,,,,30號,121.00296775087,24.75627148615
新竹縣寶山鄉大崎村2鄰雙龍路110巷31號,10004,1000410,1000410-002,2鄰,雙龍路,,110巷,,,,31號,121.00461578668,24.753966215086
新竹縣寶山鄉大崎村2鄰雙龍路103巷101號,10004,1000410,1000410-002,2鄰,雙龍路,,103巷,,,,101號,121.00064598281,24.751571481148
新竹縣寶山鄉大崎村2鄰雙龍路113號,10004,1000410,1000410-002,2鄰,雙龍路,,,,,,113號,121.00171200528,24.75348851474
新竹縣寶山鄉大崎村2鄰雙龍路155號,10004,1000410,1000410-002,2鄰,雙龍路,,,,,,155號,121.00222215197,24.754862086269
新竹縣寶山鄉大崎村2鄰雙龍路173號,10004,1000410,1000410-002,2鄰,雙龍路,,,,,,173號,121.00210443732,24.755106945742
新竹縣寶山鄉大崎村2鄰雙龍路179號,10004,1000410,1000410-002,2鄰,雙龍路,,,,,,179號,121.00211752428,24.755459298769
