FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣後龍鎮灣寶里6鄰下灣寶庄100號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,100號,120.81142363353,24.647816293357
苗栗縣後龍鎮灣寶里6鄰下灣寶庄100之6號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,100之6號,120.81120138392,24.6477340331
苗栗縣後龍鎮灣寶里6鄰下灣寶庄101號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,101號,120.81131574492,24.647626643969
苗栗縣後龍鎮灣寶里6鄰下灣寶庄101之1號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,101之1號,120.81136562073,24.647700652239
苗栗縣後龍鎮灣寶里6鄰下灣寶庄101之2號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,101之2號,120.81134384249,24.647664690381
苗栗縣後龍鎮灣寶里6鄰下灣寶庄102號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,102號,120.81139389705,24.64729087157
苗栗縣後龍鎮灣寶里6鄰下灣寶庄103號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,103號,120.81132039363,24.647096931498
苗栗縣後龍鎮灣寶里6鄰下灣寶庄103之1號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,103之1號,120.81134135153,24.646955567159
苗栗縣後龍鎮灣寶里6鄰下灣寶庄104號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,104號,120.81108963517,24.646958591692
苗栗縣後龍鎮灣寶里6鄰下灣寶庄105號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,105號,120.81082452966,24.646734344644
苗栗縣後龍鎮灣寶里6鄰下灣寶庄106號,10005,1000506,1000506-013,6鄰,下灣寶庄,,,,,,106號,120.81077283814,24.646685704765
苗栗縣後龍鎮灣寶里7鄰下灣寶庄108號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,108號,120.81089159625,24.646610012481
苗栗縣後龍鎮灣寶里7鄰下灣寶庄108之1號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,108之1號,120.8107430843,24.646632578101
苗栗縣後龍鎮灣寶里7鄰下灣寶庄109號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,109號,120.80952798184,24.645664422536
苗栗縣後龍鎮灣寶里7鄰下灣寶庄109之1號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,109之1號,120.80916023571,24.645379549648
苗栗縣後龍鎮灣寶里7鄰下灣寶庄109之5號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,109之5號,120.80926504973,24.644988465708
苗栗縣後龍鎮灣寶里7鄰下灣寶庄110號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,110號,120.80945371083,24.646174183475
苗栗縣後龍鎮灣寶里7鄰下灣寶庄110之2號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,110之2號,120.80942807466,24.646142189107
苗栗縣後龍鎮灣寶里7鄰下灣寶庄110之3號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,110之3號,120.80892625558,24.645479381586
苗栗縣後龍鎮灣寶里7鄰下灣寶庄110之4號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,110之4號,120.80894796628,24.645559042998
苗栗縣後龍鎮灣寶里7鄰下灣寶庄110之5號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,110之5號,120.80883246683,24.645440799757
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111號,120.81010325876,24.646225656831
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之1號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之1號,120.80983051516,24.646220075361
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之2號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之2號,120.81016892893,24.646241178981
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之3號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之3號,120.81007850372,24.64619881009
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之5號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之5號,120.80995096343,24.646202621567
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之6號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之6號,120.81002680957,24.646152246569
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之7號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之7號,120.81004743201,24.646102885216
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之8號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之8號,120.81009969477,24.646100062036
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之9號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之9號,120.81011685526,24.646053585509
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之10號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之10號,120.81016467135,24.64605156928
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之11號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之11號,120.81018558721,24.646004104321
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之12號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之12號,120.81023621298,24.645973199528
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之13號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之13號,120.8102933704,24.645934538212
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之14號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之14號,120.81035784129,24.645893719193
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之15號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之15號,120.81049978562,24.645771287386
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之16號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之16號,120.81050308197,24.645812643344
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之17號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之17號,120.8105501784,24.645829225366
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之18號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之18號,120.81055582754,24.645882592563
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之19號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之19號,120.81061053713,24.645894850347
苗栗縣後龍鎮灣寶里7鄰下灣寶庄111之20號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,111之20號,120.81060463244,24.645945404063
苗栗縣後龍鎮灣寶里7鄰下灣寶庄112號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,112號,120.8104807268,24.646355696132
苗栗縣後龍鎮灣寶里7鄰下灣寶庄112之3號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,112之3號,120.80983090153,24.646878183388
苗栗縣後龍鎮灣寶里7鄰下灣寶庄112之4號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,112之4號,120.80987063301,24.646931051986
苗栗縣後龍鎮灣寶里7鄰下灣寶庄112之5號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,112之5號,120.81052267119,24.646251466627
苗栗縣後龍鎮灣寶里7鄰下灣寶庄112之6號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,112之6號,120.80980446733,24.647242461062
苗栗縣後龍鎮灣寶里7鄰下灣寶庄113號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,113號,120.81099565257,24.646456924997
苗栗縣後龍鎮灣寶里7鄰下灣寶庄113之1號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,113之1號,120.81108640774,24.646411624324
苗栗縣後龍鎮灣寶里7鄰下灣寶庄113之3號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,113之3號,120.8109886978,24.646286362648
苗栗縣後龍鎮灣寶里7鄰下灣寶庄113之5號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,113之5號,120.81094559287,24.646243060601
苗栗縣後龍鎮灣寶里7鄰下灣寶庄113之6號,10005,1000506,1000506-013,7鄰,下灣寶庄,,,,,,113之6號,120.81097711313,24.646500871831
