FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣公館鄉館東村2鄰和東街53巷1號,10005,1000509,1000509-002,2鄰,和東街,,53巷,,,,1號,120.83018127329,24.502466460975
苗栗縣公館鄉館東村3鄰和東街16巷1號,10005,1000509,1000509-002,3鄰,和東街,,16巷,,,,1號,120.83038201764,24.501774978286
苗栗縣公館鄉館東村3鄰和東街1之1號,10005,1000509,1000509-002,3鄰,和東街,,,,,,1之1號,120.83011065001,24.50207858786
苗栗縣公館鄉館東村2鄰和東街53巷2號,10005,1000509,1000509-002,2鄰,和東街,,53巷,,,,2號,120.83019498669,24.502394786489
苗栗縣公館鄉館東村3鄰和東街2號,10005,1000509,1000509-002,3鄰,和東街,,,,,,2號,120.83013077794,24.50193297344
苗栗縣公館鄉館東村3鄰和東街16巷2號,10005,1000509,1000509-002,3鄰,和東街,,16巷,,,,2號,120.83038741207,24.501725776532
苗栗縣公館鄉館東村2鄰和東街53巷3號,10005,1000509,1000509-002,2鄰,和東街,,53巷,,,,3號,120.83020573148,24.502329338642
苗栗縣公館鄉館東村3鄰和東街16巷3號,10005,1000509,1000509-002,3鄰,和東街,,16巷,,,,3號,120.83039280649,24.501676574777
苗栗縣公館鄉館東村3鄰和東街3號,10005,1000509,1000509-002,3鄰,和東街,,,,,,3號,120.83016413189,24.502078377161
苗栗縣公館鄉館東村2鄰和東街53巷4號,10005,1000509,1000509-002,2鄰,和東街,,53巷,,,,4號,120.83021062159,24.502288352681
苗栗縣公館鄉館東村2鄰和東街53巷5號,10005,1000509,1000509-002,2鄰,和東街,,53巷,,,,5號,120.83021541302,24.502247366608
苗栗縣公館鄉館東村3鄰和東街5號,10005,1000509,1000509-002,3鄰,和東街,,,,,,5號,120.83021761377,24.502078166443
苗栗縣公館鄉館東村3鄰和東街16巷5號,10005,1000509,1000509-002,3鄰,和東街,,16巷,,,,5號,120.83039820091,24.501627373021
苗栗縣公館鄉館東村3鄰和東街16巷5之1號,10005,1000509,1000509-002,3鄰,和東街,,16巷,,,,5之1號,120.83040359544,24.501578080976
苗栗縣公館鄉館東村3鄰和東街16巷6號,10005,1000509,1000509-002,3鄰,和東街,,16巷,,,,6號,120.83049148286,24.501748556089
苗栗縣公館鄉館東村3鄰和東街6號,10005,1000509,1000509-002,3鄰,和東街,,,,,,6號,120.83019067552,24.501931325316
苗栗縣公館鄉館東村3鄰和東街7號,10005,1000509,1000509-002,3鄰,和東街,,,,,,7號,120.8302711942,24.502078046106
苗栗縣公館鄉館東村3鄰和東街8號,10005,1000509,1000509-002,3鄰,和東街,,,,,,8號,120.83024445251,24.501931746947
苗栗縣公館鄉館東村3鄰和東街9號,10005,1000509,1000509-002,3鄰,和東街,,,,,,9號,120.8303172755,24.502077827033
苗栗縣公館鄉館東村3鄰和東街10號,10005,1000509,1000509-002,3鄰,和東街,,,,,,10號,120.83030404971,24.501933348865
苗栗縣公館鄉館東村3鄰和東街11號,10005,1000509,1000509-002,3鄰,和東街,,,,,,11號,120.83037125184,24.50207680421
苗栗縣公館鄉館東村3鄰和東街12號,10005,1000509,1000509-002,3鄰,和東街,,,,,,12號,120.8303506219,24.501934936125
苗栗縣公館鄉館東村3鄰和東街16巷12號,10005,1000509,1000509-002,3鄰,和東街,,16巷,,,,12號,120.83050724951,24.501617202466
苗栗縣公館鄉館東村3鄰和東街13號,10005,1000509,1000509-002,3鄰,和東街,,,,,,13號,120.83043163971,24.502077504071
苗栗縣公館鄉館東村3鄰和東街14號,10005,1000509,1000509-002,3鄰,和東街,,,,,,14號,120.83039453147,24.501935346615
苗栗縣公館鄉館東村3鄰和東街15號,10005,1000509,1000509-002,3鄰,和東街,,,,,,15號,120.83048522026,24.502077293369
苗栗縣公館鄉館東村3鄰和東街17號,10005,1000509,1000509-002,3鄰,和東街,,,,,,17號,120.83053870202,24.502077172826
苗栗縣公館鄉館東村3鄰和東街18號,10005,1000509,1000509-002,3鄰,和東街,,,,,,18號,120.8304799944,24.501927226244
苗栗縣公館鄉館東村3鄰和東街19號,10005,1000509,1000509-002,3鄰,和東街,,,,,,19號,120.83063806119,24.502081708502
苗栗縣公館鄉館東村3鄰和東街20號,10005,1000509,1000509-002,3鄰,和東街,,,,,,20號,120.83053002056,24.501928546457
苗栗縣公館鄉館東村2鄰和東街21號,10005,1000509,1000509-002,2鄰,和東街,,,,,,21號,120.83066902194,24.502246250814
苗栗縣公館鄉館東村3鄰和東街22號,10005,1000509,1000509-002,3鄰,和東街,,,,,,22號,120.83058014539,24.501929866765
苗栗縣公館鄉館東村2鄰和東街23號,10005,1000509,1000509-002,2鄰,和東街,,,,,,23號,120.83065742174,24.502287500134
苗栗縣公館鄉館東村3鄰和東街24號,10005,1000509,1000509-002,3鄰,和東街,,,,,,24號,120.83063017155,24.501931186946
苗栗縣公館鄉館東村2鄰和東街25號,10005,1000509,1000509-002,2鄰,和東街,,,,,,25號,120.83064572287,24.502328749341
苗栗縣公館鄉館東村3鄰和東街26號,10005,1000509,1000509-002,3鄰,和東街,,,,,,26號,120.83068029626,24.50193259751
苗栗縣公館鄉館東村2鄰和東街29號,10005,1000509,1000509-002,2鄰,和東街,,,,,,29號,120.83060388032,24.502405719397
苗栗縣公館鄉館東村2鄰和東街31號,10005,1000509,1000509-002,2鄰,和東街,,,,,,31號,120.83059089961,24.502446244845
苗栗縣公館鄉館東村2鄰和東街31之1號,10005,1000509,1000509-002,2鄰,和東街,,,,,,31之1號,120.83050419968,24.502419963566
苗栗縣公館鄉館東村2鄰和東街31之2號,10005,1000509,1000509-002,2鄰,和東街,,,,,,31之2號,120.83040279619,24.502394478327
苗栗縣公館鄉館東村2鄰和東街33號,10005,1000509,1000509-002,2鄰,和東街,,,,,,33號,120.83057801757,24.502486770403
苗栗縣公館鄉館東村2鄰和東街38號,10005,1000509,1000509-002,2鄰,和東街,,,,,,38號,120.83079211686,24.502136957867
苗栗縣公館鄉館東村2鄰和東街38之1號,10005,1000509,1000509-002,2鄰,和東街,,,,,,38之1號,120.83100497728,24.501974855632
苗栗縣公館鄉館東村2鄰和東街39號,10005,1000509,1000509-002,2鄰,和東街,,,,,,39號,120.83045816277,24.502607714159
苗栗縣公館鄉館東村2鄰和東街40號,10005,1000509,1000509-002,2鄰,和東街,,,,,,40號,120.83079244835,24.502184179681
