FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣苗栗市嘉新里21鄰嘉興37號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,37號,120.82992733296,24.573768315118
苗栗縣苗栗市嘉新里21鄰嘉興38號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,38號,120.82986226094,24.573774652143
苗栗縣苗栗市嘉新里21鄰嘉興39號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,39號,120.82979718892,24.573780989141
苗栗縣苗栗市嘉新里21鄰嘉興40號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,40號,120.82973211688,24.57378732611
苗栗縣苗栗市嘉新里21鄰嘉興41號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,41號,120.82966704484,24.573793663051
苗栗縣苗栗市嘉新里21鄰嘉興42號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,42號,120.82960197268,24.573800090253
苗栗縣苗栗市嘉新里21鄰嘉興43號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,43號,120.82953690062,24.573806427138
苗栗縣苗栗市嘉新里21鄰嘉興45號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,45號,120.82945180327,24.573800191197
苗栗縣苗栗市嘉新里21鄰嘉興52號,10005,1000501,1000501-026,21鄰,嘉興,,,,,,52號,120.82954223702,24.573948728171
苗栗縣苗栗市嘉新里17鄰嘉興54號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,54號,120.83002089967,24.574302749254
苗栗縣苗栗市嘉新里17鄰嘉興57號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,57號,120.83003410648,24.574466276987
苗栗縣苗栗市嘉新里17鄰嘉興58號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,58號,120.83004014072,24.574530840213
苗栗縣苗栗市嘉新里16鄰嘉興58之1號,10005,1000501,1000501-026,16鄰,嘉興,,,,,,58之1號,120.82982090524,24.57456950715
苗栗縣苗栗市嘉新里17鄰嘉興58之2號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,58之2號,120.83004491399,24.574578698607
苗栗縣苗栗市嘉新里17鄰嘉興95號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,95號,120.83005450799,24.574712426987
苗栗縣苗栗市嘉新里17鄰嘉興96號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,96號,120.83010011595,24.574790036417
苗栗縣苗栗市嘉新里17鄰嘉興97號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,97號,120.83010124703,24.574829855007
苗栗縣苗栗市嘉新里17鄰嘉興98號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,98號,120.83010523303,24.574875816447
苗栗縣苗栗市嘉新里17鄰嘉興99號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,99號,120.83011197817,24.5749257537
苗栗縣苗栗市嘉新里17鄰嘉興100號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,100號,120.83012739256,24.574989876053
苗栗縣苗栗市嘉新里17鄰嘉興101號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,101號,120.83015775377,24.575098798446
苗栗縣苗栗市嘉新里17鄰嘉興102號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,102號,120.83017810088,24.575165815592
苗栗縣苗栗市嘉新里17鄰嘉興103號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,103號,120.83018988879,24.575210250914
苗栗縣苗栗市嘉新里17鄰嘉興105號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,105號,120.83020480692,24.575276359049
苗栗縣苗栗市嘉新里17鄰嘉興150號,10005,1000501,1000501-026,17鄰,嘉興,,,,,,150號,120.83041358211,24.575454643504
