FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣苗栗市南勢里20鄰國馨1號,10005,1000501,1000501-027,20鄰,國馨,,,,,,1號,120.7889971186,24.525260417909
苗栗縣苗栗市南勢里20鄰國馨2號,10005,1000501,1000501-027,20鄰,國馨,,,,,,2號,120.78899481654,24.525279646277
苗栗縣苗栗市南勢里20鄰國馨3號,10005,1000501,1000501-027,20鄰,國馨,,,,,,3號,120.78906693881,24.525233699661
苗栗縣苗栗市南勢里20鄰國馨4號,10005,1000501,1000501-027,20鄰,國馨,,,,,,4號,120.78911532213,24.525219321033
苗栗縣苗栗市南勢里20鄰國馨5號,10005,1000501,1000501-027,20鄰,國馨,,,,,,5號,120.7891636066,24.525205032539
苗栗縣苗栗市南勢里20鄰國馨6號,10005,1000501,1000501-027,20鄰,國馨,,,,,,6號,120.78921198989,24.525190653879
苗栗縣苗栗市南勢里20鄰國馨7號,10005,1000501,1000501-027,20鄰,國馨,,,,,,7號,120.78926037318,24.525176275204
苗栗縣苗栗市南勢里20鄰國馨8號,10005,1000501,1000501-027,20鄰,國馨,,,,,,8號,120.78930865776,24.525161896375
苗栗縣苗栗市南勢里20鄰國馨9號,10005,1000501,1000501-027,20鄰,國馨,,,,,,9號,120.78935704087,24.525147607957
苗栗縣苗栗市南勢里20鄰國馨10號,10005,1000501,1000501-027,20鄰,國馨,,,,,,10號,120.78938676573,24.525136543888
苗栗縣苗栗市南勢里20鄰國馨11號,10005,1000501,1000501-027,20鄰,國馨,,,,,,11號,120.78943505014,24.525122255308
苗栗縣苗栗市南勢里20鄰國馨12號,10005,1000501,1000501-027,20鄰,國馨,,,,,,12號,120.78948343337,24.52510787656
苗栗縣苗栗市南勢里20鄰國馨13號,10005,1000501,1000501-027,20鄰,國馨,,,,,,13號,120.78953181659,24.525093497797
苗栗縣苗栗市南勢里20鄰國馨14號,10005,1000501,1000501-027,20鄰,國馨,,,,,,14號,120.78958010111,24.52507911888
苗栗縣苗栗市南勢里20鄰國馨15號,10005,1000501,1000501-027,20鄰,國馨,,,,,,15號,120.78962848416,24.525064830375
