FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣頭份鎮土牛里1鄰土牛2號,10005,1000505,1000505-007,1鄰,土牛,,,,,,2號,120.92291830651,24.688485808197
苗栗縣頭份鎮土牛里1鄰土牛3號,10005,1000505,1000505-007,1鄰,土牛,,,,,,3號,120.92305825407,24.68845807142
苗栗縣頭份鎮土牛里1鄰土牛4號,10005,1000505,1000505-007,1鄰,土牛,,,,,,4號,120.92294578588,24.688313463393
苗栗縣頭份鎮土牛里1鄰土牛5號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5號,120.92312266273,24.688011632528
苗栗縣頭份鎮土牛里1鄰土牛5之1號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之1號,120.92327616488,24.688117979485
苗栗縣頭份鎮土牛里1鄰土牛5之2號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之2號,120.9233209386,24.688105000952
苗栗縣頭份鎮土牛里1鄰土牛5之3號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之3號,120.92336581119,24.688091932169
苗栗縣頭份鎮土牛里1鄰土牛5之4號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之4號,120.92341068371,24.688078953659
苗栗縣頭份鎮土牛里1鄰土牛5之5號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之5號,120.92345555622,24.688065975137
苗栗縣頭份鎮土牛里1鄰土牛5之6號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之6號,120.92350032991,24.68805299655
苗栗縣頭份鎮土牛里1鄰土牛5之7號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之7號,120.92354520246,24.688039927713
苗栗縣頭份鎮土牛里1鄰土牛5之8號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之8號,120.92359007494,24.68802694915
苗栗縣頭份鎮土牛里1鄰土牛5之11號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之11號,120.92355337095,24.687933031421
苗栗縣頭份鎮土牛里1鄰土牛5之12號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之12號,120.92350889345,24.6879465519
苗栗縣頭份鎮土牛里1鄰土牛5之13號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之13號,120.92346441599,24.687959982078
苗栗縣頭份鎮土牛里1鄰土牛5之14號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之14號,120.92341993846,24.68797350253
苗栗縣頭份鎮土牛里1鄰土牛5之15號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之15號,120.92337555981,24.687986932732
苗栗縣頭份鎮土牛里1鄰土牛5之16號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之16號,120.92333108232,24.68800036287
苗栗縣頭份鎮土牛里1鄰土牛5之17號,10005,1000505,1000505-007,1鄰,土牛,,,,,,5之17號,120.92328660477,24.688013883283
苗栗縣頭份鎮土牛里1鄰土牛6號,10005,1000505,1000505-007,1鄰,土牛,,,,,,6號,120.92325116907,24.688269830353
苗栗縣頭份鎮土牛里1鄰土牛7號,10005,1000505,1000505-007,1鄰,土牛,,,,,,7號,120.92366803325,24.688369810598
苗栗縣頭份鎮土牛里1鄰土牛8之1號,10005,1000505,1000505-007,1鄰,土牛,,,,,,8之1號,120.9240294416,24.688010288338
苗栗縣頭份鎮土牛里1鄰土牛8之2號,10005,1000505,1000505-007,1鄰,土牛,,,,,,8之2號,120.92401281851,24.688208280507
苗栗縣頭份鎮土牛里1鄰土牛8之5號,10005,1000505,1000505-007,1鄰,土牛,,,,,,8之5號,120.92436267925,24.687986259522
苗栗縣頭份鎮土牛里1鄰土牛8之7號,10005,1000505,1000505-007,1鄰,土牛,,,,,,8之7號,120.92448077304,24.687980992003
苗栗縣頭份鎮土牛里1鄰土牛10號,10005,1000505,1000505-007,1鄰,土牛,,,,,,10號,120.9244524402,24.688261320571
苗栗縣頭份鎮土牛里1鄰土牛10之11號,10005,1000505,1000505-007,1鄰,土牛,,,,,,10之11號,120.92521481959,24.687969080317
苗栗縣頭份鎮土牛里1鄰土牛11號,10005,1000505,1000505-007,1鄰,土牛,,,,,,11號,120.92428097696,24.688276402503
苗栗縣頭份鎮土牛里1鄰土牛12號,10005,1000505,1000505-007,1鄰,土牛,,,,,,12號,120.92419539732,24.688277713632
苗栗縣頭份鎮土牛里1鄰土牛13號,10005,1000505,1000505-007,1鄰,土牛,,,,,,13號,120.92428180463,24.688542119149
苗栗縣頭份鎮土牛里1鄰土牛13之1號,10005,1000505,1000505-007,1鄰,土牛,,,,,,13之1號,120.92423654272,24.688381745647
苗栗縣頭份鎮土牛里1鄰土牛15號,10005,1000505,1000505-007,1鄰,土牛,,,,,,15號,120.92409342651,24.688420587289
苗栗縣頭份鎮土牛里2鄰土牛17號,10005,1000505,1000505-007,2鄰,土牛,,,,,,17號,120.92401715247,24.688394636184
苗栗縣頭份鎮土牛里2鄰土牛17之1號,10005,1000505,1000505-007,2鄰,土牛,,,,,,17之1號,120.92397682111,24.688415111039
苗栗縣頭份鎮土牛里2鄰土牛18號,10005,1000505,1000505-007,2鄰,土牛,,,,,,18號,120.92392514183,24.688408403585
苗栗縣頭份鎮土牛里2鄰土牛18之2號,10005,1000505,1000505-007,2鄰,土牛,,,,,,18之2號,120.92415762701,24.688801904002
苗栗縣頭份鎮土牛里2鄰土牛20號,10005,1000505,1000505-007,2鄰,土牛,,,,,,20號,120.92412740794,24.689094962065
苗栗縣頭份鎮土牛里2鄰土牛23號,10005,1000505,1000505-007,2鄰,土牛,,,,,,23號,120.92386758961,24.688471665977
苗栗縣頭份鎮土牛里2鄰土牛24號,10005,1000505,1000505-007,2鄰,土牛,,,,,,24號,120.92390467355,24.688591496339
苗栗縣頭份鎮土牛里2鄰土牛25號,10005,1000505,1000505-007,2鄰,土牛,,,,,,25號,120.92387918386,24.688744069353
苗栗縣頭份鎮土牛里2鄰土牛26號,10005,1000505,1000505-007,2鄰,土牛,,,,,,26號,120.92383495571,24.688997303454
苗栗縣頭份鎮土牛里3鄰土牛28號,10005,1000505,1000505-007,3鄰,土牛,,,,,,28號,120.92367713045,24.688522762313
苗栗縣頭份鎮土牛里3鄰土牛29號,10005,1000505,1000505-007,3鄰,土牛,,,,,,29號,120.92360341654,24.688511980605
苗栗縣頭份鎮土牛里3鄰土牛30號,10005,1000505,1000505-007,3鄰,土牛,,,,,,30號,120.92348282346,24.688563473378
苗栗縣頭份鎮土牛里3鄰土牛32之3號,10005,1000505,1000505-007,3鄰,土牛,,,,,,32之3號,120.92346433668,24.688898972434
苗栗縣頭份鎮土牛里3鄰土牛33號,10005,1000505,1000505-007,3鄰,土牛,,,,,,33號,120.92363527185,24.68926553656
苗栗縣頭份鎮土牛里3鄰土牛34號,10005,1000505,1000505-007,3鄰,土牛,,,,,,34號,120.92367657676,24.689431957477
苗栗縣頭份鎮土牛里3鄰土牛34之1號,10005,1000505,1000505-007,3鄰,土牛,,,,,,34之1號,120.92370154265,24.689491108496
苗栗縣頭份鎮土牛里3鄰土牛34之2號,10005,1000505,1000505-007,3鄰,土牛,,,,,,34之2號,120.92372868149,24.689552156652
苗栗縣頭份鎮土牛里3鄰土牛35號,10005,1000505,1000505-007,3鄰,土牛,,,,,,35號,120.92383375573,24.68967093809
苗栗縣頭份鎮土牛里3鄰土牛35之1號,10005,1000505,1000505-007,3鄰,土牛,,,,,,35之1號,120.92383733653,24.689795356113
苗栗縣頭份鎮土牛里3鄰土牛35之2號,10005,1000505,1000505-007,3鄰,土牛,,,,,,35之2號,120.92378746349,24.689742602891
苗栗縣頭份鎮土牛里3鄰土牛36號,10005,1000505,1000505-007,3鄰,土牛,,,,,,36號,120.92356943225,24.68962963265
苗栗縣頭份鎮土牛里3鄰土牛36之1號,10005,1000505,1000505-007,3鄰,土牛,,,,,,36之1號,120.92341581141,24.689390653574
苗栗縣頭份鎮土牛里3鄰土牛37號,10005,1000505,1000505-007,3鄰,土牛,,,,,,37號,120.92364181023,24.689887801505
苗栗縣頭份鎮土牛里3鄰土牛37之3號,10005,1000505,1000505-007,3鄰,土牛,,,,,,37之3號,120.92369527159,24.689890085874
苗栗縣頭份鎮土牛里3鄰土牛38號,10005,1000505,1000505-007,3鄰,土牛,,,,,,38號,120.92347643307,24.689804201346
苗栗縣頭份鎮土牛里3鄰土牛38之1號,10005,1000505,1000505-007,3鄰,土牛,,,,,,38之1號,120.92348129812,24.689766915079
苗栗縣頭份鎮土牛里3鄰土牛39號,10005,1000505,1000505-007,3鄰,土牛,,,,,,39號,120.9233903434,24.689668184432
苗栗縣頭份鎮土牛里3鄰土牛40號,10005,1000505,1000505-007,3鄰,土牛,,,,,,40號,120.92325274841,24.689563741781
苗栗縣頭份鎮土牛里4鄰土牛41號,10005,1000505,1000505-007,4鄰,土牛,,,,,,41號,120.92318277998,24.689406695991
苗栗縣頭份鎮土牛里4鄰土牛42號,10005,1000505,1000505-007,4鄰,土牛,,,,,,42號,120.92316250857,24.689266649664
苗栗縣頭份鎮土牛里4鄰土牛43號,10005,1000505,1000505-007,4鄰,土牛,,,,,,43號,120.92326183338,24.689251803022
苗栗縣頭份鎮土牛里4鄰土牛44號,10005,1000505,1000505-007,4鄰,土牛,,,,,,44號,120.92340717508,24.689292506627
苗栗縣頭份鎮土牛里4鄰土牛45號,10005,1000505,1000505-007,4鄰,土牛,,,,,,45號,120.92315019663,24.688877865259
苗栗縣頭份鎮土牛里4鄰土牛45之1號,10005,1000505,1000505-007,4鄰,土牛,,,,,,45之1號,120.92326424888,24.688857518612
苗栗縣頭份鎮土牛里4鄰土牛45之2號,10005,1000505,1000505-007,4鄰,土牛,,,,,,45之2號,120.92328969862,24.688932921706
苗栗縣頭份鎮土牛里4鄰土牛46號,10005,1000505,1000505-007,4鄰,土牛,,,,,,46號,120.92319063135,24.68885043854
苗栗縣頭份鎮土牛里4鄰土牛47號,10005,1000505,1000505-007,4鄰,土牛,,,,,,47號,120.92321918281,24.688702020439
苗栗縣頭份鎮土牛里4鄰土牛48號,10005,1000505,1000505-007,4鄰,土牛,,,,,,48號,120.92313568725,24.688688434586
苗栗縣頭份鎮土牛里4鄰土牛50號,10005,1000505,1000505-007,4鄰,土牛,,,,,,50號,120.92307632087,24.688808486601
苗栗縣頭份鎮土牛里4鄰土牛51號,10005,1000505,1000505-007,4鄰,土牛,,,,,,51號,120.92311751881,24.688986735292
苗栗縣頭份鎮土牛里4鄰土牛52號,10005,1000505,1000505-007,4鄰,土牛,,,,,,52號,120.92311319156,24.689113767631
苗栗縣頭份鎮土牛里5鄰土牛54號,10005,1000505,1000505-007,5鄰,土牛,,,,,,54號,120.92355848154,24.690085308193
苗栗縣頭份鎮土牛里5鄰土牛55號,10005,1000505,1000505-007,5鄰,土牛,,,,,,55號,120.92342082444,24.690081536252
苗栗縣頭份鎮土牛里5鄰土牛56號,10005,1000505,1000505-007,5鄰,土牛,,,,,,56號,120.92316536716,24.69008438522
苗栗縣頭份鎮土牛里5鄰土牛57號,10005,1000505,1000505-007,5鄰,土牛,,,,,,57號,120.92329367957,24.689855752547
苗栗縣頭份鎮土牛里5鄰土牛58號,10005,1000505,1000505-007,5鄰,土牛,,,,,,58號,120.92291799855,24.689950542604
