FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣大湖鄉大南村2鄰小南勢1號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,1號,120.89447467353,24.426733891706
苗栗縣大湖鄉大南村2鄰小南勢2號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,2號,120.89590678573,24.425278947086
苗栗縣大湖鄉大南村1鄰小南勢3號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,3號,120.90216840174,24.426347470659
苗栗縣大湖鄉大南村1鄰小南勢5號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,5號,120.9031319826,24.426467996499
苗栗縣大湖鄉大南村1鄰小南勢6號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,6號,120.90303134454,24.426662327797
苗栗縣大湖鄉大南村1鄰小南勢7號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,7號,120.90316513368,24.426705211231
苗栗縣大湖鄉大南村1鄰小南勢8號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,8號,120.90574004254,24.427308443545
苗栗縣大湖鄉大南村1鄰小南勢10號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,10號,120.90440755025,24.425589105822
苗栗縣大湖鄉大南村1鄰小南勢11號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,11號,120.90391308839,24.424424584887
苗栗縣大湖鄉大南村1鄰小南勢13號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,13號,120.90387850127,24.425561051484
苗栗縣大湖鄉大南村1鄰小南勢14號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,14號,120.9021485912,24.425693663278
苗栗縣大湖鄉大南村1鄰小南勢15號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,15號,120.90141485951,24.425864919885
苗栗縣大湖鄉大南村1鄰小南勢15之1號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,15之1號,120.90159865575,24.426148552134
苗栗縣大湖鄉大南村1鄰小南勢15之2號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,15之2號,120.90207675314,24.42613676331
苗栗縣大湖鄉大南村1鄰小南勢15之3號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,15之3號,120.90135842693,24.426150201551
苗栗縣大湖鄉大南村1鄰小南勢16號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,16號,120.90133276481,24.425544605451
苗栗縣大湖鄉大南村1鄰小南勢16之1號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,16之1號,120.89982495686,24.425148502987
苗栗縣大湖鄉大南村1鄰小南勢17號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,17號,120.89933043595,24.424735004803
苗栗縣大湖鄉大南村1鄰小南勢18號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,18號,120.89903063994,24.424373371576
苗栗縣大湖鄉大南村1鄰小南勢19號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,19號,120.89881201744,24.424366905213
苗栗縣大湖鄉大南村1鄰小南勢20號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,20號,120.8986965101,24.424281142102
苗栗縣大湖鄉大南村1鄰小南勢21號,10005,1000508,1000508-005,1鄰,小南勢,,,,,,21號,120.89813992989,24.423669681305
苗栗縣大湖鄉大南村2鄰小南勢22號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,22號,120.89770875755,24.422365773738
苗栗縣大湖鄉大南村2鄰小南勢22之1號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,22之1號,120.89792852597,24.422414408209
苗栗縣大湖鄉大南村2鄰小南勢23號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,23號,120.89769876434,24.422407120116
苗栗縣大湖鄉大南村2鄰小南勢24號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,24號,120.89747437786,24.422704024615
苗栗縣大湖鄉大南村2鄰小南勢25號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,25號,120.89759271746,24.422454541297
苗栗縣大湖鄉大南村2鄰小南勢26號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,26號,120.8976124888,24.422638476788
苗栗縣大湖鄉大南村2鄰小南勢26之1號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,26之1號,120.89734473156,24.422911153836
苗栗縣大湖鄉大南村2鄰小南勢26之2號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,26之2號,120.89742833304,24.422816856762
苗栗縣大湖鄉大南村2鄰小南勢27號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,27號,120.89775432389,24.422234341294
苗栗縣大湖鄉大南村2鄰小南勢28號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,28號,120.8979690595,24.422164510928
苗栗縣大湖鄉大南村2鄰小南勢30號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,30號,120.89821081585,24.422216139403
苗栗縣大湖鄉大南村2鄰小南勢31號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,31號,120.8983875796,24.42178412695
苗栗縣大湖鄉大南村2鄰小南勢31之1號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,31之1號,120.89836969432,24.421706555238
苗栗縣大湖鄉大南村2鄰小南勢32號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,32號,120.89810553219,24.421927589816
苗栗縣大湖鄉大南村2鄰小南勢33號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,33號,120.89808028204,24.42181154928
苗栗縣大湖鄉大南村2鄰小南勢34號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,34號,120.897951266,24.421605238409
苗栗縣大湖鄉大南村2鄰小南勢38號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,38號,120.89812713535,24.421427484221
苗栗縣大湖鄉大南村2鄰小南勢39號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,39號,120.89829189938,24.421448000728
苗栗縣大湖鄉大南村2鄰小南勢40號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,40號,120.89826807303,24.421400943263
苗栗縣大湖鄉大南村2鄰小南勢40之1號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,40之1號,120.89825776498,24.421343330871
苗栗縣大湖鄉大南村2鄰小南勢41號,10005,1000508,1000508-005,2鄰,小南勢,,,,,,41號,120.89919875205,24.419936328396
苗栗縣大湖鄉大南村3鄰小南勢43號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,43號,120.90440061292,24.420792137966
苗栗縣大湖鄉大南村3鄰小南勢43之1號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,43之1號,120.90707511052,24.42004050811
苗栗縣大湖鄉大南村3鄰小南勢43之2號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,43之2號,120.90797702694,24.419330651661
苗栗縣大湖鄉大南村3鄰小南勢44號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,44號,120.90478540667,24.42051329192
苗栗縣大湖鄉大南村3鄰小南勢45號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,45號,120.90561500799,24.421991328696
苗栗縣大湖鄉大南村3鄰小南勢46號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,46號,120.9056975639,24.421835267533
苗栗縣大湖鄉大南村3鄰小南勢48號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,48號,120.9064941082,24.421762897142
苗栗縣大湖鄉大南村3鄰小南勢49號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,49號,120.90679942482,24.421610494167
苗栗縣大湖鄉大南村3鄰小南勢50號,10005,1000508,1000508-005,3鄰,小南勢,,,,,,50號,120.90710800345,24.419021687674
苗栗縣大湖鄉大南村5鄰小南勢52號,10005,1000508,1000508-005,5鄰,小南勢,,,,,,52號,120.90388403335,24.418648850742
苗栗縣大湖鄉大南村5鄰小南勢53號,10005,1000508,1000508-005,5鄰,小南勢,,,,,,53號,120.90396009577,24.418082324621
