FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣造橋鄉豐湖村7鄰干珍窩1號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,1號,120.84884147848,24.603440514103
苗栗縣造橋鄉豐湖村7鄰干珍窩3號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,3號,120.85227296676,24.61160932986
苗栗縣造橋鄉豐湖村7鄰干珍窩5之1號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,5之1號,120.85084460792,24.610349933742
苗栗縣造橋鄉豐湖村7鄰干珍窩6號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,6號,120.84900035308,24.609628406302
苗栗縣造橋鄉豐湖村7鄰干珍窩7號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,7號,120.84989085102,24.607567833643
苗栗縣造橋鄉豐湖村7鄰干珍窩9號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,9號,120.84953385495,24.608053950812
苗栗縣造橋鄉豐湖村7鄰干珍窩9之1號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,9之1號,120.84941054112,24.608190253174
苗栗縣造橋鄉豐湖村7鄰干珍窩9之2號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,9之2號,120.84962478,24.60799697945
苗栗縣造橋鄉豐湖村7鄰干珍窩12號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,12號,120.84883068972,24.603296583549
苗栗縣造橋鄉豐湖村7鄰干珍窩12之1號,10005,1000515,1000515-003,7鄰,干珍窩,,,,,,12之1號,120.84765730537,24.603778985225
