FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣後龍鎮豐富里1鄰新東路1號,10005,1000506,1000506-006,1鄰,新東路,,,,,,1號,120.84355283551,24.590630760973
苗栗縣後龍鎮豐富里1鄰新東路1之1號,10005,1000506,1000506-006,1鄰,新東路,,,,,,1之1號,120.84266393809,24.59110899609
苗栗縣後龍鎮豐富里1鄰新東路1之5號,10005,1000506,1000506-006,1鄰,新東路,,,,,,1之5號,120.84268610147,24.590124964435
苗栗縣後龍鎮豐富里1鄰新東路1之6號,10005,1000506,1000506-006,1鄰,新東路,,,,,,1之6號,120.84053318289,24.591462039984
苗栗縣後龍鎮豐富里1鄰新東路4號,10005,1000506,1000506-006,1鄰,新東路,,,,,,4號,120.84324145961,24.592404697087
苗栗縣後龍鎮豐富里1鄰新東路5號,10005,1000506,1000506-006,1鄰,新東路,,,,,,5號,120.84234215417,24.592588307878
苗栗縣後龍鎮豐富里1鄰新東路6號,10005,1000506,1000506-006,1鄰,新東路,,,,,,6號,120.84064645222,24.59309277049
苗栗縣後龍鎮豐富里1鄰新東路8號,10005,1000506,1000506-006,1鄰,新東路,,,,,,8號,120.84018355503,24.593152412018
苗栗縣後龍鎮豐富里1鄰新東路8之1號,10005,1000506,1000506-006,1鄰,新東路,,,,,,8之1號,120.83961679805,24.593195328443
苗栗縣後龍鎮豐富里1鄰新東路8之2號,10005,1000506,1000506-006,1鄰,新東路,,,,,,8之2號,120.83956090912,24.593194366016
苗栗縣後龍鎮豐富里2鄰新東路10號,10005,1000506,1000506-006,2鄰,新東路,,,,,,10號,120.83988418946,24.593903745717
苗栗縣後龍鎮豐富里2鄰新東路11號,10005,1000506,1000506-006,2鄰,新東路,,,,,,11號,120.83976907221,24.593887190748
苗栗縣後龍鎮豐富里2鄰新東路11之1號,10005,1000506,1000506-006,2鄰,新東路,,,,,,11之1號,120.83965031351,24.593783593705
苗栗縣後龍鎮豐富里2鄰新東路14號,10005,1000506,1000506-006,2鄰,新東路,,,,,,14號,120.8392730847,24.5938749246
苗栗縣後龍鎮豐富里2鄰新東路15號,10005,1000506,1000506-006,2鄰,新東路,,,,,,15號,120.83907900052,24.593912096728
苗栗縣後龍鎮豐富里2鄰新東路15之1號,10005,1000506,1000506-006,2鄰,新東路,,,,,,15之1號,120.83899255618,24.593944327593
苗栗縣後龍鎮豐富里2鄰新東路15之2號,10005,1000506,1000506-006,2鄰,新東路,,,,,,15之2號,120.83898883247,24.594307915355
苗栗縣後龍鎮豐富里1鄰新東路16號,10005,1000506,1000506-006,1鄰,新東路,,,,,,16號,120.8383764733,24.594024204853
苗栗縣後龍鎮豐富里1鄰新東路16之1號,10005,1000506,1000506-006,1鄰,新東路,,,,,,16之1號,120.83833851046,24.594135489802
苗栗縣後龍鎮豐富里2鄰新東路17號,10005,1000506,1000506-006,2鄰,新東路,,,,,,17號,120.838821937,24.594472693848
