FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣造橋鄉造橋村13鄰東興1號,10005,1000515,1000515-001,13鄰,東興,,,,,,1號,120.86639027022,24.63836841663
苗栗縣造橋鄉造橋村13鄰東興2號,10005,1000515,1000515-001,13鄰,東興,,,,,,2號,120.86849583056,24.637863756928
苗栗縣造橋鄉造橋村13鄰東興2之1號,10005,1000515,1000515-001,13鄰,東興,,,,,,2之1號,120.86851783889,24.637977087666
苗栗縣造橋鄉造橋村13鄰東興2之2號,10005,1000515,1000515-001,13鄰,東興,,,,,,2之2號,120.86841207817,24.63794476232
苗栗縣造橋鄉造橋村13鄰東興4號,10005,1000515,1000515-001,13鄰,東興,,,,,,4號,120.86850555888,24.639233615488
苗栗縣造橋鄉造橋村13鄰東興5之1號,10005,1000515,1000515-001,13鄰,東興,,,,,,5之1號,120.86712142934,24.639788934011
苗栗縣造橋鄉造橋村13鄰東興5之2號,10005,1000515,1000515-001,13鄰,東興,,,,,,5之2號,120.86709282399,24.639749633441
苗栗縣造橋鄉造橋村13鄰東興5之5號,10005,1000515,1000515-001,13鄰,東興,,,,,,5之5號,120.86702679451,24.639603398761
苗栗縣造橋鄉造橋村13鄰東興5之6號,10005,1000515,1000515-001,13鄰,東興,,,,,,5之6號,120.86684659121,24.639719439964
苗栗縣造橋鄉造橋村13鄰東興6號,10005,1000515,1000515-001,13鄰,東興,,,,,,6號,120.86658732837,24.640424720664
苗栗縣造橋鄉造橋村13鄰東興6之1號,10005,1000515,1000515-001,13鄰,東興,,,,,,6之1號,120.86668665063,24.640475099181
苗栗縣造橋鄉造橋村13鄰東興6之2號,10005,1000515,1000515-001,13鄰,東興,,,,,,6之2號,120.86671002263,24.640512408849
苗栗縣造橋鄉造橋村13鄰東興6之3號,10005,1000515,1000515-001,13鄰,東興,,,,,,6之3號,120.86647323952,24.640326566612
苗栗縣造橋鄉造橋村13鄰東興6之5號,10005,1000515,1000515-001,13鄰,東興,,,,,,6之5號,120.86616525902,24.640117908065
苗栗縣造橋鄉造橋村13鄰東興6之6號,10005,1000515,1000515-001,13鄰,東興,,,,,,6之6號,120.8665651712,24.639987797324
苗栗縣造橋鄉造橋村13鄰東興8號,10005,1000515,1000515-001,13鄰,東興,,,,,,8號,120.86720189331,24.63983035701
苗栗縣造橋鄉造橋村13鄰東興9號,10005,1000515,1000515-001,13鄰,東興,,,,,,9號,120.86765164974,24.64058095666
苗栗縣造橋鄉造橋村13鄰東興9之6號,10005,1000515,1000515-001,13鄰,東興,,,,,,9之6號,120.8672795681,24.639987346163
苗栗縣造橋鄉造橋村13鄰東興10號,10005,1000515,1000515-001,13鄰,東興,,,,,,10號,120.86735155669,24.640103610363
苗栗縣造橋鄉造橋村13鄰東興12之1號,10005,1000515,1000515-001,13鄰,東興,,,,,,12之1號,120.86787228417,24.641752637525
苗栗縣造橋鄉造橋村13鄰東興13號,10005,1000515,1000515-001,13鄰,東興,,,,,,13號,120.86809613852,24.641931604309
苗栗縣造橋鄉造橋村13鄰東興14號,10005,1000515,1000515-001,13鄰,東興,,,,,,14號,120.87043215664,24.64023820738
苗栗縣造橋鄉造橋村7鄰東興15號,10005,1000515,1000515-001,7鄰,東興,,,,,,15號,120.86897780937,24.642668402927
苗栗縣造橋鄉造橋村7鄰東興15之1號,10005,1000515,1000515-001,7鄰,東興,,,,,,15之1號,120.86904927048,24.642725075754
苗栗縣造橋鄉造橋村7鄰東興18號,10005,1000515,1000515-001,7鄰,東興,,,,,,18號,120.86948102983,24.642943316104
苗栗縣造橋鄉造橋村7鄰東興19號,10005,1000515,1000515-001,7鄰,東興,,,,,,19號,120.86983145558,24.643099908412
苗栗縣造橋鄉造橋村7鄰東興19之1號,10005,1000515,1000515-001,7鄰,東興,,,,,,19之1號,120.86961424289,24.643084642098
苗栗縣造橋鄉造橋村7鄰東興19之2號,10005,1000515,1000515-001,7鄰,東興,,,,,,19之2號,120.87018347485,24.643531518465
苗栗縣造橋鄉造橋村7鄰東興19之3號,10005,1000515,1000515-001,7鄰,東興,,,,,,19之3號,120.86964816181,24.643335852673
苗栗縣造橋鄉造橋村7鄰東興23號,10005,1000515,1000515-001,7鄰,東興,,,,,,23號,120.86997768751,24.643357265409
苗栗縣造橋鄉造橋村7鄰東興25號,10005,1000515,1000515-001,7鄰,東興,,,,,,25號,120.87054113668,24.643379059611
苗栗縣造橋鄉造橋村7鄰東興25之3號,10005,1000515,1000515-001,7鄰,東興,,,,,,25之3號,120.87114920008,24.644207161582
苗栗縣造橋鄉造橋村7鄰東興25之6號,10005,1000515,1000515-001,7鄰,東興,,,,,,25之6號,120.87146970028,24.644266213402
苗栗縣造橋鄉造橋村7鄰東興26號,10005,1000515,1000515-001,7鄰,東興,,,,,,26號,120.87044818973,24.643273523184
