FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣造橋鄉龍昇村7鄰潭內1號,10005,1000515,1000515-009,7鄰,潭內,,,,,,1號,120.8289257174,24.64159048494
苗栗縣造橋鄉龍昇村7鄰潭內1之2號,10005,1000515,1000515-009,7鄰,潭內,,,,,,1之2號,120.82947352956,24.642495250151
苗栗縣造橋鄉龍昇村7鄰潭內2號,10005,1000515,1000515-009,7鄰,潭內,,,,,,2號,120.82881642136,24.641475694919
苗栗縣造橋鄉龍昇村7鄰潭內3號,10005,1000515,1000515-009,7鄰,潭內,,,,,,3號,120.8290085169,24.641431672442
苗栗縣造橋鄉龍昇村7鄰潭內3之1號,10005,1000515,1000515-009,7鄰,潭內,,,,,,3之1號,120.82901755524,24.641395657852
苗栗縣造橋鄉龍昇村7鄰潭內3之2號,10005,1000515,1000515-009,7鄰,潭內,,,,,,3之2號,120.82891396216,24.64130037657
苗栗縣造橋鄉龍昇村7鄰潭內3之3號,10005,1000515,1000515-009,7鄰,潭內,,,,,,3之3號,120.82901179097,24.641276110127
苗栗縣造橋鄉龍昇村7鄰潭內3之4號,10005,1000515,1000515-009,7鄰,潭內,,,,,,3之4號,120.82904848239,24.641244731663
苗栗縣造橋鄉龍昇村7鄰潭內4號,10005,1000515,1000515-009,7鄰,潭內,,,,,,4號,120.82911086087,24.641065671391
苗栗縣造橋鄉龍昇村7鄰潭內4之1號,10005,1000515,1000515-009,7鄰,潭內,,,,,,4之1號,120.829026886,24.641072257227
苗栗縣造橋鄉龍昇村7鄰潭內4之2號,10005,1000515,1000515-009,7鄰,潭內,,,,,,4之2號,120.82910555325,24.641118664354
苗栗縣造橋鄉龍昇村7鄰潭內6號,10005,1000515,1000515-009,7鄰,潭內,,,,,,6號,120.82905924184,24.640887655268
苗栗縣造橋鄉龍昇村7鄰潭內6之1號,10005,1000515,1000515-009,7鄰,潭內,,,,,,6之1號,120.82921656663,24.640987511892
苗栗縣造橋鄉龍昇村8鄰潭內7之1號,10005,1000515,1000515-009,8鄰,潭內,,,,,,7之1號,120.8292014806,24.640531179707
苗栗縣造橋鄉龍昇村8鄰潭內7之2號,10005,1000515,1000515-009,8鄰,潭內,,,,,,7之2號,120.82910138324,24.640625958552
苗栗縣造橋鄉龍昇村8鄰潭內7之3號,10005,1000515,1000515-009,8鄰,潭內,,,,,,7之3號,120.82907473839,24.64067901755
苗栗縣造橋鄉龍昇村8鄰潭內8號,10005,1000515,1000515-009,8鄰,潭內,,,,,,8號,120.8289740711,24.640466726506
苗栗縣造橋鄉龍昇村8鄰潭內11之1號,10005,1000515,1000515-009,8鄰,潭內,,,,,,11之1號,120.82896413221,24.640366134476
苗栗縣造橋鄉龍昇村8鄰潭內12號,10005,1000515,1000515-009,8鄰,潭內,,,,,,12號,120.8291394774,24.640289408541
苗栗縣造橋鄉龍昇村8鄰潭內13號,10005,1000515,1000515-009,8鄰,潭內,,,,,,13號,120.82940609371,24.640361038727
苗栗縣造橋鄉龍昇村8鄰潭內14號,10005,1000515,1000515-009,8鄰,潭內,,,,,,14號,120.82947932752,24.640189213626
苗栗縣造橋鄉龍昇村8鄰潭內15號,10005,1000515,1000515-009,8鄰,潭內,,,,,,15號,120.82925192563,24.640046842388
苗栗縣造橋鄉龍昇村8鄰潭內15之1號,10005,1000515,1000515-009,8鄰,潭內,,,,,,15之1號,120.82902346957,24.639953586229
苗栗縣造橋鄉龍昇村8鄰潭內15之2號,10005,1000515,1000515-009,8鄰,潭內,,,,,,15之2號,120.8290161075,24.63984676726
苗栗縣造橋鄉龍昇村8鄰潭內16號,10005,1000515,1000515-009,8鄰,潭內,,,,,,16號,120.82940032858,24.64060553183
苗栗縣造橋鄉龍昇村8鄰潭內16之1號,10005,1000515,1000515-009,8鄰,潭內,,,,,,16之1號,120.8296379688,24.640847501994
苗栗縣造橋鄉龍昇村8鄰潭內16之2號,10005,1000515,1000515-009,8鄰,潭內,,,,,,16之2號,120.82986513527,24.640727495734
苗栗縣造橋鄉龍昇村8鄰潭內16之3號,10005,1000515,1000515-009,8鄰,潭內,,,,,,16之3號,120.82988465226,24.640685624231
苗栗縣造橋鄉龍昇村8鄰潭內16之4號,10005,1000515,1000515-009,8鄰,潭內,,,,,,16之4號,120.82990416924,24.640643752724
苗栗縣造橋鄉龍昇村8鄰潭內16之5號,10005,1000515,1000515-009,8鄰,潭內,,,,,,16之5號,120.82992368621,24.640601881215
