FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣造橋鄉造橋村18鄰西坑1號,10005,1000515,1000515-001,18鄰,西坑,,,,,,1號,120.86190383849,24.635562364245
苗栗縣造橋鄉造橋村18鄰西坑1之1號,10005,1000515,1000515-001,18鄰,西坑,,,,,,1之1號,120.86179971776,24.635389547544
苗栗縣造橋鄉造橋村18鄰西坑2號,10005,1000515,1000515-001,18鄰,西坑,,,,,,2號,120.85945067088,24.634402237403
苗栗縣造橋鄉造橋村18鄰西坑2之1號,10005,1000515,1000515-001,18鄰,西坑,,,,,,2之1號,120.85936627446,24.634349520562
苗栗縣造橋鄉造橋村18鄰西坑2之2號,10005,1000515,1000515-001,18鄰,西坑,,,,,,2之2號,120.8592858267,24.634299064569
苗栗縣造橋鄉造橋村17鄰西坑4號,10005,1000515,1000515-001,17鄰,西坑,,,,,,4號,120.85626190565,24.631816171974
苗栗縣造橋鄉造橋村17鄰西坑5號,10005,1000515,1000515-001,17鄰,西坑,,,,,,5號,120.8562081735,24.63172799944
苗栗縣造橋鄉造橋村17鄰西坑6號,10005,1000515,1000515-001,17鄰,西坑,,,,,,6號,120.85596715268,24.631561729018
苗栗縣造橋鄉造橋村17鄰西坑6之1號,10005,1000515,1000515-001,17鄰,西坑,,,,,,6之1號,120.8552574984,24.630745204533
苗栗縣造橋鄉造橋村17鄰西坑10號,10005,1000515,1000515-001,17鄰,西坑,,,,,,10號,120.85530485979,24.628387285854
苗栗縣造橋鄉造橋村17鄰西坑11號,10005,1000515,1000515-001,17鄰,西坑,,,,,,11號,120.85492627937,24.627429957315
苗栗縣造橋鄉造橋村17鄰西坑12之1號,10005,1000515,1000515-001,17鄰,西坑,,,,,,12之1號,120.85383375822,24.630228553448
苗栗縣造橋鄉造橋村17鄰西坑14號,10005,1000515,1000515-001,17鄰,西坑,,,,,,14號,120.85388658364,24.630414959407
苗栗縣造橋鄉造橋村17鄰西坑14之7號,10005,1000515,1000515-001,17鄰,西坑,,,,,,14之7號,120.85058246721,24.628661749289
苗栗縣造橋鄉造橋村17鄰西坑15號,10005,1000515,1000515-001,17鄰,西坑,,,,,,15號,120.85460623536,24.630606345282
苗栗縣造橋鄉造橋村17鄰西坑16號,10005,1000515,1000515-001,17鄰,西坑,,,,,,16號,120.85441837189,24.630344418365
苗栗縣造橋鄉造橋村18鄰西坑17號,10005,1000515,1000515-001,18鄰,西坑,,,,,,17號,120.85566507426,24.632870165107
苗栗縣造橋鄉造橋村18鄰西坑20號,10005,1000515,1000515-001,18鄰,西坑,,,,,,20號,120.85831831356,24.634982720189
苗栗縣造橋鄉造橋村18鄰西坑21號,10005,1000515,1000515-001,18鄰,西坑,,,,,,21號,120.85869219364,24.634892603349
苗栗縣造橋鄉造橋村18鄰西坑21之1號,10005,1000515,1000515-001,18鄰,西坑,,,,,,21之1號,120.85894168257,24.635003711309
苗栗縣造橋鄉造橋村18鄰西坑22號,10005,1000515,1000515-001,18鄰,西坑,,,,,,22號,120.85912641196,24.635432481852
苗栗縣造橋鄉造橋村18鄰西坑23號,10005,1000515,1000515-001,18鄰,西坑,,,,,,23號,120.85932545689,24.635604396052
苗栗縣造橋鄉造橋村13鄰西坑24號,10005,1000515,1000515-001,13鄰,西坑,,,,,,24號,120.8617199975,24.637458695628
