FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣後龍鎮南港里8鄰赤土崎60號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,60號,120.72965076999,24.586994152009
苗栗縣後龍鎮南港里8鄰赤土崎61號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61號,120.72954889233,24.587075589568
苗栗縣後龍鎮南港里8鄰赤土崎61之1號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之1號,120.7295662822,24.587254120459
苗栗縣後龍鎮南港里8鄰赤土崎61之2號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之2號,120.72976735959,24.586912831067
苗栗縣後龍鎮南港里8鄰赤土崎61之3號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之3號,120.72992371806,24.587164654338
苗栗縣後龍鎮南港里8鄰赤土崎61之4號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之4號,120.72982814894,24.587711358195
苗栗縣後龍鎮南港里8鄰赤土崎61之5號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之5號,120.72977425475,24.587794778024
苗栗縣後龍鎮南港里8鄰赤土崎61之6號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之6號,120.7297151291,24.587739325287
苗栗縣後龍鎮南港里8鄰赤土崎61之7號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之7號,120.72966897014,24.587807139113
苗栗縣後龍鎮南港里8鄰赤土崎61之8號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之8號,120.72961243738,24.587739772957
苗栗縣後龍鎮南港里8鄰赤土崎61之9號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之9號,120.72987067069,24.587958101668
苗栗縣後龍鎮南港里8鄰赤土崎61之10號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之10號,120.73027484256,24.587946998379
苗栗縣後龍鎮南港里8鄰赤土崎61之11號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之11號,120.73030139944,24.588041306759
苗栗縣後龍鎮南港里8鄰赤土崎61之12號,10005,1000506,1000506-023,8鄰,赤土崎,,,,,,61之12號,120.72950336651,24.587768017845
