FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣公館鄉開礦村1鄰開礦1號,10005,1000509,1000509-010,1鄰,開礦,,,,,,1號,120.83600953444,24.462859241692
苗栗縣公館鄉開礦村1鄰開礦2號,10005,1000509,1000509-010,1鄰,開礦,,,,,,2號,120.83610754257,24.462817001952
苗栗縣公館鄉開礦村1鄰開礦3號,10005,1000509,1000509-010,1鄰,開礦,,,,,,3號,120.83618361857,24.462952880651
苗栗縣公館鄉開礦村1鄰開礦4號,10005,1000509,1000509-010,1鄰,開礦,,,,,,4號,120.83613066529,24.463014762228
苗栗縣公館鄉開礦村1鄰開礦5號,10005,1000509,1000509-010,1鄰,開礦,,,,,,5號,120.83603098522,24.463053027405
苗栗縣公館鄉開礦村1鄰開礦7號,10005,1000509,1000509-010,1鄰,開礦,,,,,,7號,120.83606825827,24.463292787904
苗栗縣公館鄉開礦村1鄰開礦10號,10005,1000509,1000509-010,1鄰,開礦,,,,,,10號,120.84098944081,24.458645125738
苗栗縣公館鄉開礦村1鄰開礦11之1號,10005,1000509,1000509-010,1鄰,開礦,,,,,,11之1號,120.83761447126,24.459474464492
苗栗縣公館鄉開礦村1鄰開礦12號,10005,1000509,1000509-010,1鄰,開礦,,,,,,12號,120.8370367122,24.463167338722
苗栗縣公館鄉開礦村1鄰開礦13號,10005,1000509,1000509-010,1鄰,開礦,,,,,,13號,120.83706873972,24.463268768971
苗栗縣公館鄉開礦村1鄰開礦14號,10005,1000509,1000509-010,1鄰,開礦,,,,,,14號,120.83697208337,24.46341032984
苗栗縣公館鄉開礦村1鄰開礦15號,10005,1000509,1000509-010,1鄰,開礦,,,,,,15號,120.83810127566,24.463093993364
苗栗縣公館鄉開礦村1鄰開礦18號,10005,1000509,1000509-010,1鄰,開礦,,,,,,18號,120.83886332907,24.463382652317
苗栗縣公館鄉開礦村1鄰開礦19號,10005,1000509,1000509-010,1鄰,開礦,,,,,,19號,120.83896963753,24.463561539906
苗栗縣公館鄉開礦村1鄰開礦20號,10005,1000509,1000509-010,1鄰,開礦,,,,,,20號,120.83875832941,24.463570614526
苗栗縣公館鄉開礦村1鄰開礦21號,10005,1000509,1000509-010,1鄰,開礦,,,,,,21號,120.83884360585,24.463533235096
苗栗縣公館鄉開礦村1鄰開礦22號,10005,1000509,1000509-010,1鄰,開礦,,,,,,22號,120.83892397746,24.463706948525
苗栗縣公館鄉開礦村1鄰開礦22之10號,10005,1000509,1000509-010,1鄰,開礦,,,,,,22之10號,120.84014864878,24.463864721245
苗栗縣公館鄉開礦村2鄰開礦24號,10005,1000509,1000509-010,2鄰,開礦,,,,,,24號,120.84666009807,24.454407526963
苗栗縣公館鄉開礦村2鄰開礦26號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26號,120.84736478819,24.455369740077
苗栗縣公館鄉開礦村2鄰開礦26之2號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之2號,120.84717229175,24.454596300563
苗栗縣公館鄉開礦村2鄰開礦26之3號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之3號,120.84747132573,24.454461618698
苗栗縣公館鄉開礦村2鄰開礦26之8號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之8號,120.84665990229,24.452939317989
苗栗縣公館鄉開礦村2鄰開礦26之9號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之9號,120.84688200152,24.453535187478
苗栗縣公館鄉開礦村2鄰開礦26之10號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之10號,120.84718290121,24.45332385167
苗栗縣公館鄉開礦村2鄰開礦26之11號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之11號,120.84738374836,24.452813373158
苗栗縣公館鄉開礦村2鄰開礦26之12號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之12號,120.84456502151,24.452251244431
苗栗縣公館鄉開礦村2鄰開礦26之21號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之21號,120.84955532044,24.455722442043
苗栗縣公館鄉開礦村2鄰開礦26之22號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之22號,120.84988031162,24.455658207597
苗栗縣公館鄉開礦村2鄰開礦26之25號,10005,1000509,1000509-010,2鄰,開礦,,,,,,26之25號,120.84994002627,24.455042849017
苗栗縣公館鄉開礦村2鄰開礦30號,10005,1000509,1000509-010,2鄰,開礦,,,,,,30號,120.8454232835,24.462813993966
苗栗縣公館鄉開礦村2鄰開礦31號,10005,1000509,1000509-010,2鄰,開礦,,,,,,31號,120.8460713082,24.463030719395
苗栗縣公館鄉開礦村2鄰開礦31之1號,10005,1000509,1000509-010,2鄰,開礦,,,,,,31之1號,120.84598598582,24.463189001278
苗栗縣公館鄉開礦村2鄰開礦32號,10005,1000509,1000509-010,2鄰,開礦,,,,,,32號,120.84656221475,24.46323094014
苗栗縣公館鄉開礦村2鄰開礦33號,10005,1000509,1000509-010,2鄰,開礦,,,,,,33號,120.84672217392,24.463347034881
苗栗縣公館鄉開礦村2鄰開礦34號,10005,1000509,1000509-010,2鄰,開礦,,,,,,34號,120.84674314089,24.46338362362
苗栗縣公館鄉開礦村2鄰開礦35號,10005,1000509,1000509-010,2鄰,開礦,,,,,,35號,120.8479059876,24.464018724732
苗栗縣公館鄉開礦村3鄰開礦36號,10005,1000509,1000509-010,3鄰,開礦,,,,,,36號,120.85592883402,24.459807959288
苗栗縣公館鄉開礦村3鄰開礦41號,10005,1000509,1000509-010,3鄰,開礦,,,,,,41號,120.85613719329,24.460217442915
苗栗縣公館鄉開礦村3鄰開礦43號,10005,1000509,1000509-010,3鄰,開礦,,,,,,43號,120.85618934322,24.46007158367
苗栗縣公館鄉開礦村3鄰開礦45號,10005,1000509,1000509-010,3鄰,開礦,,,,,,45號,120.85624640154,24.459946495804
苗栗縣公館鄉開礦村3鄰開礦50號,10005,1000509,1000509-010,3鄰,開礦,,,,,,50號,120.85644628689,24.459913729842
苗栗縣公館鄉開礦村3鄰開礦51號,10005,1000509,1000509-010,3鄰,開礦,,,,,,51號,120.85649746041,24.459932739356
苗栗縣公館鄉開礦村4鄰開礦61號,10005,1000509,1000509-010,4鄰,開礦,,,,,,61號,120.85613624654,24.459748294446
苗栗縣公館鄉開礦村5鄰開礦81號,10005,1000509,1000509-010,5鄰,開礦,,,,,,81號,120.85628314846,24.459465826016
苗栗縣公館鄉開礦村5鄰開礦82號,10005,1000509,1000509-010,5鄰,開礦,,,,,,82號,120.85651265565,24.459319322532
苗栗縣公館鄉開礦村5鄰開礦85號,10005,1000509,1000509-010,5鄰,開礦,,,,,,85號,120.85709617367,24.459008374211
苗栗縣公館鄉開礦村5鄰開礦86號,10005,1000509,1000509-010,5鄰,開礦,,,,,,86號,120.85715647128,24.458983601404
苗栗縣公館鄉開礦村5鄰開礦87號,10005,1000509,1000509-010,5鄰,開礦,,,,,,87號,120.85721676947,24.458958286831
苗栗縣公館鄉開礦村5鄰開礦88號,10005,1000509,1000509-010,5鄰,開礦,,,,,,88號,120.85727686914,24.458934055529
