FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣造橋鄉造橋村1鄰陽明街2之1號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之1號,120.85577437854,24.638241595654
苗栗縣造橋鄉造橋村1鄰陽明街2之2號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之2號,120.85577442177,24.638203945597
苗栗縣造橋鄉造橋村1鄰陽明街2之3號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之3號,120.85577081186,24.638164757139
苗栗縣造橋鄉造橋村1鄰陽明街2之5號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之5號,120.85581991853,24.638240014143
苗栗縣造橋鄉造橋村1鄰陽明街2之6號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之6號,120.85581818182,24.638203987563
苗栗縣造橋鄉造橋村1鄰陽明街2之7號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之7號,120.85581911676,24.638163990873
苗栗縣造橋鄉造橋村1鄰陽明街2之8號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之8號,120.85587178062,24.638238348391
苗栗縣造橋鄉造橋村1鄰陽明街2之9號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之9號,120.85586648394,24.638205659056
苗栗縣造橋鄉造橋村1鄰陽明街2之10號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之10號,120.85586919412,24.638168101843
苗栗縣造橋鄉造橋村1鄰陽明街2之11號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之11號,120.85592551758,24.638238399889
苗栗縣造橋鄉造橋村1鄰陽明街2之12號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之12號,120.85592466417,24.638207339997
苗栗縣造橋鄉造橋村1鄰陽明街2之13號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之13號,120.85592194697,24.63816490203
苗栗縣造橋鄉造橋村1鄰陽明街2之15號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之15號,120.85597915669,24.638237638683
苗栗縣造橋鄉造橋村1鄰陽明街2之16號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之16號,120.85597563804,24.638204951054
苗栗縣造橋鄉造橋村1鄰陽明街2之17號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之17號,120.85597657676,24.63816161371
苗栗縣造橋鄉造橋村1鄰陽明街2之18號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之18號,120.85603813092,24.638236069973
苗栗縣造橋鄉造橋村1鄰陽明街2之20號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之20號,120.8560275028,24.638200937762
苗栗縣造橋鄉造橋村1鄰陽明街2之22號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,2之22號,120.85603110104,24.638164193989
苗栗縣造橋鄉造橋村1鄰陽明街6號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,6號,120.8562303596,24.638322117787
苗栗縣造橋鄉造橋村1鄰陽明街8號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,8號,120.85623419346,24.638424688627
苗栗縣造橋鄉造橋村1鄰陽明街10號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,10號,120.85623639589,24.63848545456
苗栗縣造橋鄉造橋村1鄰陽明街12號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,12號,120.85625725046,24.638647902616
苗栗縣造橋鄉造橋村1鄰陽明街16號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,16號,120.85626047886,24.638761668584
苗栗縣造橋鄉造橋村1鄰陽明街18號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,18號,120.85625705778,24.638816289554
苗栗縣造橋鄉造橋村1鄰陽明街20號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,20號,120.85625173753,24.638976726243
苗栗縣造橋鄉造橋村1鄰陽明街22號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,22號,120.85625496055,24.639095187177
苗栗縣造橋鄉造橋村1鄰陽明街26號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,26號,120.85626427613,24.6391552376
苗栗縣造橋鄉造橋村1鄰陽明街28號,10005,1000515,1000515-001,1鄰,陽明街,,,,,,28號,120.85626874685,24.639219256063
