FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣泰安鄉士林村4鄰馬那邦2號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,2號,120.92727748685,24.344787703472
苗栗縣泰安鄉士林村4鄰馬那邦2之1號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,2之1號,120.92711615798,24.344440544929
苗栗縣泰安鄉士林村4鄰馬那邦2之2號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,2之2號,120.92734497526,24.34447740339
苗栗縣泰安鄉士林村4鄰馬那邦2之6號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,2之6號,120.92830215636,24.344928865595
苗栗縣泰安鄉士林村4鄰馬那邦3號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,3號,120.92723616279,24.345531054803
苗栗縣泰安鄉士林村4鄰馬那邦4號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,4號,120.92729395812,24.345627965447
苗栗縣泰安鄉士林村4鄰馬那邦5號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,5號,120.92834381912,24.345848957168
苗栗縣泰安鄉士林村4鄰馬那邦6號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,6號,120.92847913534,24.345844506442
苗栗縣泰安鄉士林村4鄰馬那邦7號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,7號,120.92860465743,24.345730888389
苗栗縣泰安鄉士林村4鄰馬那邦7之1號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,7之1號,120.92859941293,24.345944425656
苗栗縣泰安鄉士林村4鄰馬那邦8號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,8號,120.92541157712,24.346159501397
苗栗縣泰安鄉士林村4鄰馬那邦9號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,9號,120.92928702792,24.347527379472
苗栗縣泰安鄉士林村4鄰馬那邦10號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,10號,120.92837435314,24.346055287987
苗栗縣泰安鄉士林村4鄰馬那邦11號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,11號,120.92744861062,24.345588311164
苗栗縣泰安鄉士林村4鄰馬那邦12號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,12號,120.92731844286,24.345724318362
苗栗縣泰安鄉士林村4鄰馬那邦12之1號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,12之1號,120.92750593244,24.345651723301
苗栗縣泰安鄉士林村4鄰馬那邦13號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,13號,120.92458957499,24.344272902552
苗栗縣泰安鄉士林村4鄰馬那邦13之2號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,13之2號,120.92780220354,24.346311264435
苗栗縣泰安鄉士林村4鄰馬那邦13之3號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,13之3號,120.92711047081,24.345251000069
苗栗縣泰安鄉士林村5鄰馬那邦14號,10005,1000518,1000518-008,5鄰,馬那邦,,,,,,14號,120.92880179523,24.34655615633
苗栗縣泰安鄉士林村4鄰馬那邦15號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,15號,120.92746109173,24.346687978986
苗栗縣泰安鄉士林村4鄰馬那邦15之2號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,15之2號,120.92713270278,24.346700372138
苗栗縣泰安鄉士林村4鄰馬那邦15之5號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,15之5號,120.92659696892,24.346348698825
苗栗縣泰安鄉士林村4鄰馬那邦15之12號,10005,1000518,1000518-008,4鄰,馬那邦,,,,,,15之12號,120.92692092485,24.347018367671
