FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
苗栗縣苗栗市北苗里31鄰龍川街1號,10005,1000501,1000501-016,31鄰,龍川街,,,,,,1號,120.82038949691,24.567027215597
苗栗縣苗栗市北苗里38鄰龍川街2號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,2號,120.82059414443,24.567034231043
苗栗縣苗栗市北苗里38鄰龍川街4號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,4號,120.82059799384,24.567104209412
苗栗縣苗栗市北苗里38鄰龍川街6號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,6號,120.82060174439,24.567174277951
苗栗縣苗栗市北苗里38鄰龍川街8號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,8號,120.82060559367,24.567244346607
苗栗縣苗栗市北苗里31鄰龍川街9號,10005,1000501,1000501-016,31鄰,龍川街,,,,,,9號,120.82039043659,24.567129875032
苗栗縣苗栗市北苗里38鄰龍川街10號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,10號,120.82060934423,24.567314415145
苗栗縣苗栗市北苗里31鄰龍川街11號,10005,1000501,1000501-016,31鄰,龍川街,,,,,,11號,120.8203938288,24.567174210853
苗栗縣苗栗市北苗里38鄰龍川街12號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,12號,120.82061319364,24.567384393511
苗栗縣苗栗市北苗里31鄰龍川街13號,10005,1000501,1000501-016,31鄰,龍川街,,,,,,13號,120.820397221,24.567218546675
苗栗縣苗栗市北苗里38鄰龍川街14號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,14號,120.82061694421,24.567454462047
苗栗縣苗栗市北苗里38鄰龍川街16號,10005,1000501,1000501-016,38鄰,龍川街,,,,,,16號,120.82062079351,24.5675245307
苗栗縣苗栗市北苗里31鄰龍川街17號,10005,1000501,1000501-016,31鄰,龍川街,,,,,,17號,120.82037223777,24.567361082835
苗栗縣苗栗市北苗里31鄰龍川街23號,10005,1000501,1000501-016,31鄰,龍川街,,,,,,23號,120.82039019003,24.567510712695
