FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣二林鎮永興里2鄰中央南街1號,10007,1000720,1000720-017,2鄰,中央南街,,,,,,1號,120.42016237793,23.954093942763
彰化縣二林鎮永興里4鄰中央南街114巷1號,10007,1000720,1000720-017,4鄰,中央南街,,114巷,,,,1號,120.41967259301,23.951928712325
彰化縣二林鎮永興里4鄰中央南街114巷2號,10007,1000720,1000720-017,4鄰,中央南街,,114巷,,,,2號,120.41944301002,23.951993722466
彰化縣二林鎮永興里4鄰中央南街134巷2號,10007,1000720,1000720-017,4鄰,中央南街,,134巷,,,,2號,120.41949739941,23.951664655793
彰化縣二林鎮永興里3鄰中央南街102巷2號,10007,1000720,1000720-017,3鄰,中央南街,,102巷,,,,2號,120.41971999351,23.952322759504
彰化縣二林鎮永興里4鄰中央南街152巷2號,10007,1000720,1000720-017,4鄰,中央南街,,152巷,,,,2號,120.41959833689,23.95135348055
彰化縣二林鎮永興里4鄰中央南街170巷2號,10007,1000720,1000720-017,4鄰,中央南街,,170巷,,,,2號,120.41943985401,23.951059166638
彰化縣二林鎮永興里4鄰中央南街114巷3號,10007,1000720,1000720-017,4鄰,中央南街,,114巷,,,,3號,120.41958277509,23.951930747578
彰化縣二林鎮永興里4鄰中央南街114巷5號,10007,1000720,1000720-017,4鄰,中央南街,,114巷,,,,5號,120.41953558447,23.951935571449
彰化縣二林鎮永興里3鄰中央南街102巷6號,10007,1000720,1000720-017,3鄰,中央南街,,102巷,,,,6號,120.41963153962,23.952300944468
彰化縣二林鎮永興里4鄰中央南街170巷6號,10007,1000720,1000720-017,4鄰,中央南街,,170巷,,,,6號,120.41915697765,23.951129735603
彰化縣二林鎮永興里2鄰中央南街29巷7號,10007,1000720,1000720-017,2鄰,中央南街,,29巷,,,,7號,120.42038121385,23.953721596178
彰化縣二林鎮永興里3鄰中央南街102巷8號,10007,1000720,1000720-017,3鄰,中央南街,,102巷,,,,8號,120.41959438628,23.952308767907
彰化縣二林鎮永興里2鄰中央南街29巷9號,10007,1000720,1000720-017,2鄰,中央南街,,29巷,,,,9號,120.42042749883,23.95371730137
彰化縣二林鎮永興里2鄰中央南街9號,10007,1000720,1000720-017,2鄰,中央南街,,,,,,9號,120.42016476588,23.953950999582
彰化縣二林鎮永興里3鄰中央南街102巷10號,10007,1000720,1000720-017,3鄰,中央南街,,102巷,,,,10號,120.4195559801,23.952317724296
彰化縣二林鎮永興里2鄰中央南街11號,10007,1000720,1000720-017,2鄰,中央南街,,,,,,11號,120.42016739845,23.953911560423
