FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣北斗鎮中寮里5鄰中寮二路169巷1號,10007,1000719,1000719-012,5鄰,中寮二路,,169巷,,,,1號,120.50855406059,23.880153352175
彰化縣北斗鎮中寮里9鄰中寮二路302巷1號,10007,1000719,1000719-012,9鄰,中寮二路,,302巷,,,,1號,120.50509134298,23.880989349243
彰化縣北斗鎮中寮里9鄰中寮二路272巷2號,10007,1000719,1000719-012,9鄰,中寮二路,,272巷,,,,2號,120.50610979093,23.880874975584
彰化縣北斗鎮中寮里9鄰中寮二路302巷2號,10007,1000719,1000719-012,9鄰,中寮二路,,302巷,,,,2號,120.50529887411,23.880926177949
彰化縣北斗鎮中寮里5鄰中寮二路169巷2號,10007,1000719,1000719-012,5鄰,中寮二路,,169巷,,,,2號,120.50847323682,23.880225998216
彰化縣北斗鎮中寮里3鄰中寮二路95巷2號,10007,1000719,1000719-012,3鄰,中寮二路,,95巷,,,,2號,120.51018011743,23.880097044791
彰化縣北斗鎮中寮里4鄰中寮二路108巷2號,10007,1000719,1000719-012,4鄰,中寮二路,,108巷,,,,2號,120.50995351468,23.880620702377
彰化縣北斗鎮中寮里5鄰中寮二路169巷3號,10007,1000719,1000719-012,5鄰,中寮二路,,169巷,,,,3號,120.50855618956,23.880112238656
彰化縣北斗鎮中寮里9鄰中寮二路302巷3號,10007,1000719,1000719-012,9鄰,中寮二路,,302巷,,,,3號,120.50508323124,23.881082507496
彰化縣北斗鎮中寮里9鄰中寮二路302巷5號,10007,1000719,1000719-012,9鄰,中寮二路,,302巷,,,,5號,120.50508539386,23.881185179751
彰化縣北斗鎮中寮里7鄰中寮二路142巷5號,10007,1000719,1000719-012,7鄰,中寮二路,,142巷,,,,5號,120.50891875056,23.880667698493
彰化縣北斗鎮中寮里5鄰中寮二路169巷5號,10007,1000719,1000719-012,5鄰,中寮二路,,169巷,,,,5號,120.50855700502,23.880070515966
彰化縣北斗鎮中寮里4鄰中寮二路80巷5號,10007,1000719,1000719-012,4鄰,中寮二路,,80巷,,,,5號,120.51053263224,23.880581460992
彰化縣北斗鎮中寮里4鄰中寮二路96巷6號,10007,1000719,1000719-012,4鄰,中寮二路,,96巷,,,,6號,120.51028955828,23.880686134215
彰化縣北斗鎮中寮里4鄰中寮二路108巷6號,10007,1000719,1000719-012,4鄰,中寮二路,,108巷,,,,6號,120.51001337848,23.880630103057
彰化縣北斗鎮中寮里3鄰中寮二路95巷6號,10007,1000719,1000719-012,3鄰,中寮二路,,95巷,,,,6號,120.51014563902,23.880092393224
彰化縣北斗鎮中寮里5鄰中寮二路169巷6號,10007,1000719,1000719-012,5鄰,中寮二路,,169巷,,,,6號,120.50848400651,23.880130410266
彰化縣北斗鎮中寮里6鄰中寮二路166巷6號,10007,1000719,1000719-012,6鄰,中寮二路,,166巷,,,,6號,120.50854215334,23.880870012169
彰化縣北斗鎮中寮里9鄰中寮二路302巷6號,10007,1000719,1000719-012,9鄰,中寮二路,,302巷,,,,6號,120.50528852259,23.881014453092
