FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣大城鄉東城村1鄰北平路167巷1號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,1號,120.32444343124,23.855308063276
彰化縣大城鄉東城村1鄰北平路254巷1號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,1號,120.32677632145,23.853980384053
彰化縣大城鄉東城村1鄰北平路254巷2號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,2號,120.32641865612,23.854103993994
彰化縣大城鄉東城村1鄰北平路254巷3號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,3號,120.32682684242,23.853780650391
彰化縣大城鄉東城村1鄰北平路167巷3號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,3號,120.32445914267,23.855347138859
彰化縣大城鄉東城村1鄰北平路254巷4號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,4號,120.32631442576,23.853750780425
彰化縣大城鄉東城村1鄰北平路167巷5號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,5號,120.32447131001,23.855386216956
彰化縣大城鄉東城村1鄰北平路167巷6號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,6號,120.32429804563,23.855542711649
彰化縣大城鄉東城村1鄰北平路254巷6號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,6號,120.32594131813,23.853783279026
彰化縣大城鄉東城村1鄰北平路167巷7號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,7號,120.32448702001,23.855423676281
彰化縣大城鄉東城村1鄰北平路167巷9號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,9號,120.32449210083,23.855464330516
彰化縣大城鄉東城村1鄰北平路254巷10號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,10號,120.32629761726,23.853240251946
彰化縣大城鄉東城村1鄰北平路167巷11號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,11號,120.32450959758,23.855501797675
彰化縣大城鄉東城村1鄰北平路254巷12號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,12號,120.32626042478,23.853256351096
彰化縣大城鄉東城村1鄰北平路167巷13號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,13號,120.32452352227,23.855540874445
彰化縣大城鄉東城村1鄰北平路254巷14號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,14號,120.32621084181,23.853270761732
彰化縣大城鄉東城村1鄰北平路167巷15號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,15號,120.32453394222,23.855579935844
彰化縣大城鄉東城村1鄰北平路254巷16號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,16號,120.32617189065,23.853285227889
彰化縣大城鄉東城村1鄰北平路167巷17號,10007,1000724,1000724-003,1鄰,北平路,,167巷,,,,17號,120.32451069888,23.855630226562
彰化縣大城鄉東城村1鄰北平路254巷18號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,18號,120.32613117105,23.853298051991
彰化縣大城鄉東城村1鄰北平路254巷20號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,20號,120.32609044303,23.853312501324
彰化縣大城鄉東城村1鄰北平路254巷22號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,22號,120.32604974858,23.853320458707
彰化縣大城鄉東城村1鄰北平路254巷24號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,24號,120.32600898692,23.853341408987
彰化縣大城鄉東城村1鄰北平路254巷26號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,26號,120.32596120882,23.853354202159
彰化縣大城鄉東城村1鄰北平路254巷28號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,28號,120.32592227306,23.853363783453
彰化縣大城鄉東城村1鄰北平路254巷30號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,30號,120.32588505386,23.853383132952
彰化縣大城鄉東城村1鄰北平路254巷32號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,32號,120.32584080847,23.853394316267
彰化縣大城鄉東城村1鄰北平路254巷33號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,33號,120.3266478216,23.853536030934
彰化縣大城鄉東城村1鄰北平路254巷35號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,35號,120.32667785174,23.853198031927
彰化縣大城鄉東城村1鄰北平路254巷37號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,37號,120.32644894111,23.853031216585
彰化縣大城鄉東城村1鄰北平路254巷39號,10007,1000724,1000724-003,1鄰,北平路,,254巷,,,,39號,120.32643719706,23.852870289692
彰化縣大城鄉東城村2鄰北平路85號,10007,1000724,1000724-003,2鄰,北平路,,,,,,85號,120.32289160022,23.855650476317
彰化縣大城鄉東城村2鄰北平路90號,10007,1000724,1000724-003,2鄰,北平路,,,,,,90號,120.32287461452,23.855410862796
彰化縣大城鄉東城村1鄰北平路131號,10007,1000724,1000724-003,1鄰,北平路,,,,,,131號,120.32362630235,23.855988141369
