FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣花壇鄉長春村1鄰南方二巷7弄2號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,2號,120.57560003599,24.007483386779
彰化縣花壇鄉長春村1鄰南方二巷55弄2號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,2號,120.57738249617,24.007774633523
彰化縣花壇鄉長春村1鄰南方二巷7弄5號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,5號,120.57548311761,24.007528300354
彰化縣花壇鄉長春村1鄰南方二巷7弄6號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,6號,120.57559078145,24.00751794377
彰化縣花壇鄉長春村1鄰南方二巷7弄10號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,10號,120.57556234287,24.007587662315
彰化縣花壇鄉長春村1鄰南方二巷31弄10號,10007,1000708,1000708-018,1鄰,南方二巷,,,31弄,,,10號,120.57633717491,24.00785933334
彰化縣花壇鄉長春村1鄰南方二巷55弄12號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,12號,120.57726139736,24.007835609271
彰化縣花壇鄉長春村1鄰南方二巷55弄16號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,16號,120.57722974053,24.007957960678
彰化縣花壇鄉長春村1鄰南方二巷7弄16號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,16號,120.57554207696,24.007652979076
彰化縣花壇鄉長春村1鄰南方二巷7弄18號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,18號,120.57553203933,24.007686540659
彰化縣花壇鄉長春村1鄰南方二巷55弄18號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,18號,120.57718012516,24.008011277904
彰化縣花壇鄉長春村1鄰南方二巷31弄18號,10007,1000708,1000708-018,1鄰,南方二巷,,,31弄,,,18號,120.57633953537,24.008008957066
彰化縣花壇鄉長春村1鄰南方二巷7弄20號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,20號,120.57552527048,24.007712436301
彰化縣花壇鄉長春村1鄰南方二巷7弄20之1號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,20之1號,120.57543043868,24.007676326956
彰化縣花壇鄉長春村1鄰南方二巷7弄22號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,22號,120.57551484856,24.007743287998
彰化縣花壇鄉長春村1鄰南方二巷7弄26號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,26號,120.575503722,24.007779194208
彰化縣花壇鄉長春村1鄰南方二巷28號,10007,1000708,1000708-018,1鄰,南方二巷,,,,,,28號,120.57598193955,24.007441553933
彰化縣花壇鄉長春村1鄰南方二巷55弄28號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,28號,120.5771939841,24.00822188181
彰化縣花壇鄉長春村1鄰南方二巷7弄28號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,28號,120.57548827091,24.007814998148
彰化縣花壇鄉長春村1鄰南方二巷55弄30號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,30號,120.57718357611,24.008248580135
彰化縣花壇鄉長春村1鄰南方二巷7弄30號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,30號,120.57548576969,24.007858332352
彰化縣花壇鄉長春村1鄰南方二巷7弄32號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,32號,120.57546970305,24.007901990164
彰化縣花壇鄉長春村1鄰南方二巷55弄36號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,36號,120.57712045153,24.00846538256
彰化縣花壇鄉長春村1鄰南方二巷7弄36號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,36號,120.5754537504,24.007940862707
彰化縣花壇鄉長春村1鄰南方二巷55弄38號,10007,1000708,1000708-018,1鄰,南方二巷,,,55弄,,,38號,120.57711152909,24.008518721715
彰化縣花壇鄉長春村1鄰南方二巷7弄38號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,38號,120.5754430392,24.00796999801
彰化縣花壇鄉長春村1鄰南方二巷7弄40號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,40號,120.57543594374,24.008005554202
彰化縣花壇鄉長春村1鄰南方二巷7弄42號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,42號,120.57543539106,24.008173951015
彰化縣花壇鄉長春村1鄰南方二巷7弄46號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,46號,120.57547411266,24.008175683546
彰化縣花壇鄉長春村1鄰南方二巷7弄48號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,48號,120.57551611374,24.008166499573
彰化縣花壇鄉長春村1鄰南方二巷7弄50號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,50號,120.57555696665,24.008177718857
彰化縣花壇鄉長春村1鄰南方二巷7弄52號,10007,1000708,1000708-018,1鄰,南方二巷,,,7弄,,,52號,120.57559477904,24.008186943244
彰化縣花壇鄉長春村1鄰南方二巷57號,10007,1000708,1000708-018,1鄰,南方二巷,,,,,,57號,120.57731924316,24.007609762805
彰化縣花壇鄉長春村1鄰南方二巷58號,10007,1000708,1000708-018,1鄰,南方二巷,,,,,,58號,120.57713115756,24.007475518616
彰化縣花壇鄉長春村1鄰南方二巷66號,10007,1000708,1000708-018,1鄰,南方二巷,,,,,,66號,120.57748104451,24.007605965032
彰化縣花壇鄉長春村1鄰南方二巷72號,10007,1000708,1000708-018,1鄰,南方二巷,,,,,,72號,120.57743196463,24.00830786587
彰化縣花壇鄉長春村1鄰南方二巷76號,10007,1000708,1000708-018,1鄰,南方二巷,,,,,,76號,120.57742819185,24.008349481018
彰化縣花壇鄉長春村1鄰南方二巷88號,10007,1000708,1000708-018,1鄰,南方二巷,,,,,,88號,120.57742018522,24.008423409757
