FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣埔鹽鄉打廉村1鄰埔打路1巷1號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,1號,120.49678742274,23.97863343899
彰化縣埔鹽鄉打廉村3鄰埔打路1號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1號,120.49749863574,23.978945612676
彰化縣埔鹽鄉打廉村3鄰埔打路1之1號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之1號,120.49841950508,23.979094377894
彰化縣埔鹽鄉打廉村3鄰埔打路1之35號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之35號,120.51003565052,23.978057984662
彰化縣埔鹽鄉打廉村3鄰埔打路1之36號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之36號,120.51003079543,23.978918107988
彰化縣埔鹽鄉打廉村3鄰埔打路1之37號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之37號,120.50952847771,23.977457364165
彰化縣埔鹽鄉打廉村3鄰埔打路1之38號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之38號,120.50435962686,23.979732545875
彰化縣埔鹽鄉打廉村3鄰埔打路1之39號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之39號,120.50462909666,23.977501309277
彰化縣埔鹽鄉打廉村3鄰埔打路1之40號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之40號,120.50952610347,23.977739253867
彰化縣埔鹽鄉打廉村3鄰埔打路1之41號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之41號,120.50743594909,23.979205882077
彰化縣埔鹽鄉打廉村3鄰埔打路1之42號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之42號,120.50852291914,23.978971263016
彰化縣埔鹽鄉打廉村3鄰埔打路1之43號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之43號,120.50433715932,23.97546731173
彰化縣埔鹽鄉打廉村3鄰埔打路1之45號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之45號,120.5046687307,23.981245016109
彰化縣埔鹽鄉打廉村3鄰埔打路1之46號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,1之46號,120.50419576603,23.979263978825
彰化縣埔鹽鄉打廉村3鄰埔打路3號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,3號,120.49719693404,23.978782068566
彰化縣埔鹽鄉打廉村1鄰埔打路1巷3號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,3號,120.49700593827,23.977324057175
彰化縣埔鹽鄉打廉村1鄰埔打路1巷3之13號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,3之13號,120.49688366086,23.977635792581
彰化縣埔鹽鄉打廉村1鄰埔打路1巷3之21號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,3之21號,120.49717194559,23.978085479197
彰化縣埔鹽鄉打廉村2鄰埔打路1巷4號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,4號,120.49648082424,23.978324450417
彰化縣埔鹽鄉打廉村3鄰埔打路4號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,4號,120.49699354757,23.978903018498
彰化縣埔鹽鄉打廉村3鄰埔打路4之11號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,4之11號,120.49670557513,23.978848168827
彰化縣埔鹽鄉打廉村2鄰埔打路1巷5號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,5號,120.496489223,23.977751374899
彰化縣埔鹽鄉打廉村1鄰埔打路1巷6號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,6號,120.4975204762,23.977082257002
彰化縣埔鹽鄉打廉村1鄰埔打路1巷6之6號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,6之6號,120.50119527108,23.977494898315
彰化縣埔鹽鄉打廉村1鄰埔打路1巷6之7號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,6之7號,120.50123579468,23.977477648499
彰化縣埔鹽鄉打廉村1鄰埔打路1巷6之8號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,6之8號,120.50270065079,23.975612626891
彰化縣埔鹽鄉打廉村2鄰埔打路1巷7號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,7號,120.49664536085,23.97753929068
彰化縣埔鹽鄉打廉村8鄰埔打路7號,10007,1000714,1000714-006,8鄰,埔打路,,,,,,7號,120.49650673263,23.978783407939
彰化縣埔鹽鄉打廉村2鄰埔打路1巷7之3號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,7之3號,120.49635902791,23.977366865319
彰化縣埔鹽鄉打廉村8鄰埔打路7之6號,10007,1000714,1000714-006,8鄰,埔打路,,,,,,7之6號,120.49641578789,23.978949285965
彰化縣埔鹽鄉打廉村2鄰埔打路1巷7之7號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,7之7號,120.49619627674,23.977374168524
彰化縣埔鹽鄉打廉村2鄰埔打路1巷7之8號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,7之8號,120.49615120475,23.977365623216
彰化縣埔鹽鄉打廉村2鄰埔打路1巷7之9號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,7之9號,120.4961030158,23.977317130757
彰化縣埔鹽鄉打廉村2鄰埔打路1巷7之10號,10007,1000714,1000714-006,2鄰,埔打路,,1巷,,,,7之10號,120.49604842731,23.977312174943
彰化縣埔鹽鄉打廉村8鄰埔打路7之11號,10007,1000714,1000714-006,8鄰,埔打路,,,,,,7之11號,120.49625695947,23.978826741713
彰化縣埔鹽鄉打廉村1鄰埔打路1巷8號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,8號,120.49702962823,23.976623609161
彰化縣埔鹽鄉打廉村3鄰埔打路8號,10007,1000714,1000714-006,3鄰,埔打路,,,,,,8號,120.49644302582,23.979384708262
彰化縣埔鹽鄉打廉村1鄰埔打路1巷8之1號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,8之1號,120.49751657539,23.976932663665
彰化縣埔鹽鄉打廉村1鄰埔打路1巷9號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,9號,120.49661789612,23.975095861783
彰化縣埔鹽鄉打廉村1鄰埔打路1巷9之1號,10007,1000714,1000714-006,1鄰,埔打路,,1巷,,,,9之1號,120.4977265329,23.975470737234
