FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣秀水鄉下崙村13鄰惠南巷3號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,3號,120.50269761867,24.004347329854
彰化縣秀水鄉下崙村13鄰惠南巷5號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,5號,120.50241039901,24.004679436224
彰化縣秀水鄉下崙村13鄰惠南巷5之1號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,5之1號,120.50143188103,24.004217557526
彰化縣秀水鄉下崙村13鄰惠南巷5之2號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,5之2號,120.50143605365,24.004154997748
彰化縣秀水鄉下崙村13鄰惠南巷5之6號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,5之6號,120.50231360428,24.00485304524
彰化縣秀水鄉下崙村13鄰惠南巷6號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,6號,120.50107889755,24.004051497303
彰化縣秀水鄉下崙村13鄰惠南巷6之2號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,6之2號,120.50117391813,24.004017106732
彰化縣秀水鄉下崙村13鄰惠南巷7號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,7號,120.50097820287,24.004336352339
彰化縣秀水鄉下崙村13鄰惠南巷7之1號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,7之1號,120.5009611177,24.004382879104
彰化縣秀水鄉下崙村13鄰惠南巷9號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,9號,120.50037118103,24.004109526627
彰化縣秀水鄉下崙村13鄰惠南巷9之1號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,9之1號,120.50031663058,24.004094296929
彰化縣秀水鄉下崙村13鄰惠南巷10號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,10號,120.49907778602,24.003125189159
彰化縣秀水鄉下崙村13鄰惠南巷10之1號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,10之1號,120.49909739696,24.003078851442
彰化縣秀水鄉下崙村13鄰惠南巷11號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,11號,120.49934994606,24.002754213684
彰化縣秀水鄉下崙村13鄰惠南巷11之1號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,11之1號,120.49930855357,24.003445997019
彰化縣秀水鄉下崙村13鄰惠南巷11之2號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,11之2號,120.49932338891,24.003399336681
彰化縣秀水鄉下崙村13鄰惠南巷11之3號,10007,1000707,1000707-014,13鄰,惠南巷,,,,,,11之3號,120.4993417109,24.003343179829
