FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣和美鎮和北里15鄰惠民街9號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,9號,120.49847869337,24.118158740075
彰化縣和美鎮和北里15鄰惠民街11號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,11號,120.4984909635,24.11821611582
彰化縣和美鎮和北里15鄰惠民街13號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,13號,120.49852188011,24.118285019867
彰化縣和美鎮和北里15鄰惠民街15號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,15號,120.49853838038,24.118342409493
彰化縣和美鎮和北里15鄰惠民街16號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,16號,120.49847819726,24.11798312037
彰化縣和美鎮和北里15鄰惠民街17號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,17號,120.49855885456,24.118415071521
彰化縣和美鎮和北里15鄰惠民街18號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,18號,120.49849804797,24.118013794548
彰化縣和美鎮和北里15鄰惠民街19號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,19號,120.49858361833,24.118472488267
彰化縣和美鎮和北里15鄰惠民街20號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,20號,120.49851125413,24.118058171307
彰化縣和美鎮和北里15鄰惠民街21號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,21號,120.49863118419,24.118560588855
彰化縣和美鎮和北里15鄰惠民街23號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,23號,120.49864978769,24.118608414412
彰化縣和美鎮和北里15鄰惠民街61號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,61號,120.4987453927,24.118839966121
彰化縣和美鎮和北里15鄰惠民街63號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,63號,120.4987515547,24.118874387616
彰化縣和美鎮和北里15鄰惠民街65號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,65號,120.4987680387,24.118910739111
彰化縣和美鎮和北里15鄰惠民街67號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,67號,120.49878904647,24.118972748393
彰化縣和美鎮和北里15鄰惠民街69號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,69號,120.49880718353,24.119014071372
彰化縣和美鎮和北里15鄰惠民街71號,10007,1000703,1000703-004,15鄰,惠民街,,,,,,71號,120.49881537874,24.119056896696
