FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣和美鎮山犁里15鄰愛和路104巷1號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,1號,120.49327419738,24.104095906543
彰化縣和美鎮山犁里15鄰愛和路86巷1號,10007,1000703,1000703-015,15鄰,愛和路,,86巷,,,,1號,120.49329651315,24.103699236656
彰化縣和美鎮山犁里16鄰愛和路2號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,2號,120.4925724686,24.102571432627
彰化縣和美鎮山犁里15鄰愛和路104巷3號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,3號,120.49331535281,24.104086020557
彰化縣和美鎮山犁里15鄰愛和路86巷3號,10007,1000703,1000703-015,15鄰,愛和路,,86巷,,,,3號,120.49333906259,24.103685021258
彰化縣和美鎮山犁里16鄰愛和路4號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,4號,120.49258915553,24.102605257307
彰化縣和美鎮山犁里15鄰愛和路104巷5號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,5號,120.4933538677,24.104072243242
彰化縣和美鎮山犁里15鄰愛和路86巷5號,10007,1000703,1000703-015,15鄰,愛和路,,86巷,,,,5號,120.49337719384,24.103668714482
彰化縣和美鎮山犁里16鄰愛和路6號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,6號,120.49260132883,24.102636267944
彰化縣和美鎮山犁里15鄰愛和路104巷7號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,7號,120.49339364602,24.10406235267
彰化縣和美鎮山犁里15鄰愛和路86巷7號,10007,1000703,1000703-015,15鄰,愛和路,,86巷,,,,7號,120.49341756329,24.103658554984
彰化縣和美鎮山犁里16鄰愛和路8號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,8號,120.49261810845,24.102671537604
彰化縣和美鎮山犁里15鄰愛和路104巷9號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,9號,120.49343345418,24.104044877642
彰化縣和美鎮山犁里15鄰愛和路86巷9號,10007,1000703,1000703-015,15鄰,愛和路,,86巷,,,,9號,120.4934644421,24.103669003668
彰化縣和美鎮山犁里16鄰愛和路10號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,10號,120.49263174616,24.102705352158
彰化縣和美鎮山犁里15鄰愛和路104巷10號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,10號,120.493399511,24.103971718754
彰化縣和美鎮山犁里15鄰愛和路104巷11號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,11號,120.49346782783,24.104033614753
彰化縣和美鎮山犁里15鄰愛和路86巷11號,10007,1000703,1000703-015,15鄰,愛和路,,86巷,,,,11號,120.49350484386,24.103650627665
彰化縣和美鎮山犁里16鄰愛和路12號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,12號,120.49264538389,24.10273916671
彰化縣和美鎮山犁里15鄰愛和路104巷12號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,12號,120.49344066639,24.103961832734
彰化縣和美鎮山犁里15鄰愛和路104巷13號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,13號,120.49350761111,24.104022460077
彰化縣和美鎮山犁里15鄰愛和路86巷13號,10007,1000703,1000703-015,15鄰,愛和路,,86巷,,,,13號,120.49354960732,24.103648699283
彰化縣和美鎮山犁里16鄰愛和路14號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,14號,120.49269279719,24.10278862363
彰化縣和美鎮山犁里15鄰愛和路104巷14號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,14號,120.49347770541,24.103948140787
彰化縣和美鎮山犁里15鄰愛和路104巷15號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,15號,120.49354739474,24.104011215098
彰化縣和美鎮山犁里16鄰愛和路16號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,16號,120.49270801407,24.102821089035
彰化縣和美鎮山犁里15鄰愛和路104巷16號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,16號,120.49351209394,24.103933085665
彰化縣和美鎮山犁里15鄰愛和路104巷17號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,17號,120.49358041577,24.103993717541
彰化縣和美鎮山犁里16鄰愛和路18號,10007,1000703,1000703-015,16鄰,愛和路,,,,,,18號,120.4927262859,24.102852119903
彰化縣和美鎮山犁里15鄰愛和路104巷18號,10007,1000703,1000703-015,15鄰,愛和路,,104巷,,,,18號,120.49355187222,24.103923195051
