FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣北斗鎮五權里10鄰斗功路337巷26號,10007,1000719,1000719-004,10鄰,斗功路,,337巷,,,,26號,120.52622886495,23.864048904562
彰化縣北斗鎮五權里10鄰斗功路337巷28號,10007,1000719,1000719-004,10鄰,斗功路,,337巷,,,,28號,120.52618015406,23.864071120831
彰化縣北斗鎮五權里10鄰斗功路323號,10007,1000719,1000719-004,10鄰,斗功路,,,,,,323號,120.5265938944,23.863412903583
彰化縣北斗鎮五權里10鄰斗功路349號,10007,1000719,1000719-004,10鄰,斗功路,,,,,,349號,120.52654192594,23.864180073227
彰化縣北斗鎮七星里14鄰斗功路190巷1號,10007,1000719,1000719-005,14鄰,斗功路,,190巷,,,,1號,120.53018254583,23.856112190008
彰化縣北斗鎮七星里14鄰斗功路146巷5號,10007,1000719,1000719-005,14鄰,斗功路,,146巷,,,,5號,120.53069447848,23.854572759818
彰化縣北斗鎮七星里14鄰斗功路230巷6號,10007,1000719,1000719-005,14鄰,斗功路,,230巷,,,,6號,120.52930450413,23.858083592428
彰化縣北斗鎮七星里14鄰斗功路230巷7弄7號,10007,1000719,1000719-005,14鄰,斗功路,,230巷,7弄,,,7號,120.52948343542,23.858507443916
彰化縣北斗鎮七星里11鄰斗功路303巷7之1號,10007,1000719,1000719-005,11鄰,斗功路,,303巷,,,,7之1號,120.52621487242,23.862740247897
彰化縣北斗鎮七星里11鄰斗功路303巷9號,10007,1000719,1000719-005,11鄰,斗功路,,303巷,,,,9號,120.52644052098,23.862303686929
彰化縣北斗鎮七星里11鄰斗功路303巷11號,10007,1000719,1000719-005,11鄰,斗功路,,303巷,,,,11號,120.52637256856,23.862098706246
彰化縣北斗鎮七星里14鄰斗功路120巷13號,10007,1000719,1000719-005,14鄰,斗功路,,120巷,,,,13號,120.53230023036,23.852935620746
彰化縣北斗鎮七星里14鄰斗功路120巷15號,10007,1000719,1000719-005,14鄰,斗功路,,120巷,,,,15號,120.53238782156,23.852979481313
彰化縣北斗鎮七星里14鄰斗功路146巷15號,10007,1000719,1000719-005,14鄰,斗功路,,146巷,,,,15號,120.53200351718,23.854335084813
彰化縣北斗鎮七星里1鄰斗功路1巷20號,10007,1000719,1000719-005,1鄰,斗功路,,1巷,,,,20號,120.53301419566,23.842923650646
彰化縣北斗鎮七星里14鄰斗功路120巷21號,10007,1000719,1000719-005,14鄰,斗功路,,120巷,,,,21號,120.53273764708,23.852777071011
彰化縣北斗鎮七星里14鄰斗功路146巷23號,10007,1000719,1000719-005,14鄰,斗功路,,146巷,,,,23號,120.53204998777,23.853573990137
彰化縣北斗鎮七星里14鄰斗功路190巷25號,10007,1000719,1000719-005,14鄰,斗功路,,190巷,,,,25號,120.53312564014,23.854509626946
彰化縣北斗鎮七星里14鄰斗功路190巷26號,10007,1000719,1000719-005,14鄰,斗功路,,190巷,,,,26號,120.53256521019,23.854332410994
彰化縣北斗鎮七星里14鄰斗功路120巷27號,10007,1000719,1000719-005,14鄰,斗功路,,120巷,,,,27號,120.53446158787,23.85272926905
彰化縣北斗鎮七星里14鄰斗功路190巷33號,10007,1000719,1000719-005,14鄰,斗功路,,190巷,,,,33號,120.53366049715,23.858406141044
彰化縣北斗鎮七星里14鄰斗功路190巷195弄37號,10007,1000719,1000719-005,14鄰,斗功路,,190巷,195弄,,,37號,120.53258886989,23.859775653615
彰化縣北斗鎮七星里14鄰斗功路99號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,99號,120.53150940482,23.851100093095
彰化縣北斗鎮七星里14鄰斗功路123號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,123號,120.5305573466,23.852814984864
彰化縣北斗鎮七星里14鄰斗功路148號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,148號,120.53051830912,23.854358168613
彰化縣北斗鎮七星里14鄰斗功路162號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,162號,120.53061522609,23.854922918807
彰化縣北斗鎮七星里14鄰斗功路166號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,166號,120.53057953363,23.855085197344
彰化縣北斗鎮七星里14鄰斗功路167號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,167號,120.52992772065,23.855041809102
彰化縣北斗鎮七星里14鄰斗功路168號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,168號,120.53021581789,23.855137435024
彰化縣北斗鎮七星里14鄰斗功路172號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,172號,120.53018341664,23.855236299989
彰化縣北斗鎮七星里14鄰斗功路174號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,174號,120.53015339392,23.85530990754
彰化縣北斗鎮七星里14鄰斗功路176號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,176號,120.53013483903,23.855375116474
彰化縣北斗鎮七星里14鄰斗功路192號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,192號,120.52995933554,23.855797786618
彰化縣北斗鎮七星里14鄰斗功路216號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,216號,120.52914838528,23.857927436963
彰化縣北斗鎮七星里14鄰斗功路235號,10007,1000719,1000719-005,14鄰,斗功路,,,,,,235號,120.52850406083,23.858979619209
彰化縣北斗鎮七星里11鄰斗功路259號,10007,1000719,1000719-005,11鄰,斗功路,,,,,,259號,120.52790495182,23.860626631279
