FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣和美鎮中寮里13鄰東寧路2號,10007,1000703,1000703-023,13鄰,東寧路,,,,,,2號,120.53961494163,24.115308597384
彰化縣和美鎮中寮里13鄰東寧路3號,10007,1000703,1000703-023,13鄰,東寧路,,,,,,3號,120.53961192618,24.11518904107
彰化縣和美鎮中寮里13鄰東寧路10號,10007,1000703,1000703-023,13鄰,東寧路,,,,,,10號,120.53945162506,24.115230543937
彰化縣和美鎮中圍里12鄰東寧路171巷1號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,1號,120.53542609311,24.115659795955
彰化縣和美鎮中圍里12鄰東寧路171巷3號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,3號,120.53537428066,24.115569526552
彰化縣和美鎮中圍里12鄰東寧路171巷5號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,5號,120.53570552052,24.115511030827
彰化縣和美鎮中圍里11鄰東寧路50巷9弄6號,10007,1000703,1000703-024,11鄰,東寧路,,50巷,9弄,,,6號,120.53831571667,24.115500701751
彰化縣和美鎮中圍里10鄰東寧路50巷6號,10007,1000703,1000703-024,10鄰,東寧路,,50巷,,,,6號,120.53852149691,24.1152314393
彰化縣和美鎮中圍里12鄰東寧路171巷7號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,7號,120.53547075604,24.115277904488
彰化縣和美鎮中圍里12鄰東寧路105巷8號,10007,1000703,1000703-024,12鄰,東寧路,,105巷,,,,8號,120.53681445923,24.114672510062
彰化縣和美鎮中圍里12鄰東寧路171巷9號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,9號,120.53549170528,24.115224605354
彰化縣和美鎮中圍里11鄰東寧路50巷10號,10007,1000703,1000703-024,11鄰,東寧路,,50巷,,,,10號,120.53855169988,24.115532655872
彰化縣和美鎮中圍里11鄰東寧路50巷11號,10007,1000703,1000703-024,11鄰,東寧路,,50巷,,,,11號,120.53833934068,24.115633864215
彰化縣和美鎮中圍里11鄰東寧路50巷15號,10007,1000703,1000703-024,11鄰,東寧路,,50巷,,,,15號,120.53837612707,24.115745125378
彰化縣和美鎮中圍里12鄰東寧路171巷15號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,15號,120.53535430494,24.115080622581
彰化縣和美鎮中圍里12鄰東寧路171巷15之1號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,15之1號,120.53539365759,24.115079749039
彰化縣和美鎮中圍里12鄰東寧路171巷15之2號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,15之2號,120.53543655295,24.11507852509
彰化縣和美鎮中圍里12鄰東寧路171巷15之3號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,15之3號,120.53548419593,24.115070182461
彰化縣和美鎮中圍里12鄰東寧路171巷15之5號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,15之5號,120.53553024964,24.11506607873
彰化縣和美鎮中圍里12鄰東寧路171巷15之6號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,15之6號,120.53557986235,24.115057110012
彰化縣和美鎮中圍里11鄰東寧路50巷16號,10007,1000703,1000703-024,11鄰,東寧路,,50巷,,,,16號,120.53849550972,24.115757314359
彰化縣和美鎮中圍里12鄰東寧路171巷17號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,17號,120.535347719,24.115024711534
彰化縣和美鎮中圍里12鄰東寧路171巷17之1號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,17之1號,120.5353876687,24.115021943669
彰化縣和美鎮中圍里12鄰東寧路171巷17之2號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,17之2號,120.53542762297,24.115017911712
彰化縣和美鎮中圍里12鄰東寧路171巷17之3號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,17之3號,120.53547831027,24.115011023021
彰化縣和美鎮中圍里12鄰東寧路171巷17之5號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,17之5號,120.53552436917,24.115005474628
彰化縣和美鎮中圍里12鄰東寧路171巷17之6號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,17之6號,120.53557348772,24.114997136457
彰化縣和美鎮中圍里12鄰東寧路171巷19號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,19號,120.5353525927,24.114873667112
彰化縣和美鎮中圍里12鄰東寧路171巷21號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,21號,120.53534080574,24.114814218842
彰化縣和美鎮中圍里10鄰東寧路22號,10007,1000703,1000703-024,10鄰,東寧路,,,,,,22號,120.53913744055,24.115169552041
彰化縣和美鎮中圍里12鄰東寧路171巷23號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,23號,120.53533626672,24.11476355098
彰化縣和美鎮中圍里9鄰東寧路25號,10007,1000703,1000703-024,9鄰,東寧路,,,,,,25號,120.53904700239,24.115068783697
彰化縣和美鎮中圍里12鄰東寧路171巷25號,10007,1000703,1000703-024,12鄰,東寧路,,171巷,,,,25號,120.53533399843,24.114710632713
彰化縣和美鎮中圍里10鄰東寧路32號,10007,1000703,1000703-024,10鄰,東寧路,,,,,,32號,120.53898459165,24.115190309629
彰化縣和美鎮中圍里9鄰東寧路33號,10007,1000703,1000703-024,9鄰,東寧路,,,,,,33號,120.53896650831,24.115075583633
彰化縣和美鎮中圍里10鄰東寧路34號,10007,1000703,1000703-024,10鄰,東寧路,,,,,,34號,120.53887307203,24.115317466037
