FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣員林鎮溝皂里21鄰溝皂六街5號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,5號,120.57034898815,23.948132922714
彰化縣員林鎮溝皂里21鄰溝皂六街7號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,7號,120.57034881021,23.94818664755
彰化縣員林鎮溝皂里21鄰溝皂六街9號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,9號,120.5703485928,23.948252291172
彰化縣員林鎮溝皂里21鄰溝皂六街9之1號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,9之1號,120.57027704954,23.948258140754
彰化縣員林鎮溝皂里21鄰溝皂六街9之2號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,9之2號,120.57018607356,23.948257886176
彰化縣員林鎮溝皂里21鄰溝皂六街13號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,13號,120.57034835954,23.948322720368
彰化縣員林鎮溝皂里21鄰溝皂六街13之1號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,13之1號,120.57027289057,23.948327294839
彰化縣員林鎮溝皂里21鄰溝皂六街13之2號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,13之2號,120.57018189869,23.948331825832
彰化縣員林鎮溝皂里21鄰溝皂六街15號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,15號,120.57034816964,23.948380056956
彰化縣員林鎮溝皂里21鄰溝皂六街17號,10007,1000710,1000710-021,21鄰,溝皂六街,,,,,,17號,120.57034797197,23.948439741184
