FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣彰化市延平里30鄰瑞陽街11巷1號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,1號,120.54409170301,24.063388125834
彰化縣彰化市延平里30鄰瑞陽街1號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,1號,120.54431125928,24.063311488877
彰化縣彰化市延平里30鄰瑞陽街2號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,2號,120.5444463352,24.06334936269
彰化縣彰化市延平里30鄰瑞陽街11巷2號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,2號,120.54392764213,24.063621767009
彰化縣彰化市延平里30鄰瑞陽街11巷3號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,3號,120.54408181582,24.063292024503
彰化縣彰化市延平里30鄰瑞陽街3號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,3號,120.54428822357,24.063346544303
彰化縣彰化市延平里30鄰瑞陽街11巷4號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,4號,120.54391275632,24.063521045825
彰化縣彰化市延平里30鄰瑞陽街11巷5號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,5號,120.54400287174,24.063259012884
彰化縣彰化市延平里30鄰瑞陽街5號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,5號,120.5442676296,24.063386302238
彰化縣彰化市延平里30鄰瑞陽街6號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,6號,120.54440786038,24.063412453331
彰化縣彰化市延平里30鄰瑞陽街11巷6號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,6號,120.54391808602,24.063432032701
彰化縣彰化市延平里30鄰瑞陽街11巷7號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,7號,120.54394951889,24.063219124924
彰化縣彰化市延平里30鄰瑞陽街7號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,7號,120.54423435891,24.063423674794
彰化縣彰化市延平里30鄰瑞陽街8號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,8號,120.54438471806,24.063449856074
彰化縣彰化市延平里30鄰瑞陽街11巷8號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,8號,120.54390056059,24.063354779856
彰化縣彰化市延平里30鄰瑞陽街11巷9號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,9號,120.54387822859,24.063190741
彰化縣彰化市延平里30鄰瑞陽街9號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,9號,120.54420874991,24.063463417784
彰化縣彰化市延平里30鄰瑞陽街11巷10號,10007,1000701,1000701-047,30鄰,瑞陽街,,11巷,,,,10號,120.5438754153,24.063263328278
彰化縣彰化市延平里30鄰瑞陽街10號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,10號,120.54436423073,24.063487266718
彰化縣彰化市延平里30鄰瑞陽街12號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,12號,120.54433338521,24.063534037
彰化縣彰化市延平里30鄰瑞陽街12之1號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,12之1號,120.54431037434,24.063562049638
彰化縣彰化市延平里30鄰瑞陽街13號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,13號,120.54416001509,24.063535868284
彰化縣彰化市延平里30鄰瑞陽街15號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,15號,120.54412412991,24.063589576081
彰化縣彰化市延平里30鄰瑞陽街16號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,16號,120.54429492685,24.063592432417
彰化縣彰化市延平里30鄰瑞陽街16之1號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,16之1號,120.5444222339,24.063658364276
彰化縣彰化市延平里30鄰瑞陽街16之2號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,16之2號,120.54446551642,24.063681879043
彰化縣彰化市延平里30鄰瑞陽街17號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,17號,120.54409334976,24.063645646698
彰化縣彰化市延平里30鄰瑞陽街18號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,18號,120.54428952309,24.06370248363
彰化縣彰化市延平里30鄰瑞陽街18之1號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,18之1號,120.54436322185,24.063772951126
彰化縣彰化市延平里30鄰瑞陽街18之2號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,18之2號,120.5444064961,24.063798813506
彰化縣彰化市延平里30鄰瑞陽街18之3號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,18之3號,120.54443948565,24.063841078603
彰化縣彰化市延平里30鄰瑞陽街19號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,19號,120.54404719603,24.063711152279
彰化縣彰化市延平里30鄰瑞陽街20號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,20號,120.54426642214,24.063728148371
彰化縣彰化市延平里30鄰瑞陽街21號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,21號,120.54401385084,24.063769562857
彰化縣彰化市延平里30鄰瑞陽街22號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,22號,120.54425107296,24.063758531437
彰化縣彰化市延平里30鄰瑞陽街22之1號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,22之1號,120.54423051208,24.063788898979
彰化縣彰化市延平里2鄰瑞陽街22之8號,10007,1000701,1000701-047,2鄰,瑞陽街,,,,,,22之8號,120.54406607557,24.064073103308
彰化縣彰化市延平里2鄰瑞陽街25號,10007,1000701,1000701-047,2鄰,瑞陽街,,,,,,25號,120.54387666886,24.063910101564
彰化縣彰化市延平里30鄰瑞陽街26號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,26號,120.54429491978,24.064318298703
彰化縣彰化市延平里30鄰瑞陽街28號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,28號,120.5443305487,24.064337185768
彰化縣彰化市延平里30鄰瑞陽街30號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,30號,120.54445533297,24.064393719606
彰化縣彰化市延平里30鄰瑞陽街106號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,106號,120.54465634023,24.064530118695
彰化縣彰化市延平里30鄰瑞陽街107號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,107號,120.54484210276,24.064806787664
彰化縣彰化市延平里30鄰瑞陽街108號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,108號,120.54469707467,24.064551278195
彰化縣彰化市延平里30鄰瑞陽街109號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,109號,120.54488359979,24.064834811658
彰化縣彰化市延平里30鄰瑞陽街110號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,110號,120.54473270372,24.064570165167
彰化縣彰化市延平里30鄰瑞陽街111號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,111號,120.5449298325,24.064858425364
彰化縣彰化市延平里30鄰瑞陽街112號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,112號,120.54477344647,24.06458897705
彰化縣彰化市延平里30鄰瑞陽街113號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,113號,120.54497615846,24.064883484022
彰化縣彰化市延平里30鄰瑞陽街114號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,114號,120.54480907554,24.064607864005
彰化縣彰化市延平里30鄰瑞陽街115號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,115號,120.5450272045,24.0649085567
彰化縣彰化市延平里30鄰瑞陽街116號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,116號,120.54485237501,24.064626683473
彰化縣彰化市延平里30鄰瑞陽街117號,10007,1000701,1000701-047,30鄰,瑞陽街,,,,,,117號,120.54508948648,24.064926349024
