FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣福興鄉秀厝村11鄰福三路三段622巷1號,10007,1000706,1000706-011,11鄰,福三路,3段,622巷,,,,1號,120.42765602373,24.033421202479
彰化縣福興鄉秀厝村11鄰福三路三段625巷1號,10007,1000706,1000706-011,11鄰,福三路,3段,625巷,,,,1號,120.42742764575,24.033490677654
彰化縣福興鄉秀厝村13鄰福三路三段478巷1號,10007,1000706,1000706-011,13鄰,福三路,3段,478巷,,,,1號,120.42695549698,24.030274955121
彰化縣福興鄉秀厝村14鄰福三路三段495巷2號,10007,1000706,1000706-011,14鄰,福三路,3段,495巷,,,,2號,120.42642265977,24.0307131453
彰化縣福興鄉秀厝村13鄰福三路三段483巷1弄2號,10007,1000706,1000706-011,13鄰,福三路,3段,483巷,1弄,,,2號,120.4261169587,24.030224331211
彰化縣福興鄉秀厝村13鄰福三路三段403巷2號,10007,1000706,1000706-011,13鄰,福三路,3段,403巷,,,,2號,120.42583928902,24.028679706287
彰化縣福興鄉秀厝村11鄰福三路四段2號,10007,1000706,1000706-011,11鄰,福三路,4段,,,,,2號,120.42870608453,24.038085832671
彰化縣福興鄉秀厝村11鄰福三路三段567巷2號,10007,1000706,1000706-011,11鄰,福三路,3段,567巷,,,,2號,120.42715243309,24.032247297999
彰化縣福興鄉秀厝村11鄰福三路三段625巷3號,10007,1000706,1000706-011,11鄰,福三路,3段,625巷,,,,3號,120.42735518071,24.03350187388
彰化縣福興鄉秀厝村11鄰福三路三段622巷3號,10007,1000706,1000706-011,11鄰,福三路,3段,622巷,,,,3號,120.42770012809,24.033422893216
彰化縣福興鄉秀厝村13鄰福三路三段492巷3號,10007,1000706,1000706-011,13鄰,福三路,3段,492巷,,,,3號,120.42686545124,24.030404756661
彰化縣福興鄉秀厝村13鄰福三路三段483巷3號,10007,1000706,1000706-011,13鄰,福三路,3段,483巷,,,,3號,120.42597652922,24.030292192497
彰化縣福興鄉秀厝村11鄰福三路三段622巷5號,10007,1000706,1000706-011,11鄰,福三路,3段,622巷,,,,5號,120.42774925327,24.033420783332
彰化縣福興鄉秀厝村11鄰福三路三段567巷6號,10007,1000706,1000706-011,11鄰,福三路,3段,567巷,,,,6號,120.42708284409,24.032255209193
彰化縣福興鄉秀厝村11鄰福三路四段6號,10007,1000706,1000706-011,11鄰,福三路,4段,,,,,6號,120.42882372439,24.03849106996
彰化縣福興鄉秀厝村12鄰福三路三段526巷6號,10007,1000706,1000706-011,12鄰,福三路,3段,526巷,,,,6號,120.42737142432,24.031034487982
彰化縣福興鄉秀厝村13鄰福三路三段483巷1弄6號,10007,1000706,1000706-011,13鄰,福三路,3段,483巷,1弄,,,6號,120.4261017401,24.030087210364
彰化縣福興鄉秀厝村14鄰福三路三段495巷6號,10007,1000706,1000706-011,14鄰,福三路,3段,495巷,,,,6號,120.42637879284,24.030722407563
彰化縣福興鄉秀厝村13鄰福三路三段483巷6號,10007,1000706,1000706-011,13鄰,福三路,3段,483巷,,,,6號,120.42618483969,24.030448068165
彰化縣福興鄉秀厝村13鄰福三路三段492巷7號,10007,1000706,1000706-011,13鄰,福三路,3段,492巷,,,,7號,120.42696365945,24.030380709011
彰化縣福興鄉秀厝村11鄰福三路三段622巷7號,10007,1000706,1000706-011,11鄰,福三路,3段,622巷,,,,7號,120.4277883703,24.03342092947
彰化縣福興鄉秀厝村11鄰福三路三段567巷8號,10007,1000706,1000706-011,11鄰,福三路,3段,567巷,,,,8號,120.42702375759,24.032264649466
彰化縣福興鄉秀厝村11鄰福三路三段593巷8號,10007,1000706,1000706-011,11鄰,福三路,3段,593巷,,,,8號,120.42717451822,24.032918117404
彰化縣福興鄉秀厝村13鄰福三路三段483巷1弄8號,10007,1000706,1000706-011,13鄰,福三路,3段,483巷,1弄,,,8號,120.42596287799,24.030123159159
彰化縣福興鄉秀厝村13鄰福三路三段445巷8號,10007,1000706,1000706-011,13鄰,福三路,3段,445巷,,,,8號,120.42603381765,24.029560795085
彰化縣福興鄉秀厝村12鄰福三路三段526巷8號,10007,1000706,1000706-011,12鄰,福三路,3段,526巷,,,,8號,120.42741891418,24.031017410628
彰化縣福興鄉秀厝村14鄰福三路三段495巷8號,10007,1000706,1000706-011,14鄰,福三路,3段,495巷,,,,8號,120.42633320529,24.030729505382
彰化縣福興鄉秀厝村14鄰福三路三段505巷8號,10007,1000706,1000706-011,14鄰,福三路,3段,505巷,,,,8號,120.42629083958,24.030898843561
彰化縣福興鄉秀厝村13鄰福三路三段483巷9號,10007,1000706,1000706-011,13鄰,福三路,3段,483巷,,,,9號,120.42572683801,24.030349468131
