FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣彰化市西勢里12鄰自立街33巷1號,10007,1000701,1000701-021,12鄰,自立街,,33巷,,,,1號,120.53594436129,24.083571102891
彰化縣彰化市西勢里13鄰自立街65巷1號,10007,1000701,1000701-021,13鄰,自立街,,65巷,,,,1號,120.53618799696,24.084357208808
彰化縣彰化市西勢里13鄰自立街68巷2號,10007,1000701,1000701-021,13鄰,自立街,,68巷,,,,2號,120.53642887667,24.084269632812
彰化縣彰化市西勢里12鄰自立街33巷2號,10007,1000701,1000701-021,12鄰,自立街,,33巷,,,,2號,120.53596955195,24.083867971784
彰化縣彰化市西勢里10鄰自立街3號,10007,1000701,1000701-021,10鄰,自立街,,,,,,3號,120.53577429984,24.083001742059
彰化縣彰化市西勢里12鄰自立街33巷3號,10007,1000701,1000701-021,12鄰,自立街,,33巷,,,,3號,120.53592584853,24.083604816225
彰化縣彰化市西勢里13鄰自立街65巷3號,10007,1000701,1000701-021,13鄰,自立街,,65巷,,,,3號,120.53613102093,24.084365884691
彰化縣彰化市西勢里10鄰自立街5號,10007,1000701,1000701-021,10鄰,自立街,,,,,,5號,120.53578850487,24.083044493678
彰化縣彰化市西勢里13鄰自立街65巷5號,10007,1000701,1000701-021,13鄰,自立街,,65巷,,,,5號,120.53609223918,24.084374706039
彰化縣彰化市西勢里12鄰自立街33巷5號,10007,1000701,1000701-021,12鄰,自立街,,33巷,,,,5號,120.53589293052,24.083624038993
彰化縣彰化市西勢里13鄰自立街68巷6號,10007,1000701,1000701-021,13鄰,自立街,,68巷,,,,6號,120.53648291223,24.084258148827
彰化縣彰化市西勢里12鄰自立街33巷6號,10007,1000701,1000701-021,12鄰,自立街,,33巷,,,,6號,120.53594318848,24.083896875778
彰化縣彰化市西勢里10鄰自立街6號,10007,1000701,1000701-021,10鄰,自立街,,,,,,6號,120.5360332223,24.082928397382
彰化縣彰化市西勢里10鄰自立街7號,10007,1000701,1000701-021,10鄰,自立街,,,,,,7號,120.5357914158,24.083082786666
彰化縣彰化市西勢里12鄰自立街33巷7號,10007,1000701,1000701-021,12鄰,自立街,,33巷,,,,7號,120.53587177955,24.083652958795
彰化縣彰化市西勢里13鄰自立街65巷7號,10007,1000701,1000701-021,13鄰,自立街,,65巷,,,,7號,120.53605680162,24.08438344723
