FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣鹿港鎮郭厝里2鄰郭厝巷2號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,2號,120.43181666533,24.061194143421
彰化縣鹿港鎮郭厝里2鄰郭厝巷3號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,3號,120.43177063048,24.061242369053
彰化縣鹿港鎮郭厝里2鄰郭厝巷4號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,4號,120.43171040625,24.061297313886
彰化縣鹿港鎮郭厝里1鄰郭厝巷5號,10007,1000702,1000702-009,1鄰,郭厝巷,,,,,,5號,120.4317627871,24.061080807405
彰化縣鹿港鎮郭厝里1鄰郭厝巷5之1號,10007,1000702,1000702-009,1鄰,郭厝巷,,,,,,5之1號,120.43170909317,24.061104264551
彰化縣鹿港鎮郭厝里1鄰郭厝巷7號,10007,1000702,1000702-009,1鄰,郭厝巷,,,,,,7號,120.43149162793,24.061272844792
彰化縣鹿港鎮郭厝里1鄰郭厝巷8號,10007,1000702,1000702-009,1鄰,郭厝巷,,,,,,8號,120.43144415185,24.061335692284
彰化縣鹿港鎮郭厝里1鄰郭厝巷10號,10007,1000702,1000702-009,1鄰,郭厝巷,,,,,,10號,120.43103307668,24.061369107553
彰化縣鹿港鎮郭厝里10鄰郭厝巷11號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,11號,120.4310235864,24.061469747923
彰化縣鹿港鎮郭厝里10鄰郭厝巷12號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,12號,120.43104353466,24.061495013574
彰化縣鹿港鎮郭厝里10鄰郭厝巷13號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,13號,120.43106521824,24.061550443224
彰化縣鹿港鎮郭厝里10鄰郭厝巷14號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,14號,120.43091557548,24.061680087984
彰化縣鹿港鎮郭厝里10鄰郭厝巷15號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,15號,120.43083001063,24.061683742625
彰化縣鹿港鎮郭厝里10鄰郭厝巷16號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,16號,120.43081664758,24.061726039901
彰化縣鹿港鎮郭厝里1鄰郭厝巷22號,10007,1000702,1000702-009,1鄰,郭厝巷,,,,,,22號,120.43108047574,24.06163600653
彰化縣鹿港鎮郭厝里10鄰郭厝巷24號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,24號,120.43113512106,24.061597564665
彰化縣鹿港鎮郭厝里10鄰郭厝巷26號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,26號,120.43115948909,24.061690926947
彰化縣鹿港鎮郭厝里10鄰郭厝巷29之1號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,29之1號,120.43108720838,24.061781672658
彰化縣鹿港鎮郭厝里9鄰郭厝巷30號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,30號,120.43103532221,24.061751863964
彰化縣鹿港鎮郭厝里9鄰郭厝巷31號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,31號,120.43114588615,24.061854575894
彰化縣鹿港鎮郭厝里9鄰郭厝巷32號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,32號,120.43046626542,24.061531330734
彰化縣鹿港鎮郭厝里9鄰郭厝巷36號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,36號,120.43201552256,24.061455193651
彰化縣鹿港鎮郭厝里2鄰郭厝巷37號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,37號,120.43199254575,24.06131371098
彰化縣鹿港鎮郭厝里2鄰郭厝巷38號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,38號,120.43194079093,24.061343405557
彰化縣鹿港鎮郭厝里2鄰郭厝巷39號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,39號,120.43076967459,24.061295804093
彰化縣鹿港鎮郭厝里2鄰郭厝巷40號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,40號,120.43181499143,24.061417971262
彰化縣鹿港鎮郭厝里2鄰郭厝巷41號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,41號,120.43089135303,24.061241629935
彰化縣鹿港鎮郭厝里2鄰郭厝巷41之1號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,41之1號,120.43085687355,24.061189132311
彰化縣鹿港鎮郭厝里2鄰郭厝巷42號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,42號,120.43172018957,24.061554231164
彰化縣鹿港鎮郭厝里2鄰郭厝巷43號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,43號,120.43163502827,24.061600234736
彰化縣鹿港鎮郭厝里2鄰郭厝巷44號,10007,1000702,1000702-009,2鄰,郭厝巷,,,,,,44號,120.43153639431,24.061601854809
彰化縣鹿港鎮郭厝里10鄰郭厝巷45號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,45號,120.43152523932,24.061634047641
彰化縣鹿港鎮郭厝里10鄰郭厝巷46號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,46號,120.43135817131,24.061746111448
彰化縣鹿港鎮郭厝里10鄰郭厝巷47號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,47號,120.43132926515,24.061834580552
彰化縣鹿港鎮郭厝里10鄰郭厝巷48號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,48號,120.43124103069,24.061953077005
彰化縣鹿港鎮郭厝里10鄰郭厝巷49號,10007,1000702,1000702-009,10鄰,郭厝巷,,,,,,49號,120.43121023615,24.06197914725
彰化縣鹿港鎮郭厝里9鄰郭厝巷50號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,50號,120.43103891096,24.062053001329
彰化縣鹿港鎮郭厝里9鄰郭厝巷51號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,51號,120.43090575808,24.061899461184
彰化縣鹿港鎮郭厝里9鄰郭厝巷52號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,52號,120.43092590438,24.061812946016
彰化縣鹿港鎮郭厝里9鄰郭厝巷54號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,54號,120.43089228946,24.061987987606
彰化縣鹿港鎮郭厝里9鄰郭厝巷56號,10007,1000702,1000702-009,9鄰,郭厝巷,,,,,,56號,120.43098664974,24.061952131372
彰化縣鹿港鎮郭厝里3鄰郭厝巷59號,10007,1000702,1000702-009,3鄰,郭厝巷,,,,,,59號,120.43210818954,24.061580501784
彰化縣鹿港鎮郭厝里3鄰郭厝巷60號,10007,1000702,1000702-009,3鄰,郭厝巷,,,,,,60號,120.43203395493,24.061623837365
