FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣大城鄉永和村7鄰青埔巷1號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,1號,120.30365718854,23.835840595434
彰化縣大城鄉永和村7鄰青埔巷1之1號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,1之1號,120.30349133757,23.835142412384
彰化縣大城鄉永和村6鄰青埔巷2號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,2號,120.30394923461,23.839334120463
彰化縣大城鄉永和村6鄰青埔巷2之1號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,2之1號,120.30371802056,23.839480037096
彰化縣大城鄉永和村6鄰青埔巷2之2號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,2之2號,120.3040700651,23.839184562828
彰化縣大城鄉永和村6鄰青埔巷3號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,3號,120.30435766677,23.839420506164
彰化縣大城鄉永和村6鄰青埔巷4號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,4號,120.30458135059,23.839790011124
彰化縣大城鄉永和村6鄰青埔巷5號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,5號,120.30413152903,23.840165839343
彰化縣大城鄉永和村6鄰青埔巷5之1號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,5之1號,120.30472144044,23.840019626679
彰化縣大城鄉永和村6鄰青埔巷6號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,6號,120.3049943812,23.839459712977
彰化縣大城鄉永和村6鄰青埔巷7號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,7號,120.3047728302,23.839411761196
彰化縣大城鄉永和村7鄰青埔巷7號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,7號,120.3047728302,23.839411761196
彰化縣大城鄉永和村6鄰青埔巷8號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,8號,120.30469727258,23.839541072259
彰化縣大城鄉永和村6鄰青埔巷9號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,9號,120.30484410254,23.83976951722
彰化縣大城鄉永和村7鄰青埔巷10號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,10號,120.30543441749,23.844897912663
彰化縣大城鄉永和村6鄰青埔巷12號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,12號,120.30504542207,23.839900510586
彰化縣大城鄉永和村6鄰青埔巷13號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,13號,120.30530429306,23.840064954912
彰化縣大城鄉永和村7鄰青埔巷14號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,14號,120.30501400521,23.83908742343
彰化縣大城鄉永和村7鄰青埔巷15號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,15號,120.30451669927,23.840548533964
彰化縣大城鄉永和村7鄰青埔巷15之1號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,15之1號,120.30482211174,23.838989330239
彰化縣大城鄉永和村7鄰青埔巷16號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,16號,120.30506113303,23.839615941273
彰化縣大城鄉永和村7鄰青埔巷18號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,18號,120.30522877455,23.839398485667
彰化縣大城鄉永和村7鄰青埔巷19號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,19號,120.30532237157,23.839525679219
彰化縣大城鄉永和村7鄰青埔巷21號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,21號,120.30523985298,23.839662688271
彰化縣大城鄉永和村7鄰青埔巷22號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,22號,120.30554649324,23.839916737781
彰化縣大城鄉永和村7鄰青埔巷23號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,23號,120.30583981939,23.839542882188
彰化縣大城鄉永和村7鄰青埔巷24號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,24號,120.30583316845,23.839407448584
彰化縣大城鄉永和村7鄰青埔巷25號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,25號,120.30481628923,23.839525392548
彰化縣大城鄉永和村7鄰青埔巷26號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,26號,120.30507823979,23.838750811216
彰化縣大城鄉永和村6鄰青埔巷27號,10007,1000724,1000724-008,6鄰,青埔巷,,,,,,27號,120.30489542248,23.839552097049
彰化縣大城鄉永和村7鄰青埔巷27號,10007,1000724,1000724-008,7鄰,青埔巷,,,,,,27號,120.30489542248,23.839552097049
