FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
彰化縣鹿港鎮東石里25鄰鹿工南一路1巷1號,10007,1000702,1000702-008,25鄰,鹿工南一路,,1巷,,,,1號,120.41157566164,24.077076093968
彰化縣鹿港鎮東石里25鄰鹿工南一路1巷3號,10007,1000702,1000702-008,25鄰,鹿工南一路,,1巷,,,,3號,120.41164752715,24.07708124616
彰化縣鹿港鎮東石里25鄰鹿工南一路1巷5號,10007,1000702,1000702-008,25鄰,鹿工南一路,,1巷,,,,5號,120.41171812534,24.077083955569
彰化縣鹿港鎮東石里25鄰鹿工南一路5號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,5號,120.41166781761,24.076643228978
彰化縣鹿港鎮東石里25鄰鹿工南一路6號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,6號,120.41118767186,24.074992564998
彰化縣鹿港鎮東石里25鄰鹿工南一路6之1號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,6之1號,120.4101359036,24.074262206606
彰化縣鹿港鎮東石里25鄰鹿工南一路6之2號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,6之2號,120.40992165315,24.075028227602
彰化縣鹿港鎮東石里25鄰鹿工南一路1巷7號,10007,1000702,1000702-008,25鄰,鹿工南一路,,1巷,,,,7號,120.41178746199,24.077082958135
彰化縣鹿港鎮東石里25鄰鹿工南一路9號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,9號,120.41157143975,24.076126389827
彰化縣鹿港鎮東石里25鄰鹿工南一路1巷9號,10007,1000702,1000702-008,25鄰,鹿工南一路,,1巷,,,,9號,120.41185804331,24.077089369374
彰化縣鹿港鎮東石里25鄰鹿工南一路1巷11號,10007,1000702,1000702-008,25鄰,鹿工南一路,,1巷,,,,11號,120.41192059973,24.077087172017
彰化縣鹿港鎮東石里25鄰鹿工南一路11號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11號,120.41154275195,24.075969352517
彰化縣鹿港鎮東石里25鄰鹿工南一路11之1號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之1號,120.41154560328,24.075926384642
彰化縣鹿港鎮東石里25鄰鹿工南一路11之2號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之2號,120.41153010884,24.075895264694
彰化縣鹿港鎮東石里25鄰鹿工南一路11之3號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之3號,120.41160313179,24.075862137674
彰化縣鹿港鎮東石里25鄰鹿工南一路11之5號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之5號,120.4115539062,24.075809398553
彰化縣鹿港鎮東石里25鄰鹿工南一路11之6號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之6號,120.41160601578,24.075790457165
彰化縣鹿港鎮東石里25鄰鹿工南一路11之7號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之7號,120.41167640558,24.075774023943
彰化縣鹿港鎮東石里25鄰鹿工南一路11之8號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之8號,120.41177523795,24.075774404027
彰化縣鹿港鎮東石里25鄰鹿工南一路11之9號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之9號,120.41186106754,24.075779519514
彰化縣鹿港鎮東石里25鄰鹿工南一路11之10號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之10號,120.41194167437,24.075786962458
彰化縣鹿港鎮東石里25鄰鹿工南一路11之11號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之11號,120.41202495782,24.075789720481
彰化縣鹿港鎮東石里25鄰鹿工南一路11之12號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,11之12號,120.41155683389,24.075728147294
彰化縣鹿港鎮東石里25鄰鹿工南一路13號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13號,120.4115492504,24.075687486861
彰化縣鹿港鎮東石里25鄰鹿工南一路1巷13號,10007,1000702,1000702-008,25鄰,鹿工南一路,,1巷,,,,13號,120.41198187237,24.077086143492
彰化縣鹿港鎮東石里25鄰鹿工南一路13之1號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之1號,120.4117339669,24.075702553713
彰化縣鹿港鎮東石里25鄰鹿工南一路13之2號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之2號,120.41184317968,24.075712544591
彰化縣鹿港鎮東石里25鄰鹿工南一路13之3號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之3號,120.41194468903,24.075708149398
彰化縣鹿港鎮東石里25鄰鹿工南一路13之5號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之5號,120.41205138862,24.075708559547
彰化縣鹿港鎮東石里25鄰鹿工南一路13之6號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之6號,120.41154437622,24.075613428923
彰化縣鹿港鎮東石里25鄰鹿工南一路13之7號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之7號,120.41163286088,24.07561855475
彰化縣鹿港鎮東石里25鄰鹿工南一路13之8號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之8號,120.41171870147,24.075621232482
彰化縣鹿港鎮東石里25鄰鹿工南一路13之9號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之9號,120.41191385238,24.075612502236
彰化縣鹿港鎮東石里25鄰鹿工南一路13之10號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之10號,120.41155266868,24.075520279796
彰化縣鹿港鎮東石里25鄰鹿工南一路13之11號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之11號,120.411687865,24.075525585276
彰化縣鹿港鎮東石里25鄰鹿工南一路13之12號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,13之12號,120.41185967654,24.075523898377
彰化縣鹿港鎮東石里25鄰鹿工南一路15號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,15號,120.41160400069,24.075391540714
彰化縣鹿港鎮東石里25鄰鹿工南一路17號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,17號,120.41160595519,24.075243379559
彰化縣鹿港鎮東石里25鄰鹿工南一路21號,10007,1000702,1000702-008,25鄰,鹿工南一路,,,,,,21號,120.41161735694,24.074727406348
