FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣埔里鎮西門里22鄰中正三路1號,10008,1000802,1000802-003,22鄰,中正三路,,,,,,1號,120.96233742388,23.967927081321
南投縣埔里鎮西門里18鄰中正三路2號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,2號,120.96249716891,23.967698129402
南投縣埔里鎮西門里20鄰中正三路84巷3號,10008,1000802,1000802-003,20鄰,中正三路,,84巷,,,,3號,120.96358330048,23.96936471592
南投縣埔里鎮西門里22鄰中正三路3號,10008,1000802,1000802-003,22鄰,中正三路,,,,,,3號,120.96235441325,23.967962481578
南投縣埔里鎮西門里20鄰中正三路84巷3之1號,10008,1000802,1000802-003,20鄰,中正三路,,84巷,,,,3之1號,120.96368704658,23.969442124284
南投縣埔里鎮西門里18鄰中正三路4號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,4號,120.96251071702,23.967740571902
南投縣埔里鎮西門里22鄰中正三路5號,10008,1000802,1000802-003,22鄰,中正三路,,,,,,5號,120.9623647189,23.968004020333
南投縣埔里鎮西門里20鄰中正三路84巷5號,10008,1000802,1000802-003,20鄰,中正三路,,84巷,,,,5號,120.96376121502,23.969519525597
南投縣埔里鎮西門里20鄰中正三路84巷6號,10008,1000802,1000802-003,20鄰,中正三路,,84巷,,,,6號,120.96388228246,23.969502036686
南投縣埔里鎮西門里18鄰中正三路6號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,6號,120.96252426517,23.967782924105
南投縣埔里鎮西門里20鄰中正三路84巷7號,10008,1000802,1000802-003,20鄰,中正三路,,84巷,,,,7號,120.96381646061,23.969445676397
南投縣埔里鎮西門里22鄰中正三路7號,10008,1000802,1000802-003,22鄰,中正三路,,,,,,7號,120.96238740133,23.968061002761
南投縣埔里鎮西門里18鄰中正三路8號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,8號,120.96253791156,23.967825366626
南投縣埔里鎮西門里22鄰中正三路9號,10008,1000802,1000802-003,22鄰,中正三路,,,,,,9號,120.96239947467,23.968106244088
南投縣埔里鎮西門里18鄰中正三路10號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,10號,120.96255136144,23.967867809098
南投縣埔里鎮西門里22鄰中正三路11號,10008,1000802,1000802-003,22鄰,中正三路,,,,,,11號,120.96242147151,23.96815555117
南投縣埔里鎮西門里18鄰中正三路12號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,12號,120.96256500785,23.967910251616
南投縣埔里鎮西門里18鄰中正三路14號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,14號,120.962578556,23.967952694109
南投縣埔里鎮西門里18鄰中正三路16號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,16號,120.96259210419,23.967995046304
南投縣埔里鎮西門里18鄰中正三路18號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,18號,120.96260565237,23.968037488794
南投縣埔里鎮西門里18鄰中正三路20號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,20號,120.96262096037,23.968110903289
南投縣埔里鎮西門里18鄰中正三路22號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,22號,120.96262665028,23.968143501583
南投縣埔里鎮西門里18鄰中正三路24號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,24號,120.96264874202,23.968204818043
南投縣埔里鎮西門里18鄰中正三路26號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,26號,120.96265944273,23.968239765254
南投縣埔里鎮西門里18鄰中正三路28號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,28號,120.96267407241,23.968280311781
南投縣埔里鎮西門里18鄰中正三路30號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,30號,120.96268860383,23.968320858282
南投縣埔里鎮西門里18鄰中正三路32號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,32號,120.96270470758,23.968361043979
南投縣埔里鎮西門里18鄰中正三路34號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,34號,120.96271776495,23.968401951304
南投縣埔里鎮西門里18鄰中正三路36號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,36號,120.96273239464,23.96844258812
南投縣埔里鎮西門里18鄰中正三路38號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,38號,120.9627482075,23.968469319617
南投縣埔里鎮西門里18鄰中正三路40號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,40號,120.96276284241,23.968491806907
南投縣埔里鎮西門里18鄰中正三路42號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,42號,120.9627839593,23.968526395451
南投縣埔里鎮西門里18鄰中正三路42之1號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,42之1號,120.96279593679,23.968563871253
南投縣埔里鎮西門里21鄰中正三路45號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,45號,120.96268202292,23.968652424111
南投縣埔里鎮西門里18鄰中正三路46號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,46號,120.96282245938,23.968594488071
南投縣埔里鎮西門里21鄰中正三路47號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,47號,120.9627031387,23.968690895399
南投縣埔里鎮西門里18鄰中正三路48號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,48號,120.96283974174,23.968636931441
南投縣埔里鎮西門里21鄰中正三路49號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,49號,120.96272336938,23.96873189476
南投縣埔里鎮西門里21鄰中正三路51號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,51號,120.9627375096,23.968766210726
南投縣埔里鎮西門里21鄰中正三路53號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,53號,120.9627572407,23.968836014429
南投縣埔里鎮西門里21鄰中正三路55號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,55號,120.96282854479,23.968961453047
南投縣埔里鎮西門里20鄰中正三路55號,10008,1000802,1000802-003,20鄰,中正三路,,,,,,55號,120.96282854479,23.968961453047
南投縣埔里鎮西門里20鄰中正三路56號,10008,1000802,1000802-003,20鄰,中正三路,,,,,,56號,120.96298430623,23.968919502988
南投縣埔里鎮西門里20鄰中正三路58號,10008,1000802,1000802-003,20鄰,中正三路,,,,,,58號,120.96301740816,23.968965923181
南投縣埔里鎮西門里21鄰中正三路63號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,63號,120.96284452418,23.96909310868
南投縣埔里鎮西門里18鄰中正三路65號,10008,1000802,1000802-003,18鄰,中正三路,,,,,,65號,120.96287370043,23.969122371688
南投縣埔里鎮西門里21鄰中正三路65號,10008,1000802,1000802-003,21鄰,中正三路,,,,,,65號,120.96287370043,23.969122371688
南投縣埔里鎮西門里20鄰中正三路66號,10008,1000802,1000802-003,20鄰,中正三路,,,,,,66號,120.96314688627,23.969087944402
