FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣竹山鎮桂林里22鄰中正巷24之3弄1號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,1號,120.69279351341,23.755663282183
南投縣竹山鎮桂林里9鄰中正巷1號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,1號,120.70580908832,23.746729704966
南投縣竹山鎮桂林里9鄰中正巷1之1號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,1之1號,120.7052731359,23.746883725511
南投縣竹山鎮桂林里9鄰中正巷1之2號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,1之2號,120.70566710169,23.746922672249
南投縣竹山鎮桂林里9鄰中正巷1之6號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,1之6號,120.70625703966,23.746797738582
南投縣竹山鎮桂林里22鄰中正巷24之3弄2號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,2號,120.69275158438,23.755847135365
南投縣竹山鎮桂林里9鄰中正巷2之1號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,2之1號,120.70530801955,23.74746765847
南投縣竹山鎮桂林里9鄰中正巷2之2號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,2之2號,120.70541604486,23.747327631704
南投縣竹山鎮桂林里9鄰中正巷2之3號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,2之3號,120.70496308375,23.74761039354
南投縣竹山鎮桂林里22鄰中正巷24之3弄3號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,3號,120.69275449935,23.755691919304
南投縣竹山鎮桂林里9鄰中正巷3號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,3號,120.70562916693,23.747302754324
南投縣竹山鎮桂林里9鄰中正巷4號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,4號,120.70566521031,23.747415063298
南投縣竹山鎮桂林里22鄰中正巷24之3弄5號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,5號,120.6926767098,23.755689326572
南投縣竹山鎮桂林里9鄰中正巷5號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,5號,120.70566012332,23.747539755057
南投縣竹山鎮桂林里22鄰中正巷24之3弄6號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,6號,120.69269713172,23.755849465122
南投縣竹山鎮桂林里9鄰中正巷6號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,6號,120.70561580819,23.74761606271
南投縣竹山鎮桂林里9鄰中正巷7號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,7號,120.70555856353,23.747683767416
南投縣竹山鎮桂林里22鄰中正巷24之3弄7號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,7號,120.69261954122,23.755720275293
南投縣竹山鎮桂林里9鄰中正巷7之1號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,7之1號,120.70530510654,23.747846723623
南投縣竹山鎮桂林里22鄰中正巷24之3弄8號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,8號,120.69264785352,23.755820652425
南投縣竹山鎮桂林里22鄰中正巷24之3弄9號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,9號,120.69254684154,23.7557225687
南投縣竹山鎮桂林里9鄰中正巷9號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,9號,120.70427304178,23.746927686651
南投縣竹山鎮桂林里22鄰中正巷24之3弄10號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,10號,120.69259849669,23.755825340026
南投縣竹山鎮桂林里9鄰中正巷10號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,10號,120.70420304425,23.74712566637
南投縣竹山鎮桂林里9鄰中正巷10之1號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,10之1號,120.7041300384,23.747265669024
南投縣竹山鎮桂林里9鄰中正巷10之3號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,10之3號,120.70405329997,23.74710388882
南投縣竹山鎮桂林里9鄰中正巷11號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,11號,120.70368807455,23.750967668503
南投縣竹山鎮桂林里22鄰中正巷24之3弄11號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,11號,120.69248975999,23.755674687598
南投縣竹山鎮桂林里9鄰中正巷11之2號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,11之2號,120.70380911433,23.749846671637
南投縣竹山鎮桂林里9鄰中正巷11之69號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,11之69號,120.70217512308,23.752288617326
南投縣竹山鎮桂林里9鄰中正巷11之70號,10008,1000804,1000804-007,9鄰,中正巷,,,,,,11之70號,120.70213690846,23.752355273792
南投縣竹山鎮桂林里12鄰中正巷12號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,12號,120.70071097342,23.753876746378
南投縣竹山鎮桂林里22鄰中正巷24之3弄12號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,12號,120.69250514227,23.755808449195
南投縣竹山鎮桂林里12鄰中正巷12之8號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,12之8號,120.69923398254,23.755188705258
南投縣竹山鎮桂林里12鄰中正巷12之10號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,12之10號,120.69909302551,23.75543765278
南投縣竹山鎮桂林里22鄰中正巷24之3弄13號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,13號,120.69243267008,23.755672135935
南投縣竹山鎮桂林里12鄰中正巷13之1號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,13之1號,120.69899802863,23.753958750791
南投縣竹山鎮桂林里12鄰中正巷13之2號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,13之2號,120.69878305164,23.755253654015
南投縣竹山鎮桂林里12鄰中正巷13之3號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,13之3號,120.69875305313,23.754647697246
南投縣竹山鎮桂林里12鄰中正巷13之7之1號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,13之7之1號,120.69702798539,23.754918829976
南投縣竹山鎮桂林里12鄰中正巷13之7之2號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,13之7之2號,120.69698817648,23.754909902736
南投縣竹山鎮桂林里12鄰中正巷13之7號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,13之7號,120.69706147524,23.754945262591
南投縣竹山鎮桂林里12鄰中正巷13之8號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,13之8號,120.69710131487,23.754940916097
南投縣竹山鎮桂林里12鄰中正巷14之1號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之1號,120.69966801003,23.752741665708
南投縣竹山鎮桂林里12鄰中正巷14之2號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之2號,120.69625303382,23.75497871113
南投縣竹山鎮桂林里12鄰中正巷14之3號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之3號,120.69620605198,23.754974735968
南投縣竹山鎮桂林里12鄰中正巷14之4號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之4號,120.69615797949,23.754975725025
南投縣竹山鎮桂林里12鄰中正巷14之5號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之5號,120.69611294356,23.75497870659
南投縣竹山鎮桂林里12鄰中正巷14之6號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之6號,120.69606897983,23.754984670078
南投縣竹山鎮桂林里12鄰中正巷14之7號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之7號,120.69602699658,23.754982691244
南投縣竹山鎮桂林里12鄰中正巷14之10號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之10號,120.69576202754,23.75506470197
南投縣竹山鎮桂林里12鄰中正巷14之11號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之11號,120.69991495571,23.753072725816
南投縣竹山鎮桂林里12鄰中正巷14之12號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之12號,120.70003910993,23.753133737299
南投縣竹山鎮桂林里12鄰中正巷14之13號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之13號,120.6955590776,23.755138707638
南投縣竹山鎮桂林里12鄰中正巷14之14號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之14號,120.69992197406,23.753220737597
南投縣竹山鎮桂林里12鄰中正巷14之18號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,14之18號,120.70041557091,23.753456108461
南投縣竹山鎮桂林里22鄰中正巷24之3弄15號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,15號,120.69235500405,23.755616989989
南投縣竹山鎮桂林里29鄰中正巷15之1號,10008,1000804,1000804-007,29鄰,中正巷,,,,,,15之1號,120.69613602204,23.753235191699
南投縣竹山鎮桂林里29鄰中正巷15之2號,10008,1000804,1000804-007,29鄰,中正巷,,,,,,15之2號,120.69622637721,23.753106604655
南投縣竹山鎮桂林里29鄰中正巷15之7號,10008,1000804,1000804-007,29鄰,中正巷,,,,,,15之7號,120.6965500581,23.752917615163
南投縣竹山鎮桂林里22鄰中正巷24之3弄16號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,16號,120.69238571509,23.755781934844
南投縣竹山鎮桂林里22鄰中正巷24之3弄17號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,17號,120.69230053471,23.755626453098
南投縣竹山鎮桂林里12鄰中正巷17號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,17號,120.69871803164,23.752515697354
南投縣竹山鎮桂林里12鄰中正巷17之1號,10008,1000804,1000804-007,12鄰,中正巷,,,,,,17之1號,120.69805598917,23.752626645452
南投縣竹山鎮桂林里22鄰中正巷24之3弄18號,10008,1000804,1000804-007,22鄰,中正巷,,,24之3弄,,,18號,120.69223782697,23.7557601495
南投縣竹山鎮桂林里29鄰中正巷18之4號,10008,1000804,1000804-007,29鄰,中正巷,,,,,,18之4號,120.69653502118,23.753352730813
南投縣竹山鎮桂林里29鄰中正巷18之5號,10008,1000804,1000804-007,29鄰,中正巷,,,,,,18之5號,120.69660602022,23.753321717474
南投縣竹山鎮桂林里29鄰中正巷18之6號,10008,1000804,1000804-007,29鄰,中正巷,,,,,,18之6號,120.69662419668,23.753309743549
