FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣竹山鎮桂林里24鄰加正三巷1號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,1號,120.68395386768,23.751715697789
南投縣竹山鎮桂林里24鄰加正三巷2號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,2號,120.68379197129,23.751525651025
南投縣竹山鎮桂林里24鄰加正三巷2之1號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,2之1號,120.68375000286,23.751558704427
南投縣竹山鎮桂林里24鄰加正三巷3號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,3號,120.6839189698,23.751745695572
南投縣竹山鎮桂林里24鄰加正三巷5號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,5號,120.68388594081,23.75177362032
南投縣竹山鎮桂林里24鄰加正三巷6號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,6號,120.68371295159,23.751586711206
南投縣竹山鎮桂林里24鄰加正三巷7號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,7號,120.68385389498,23.751800644095
南投縣竹山鎮桂林里24鄰加正三巷8號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,8號,120.683678944,23.751613640633
南投縣竹山鎮桂林里24鄰加正三巷9號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,9號,120.68382096384,23.751828659327
南投縣竹山鎮桂林里24鄰加正三巷10號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,10號,120.68364493858,23.751639667079
南投縣竹山鎮桂林里24鄰加正三巷11號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,11號,120.68378901608,23.751855683289
南投縣竹山鎮桂林里24鄰加正三巷12號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,12號,120.68363593554,23.751711706261
南投縣竹山鎮桂林里24鄰加正三巷13號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,13號,120.68375598703,23.751883608009
南投縣竹山鎮桂林里24鄰加正三巷15號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,15號,120.68372393875,23.751911625027
南投縣竹山鎮桂林里24鄰加正三巷17號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,17號,120.68369091185,23.751938646759
南投縣竹山鎮桂林里24鄰加正三巷19號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,19號,120.68365699005,23.751970633029
南投縣竹山鎮桂林里24鄰加正三巷21號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,21號,120.68362288403,23.751997652537
南投縣竹山鎮桂林里24鄰加正三巷23號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,23號,120.68358897398,23.752024762737
南投縣竹山鎮桂林里24鄰加正三巷25號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,25號,120.68354887185,23.752056736328
南投縣竹山鎮桂林里24鄰加正三巷27號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,27號,120.68350592001,23.752090690623
南投縣竹山鎮桂林里24鄰加正三巷29號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,29號,120.68346296792,23.752124735203
南投縣竹山鎮桂林里24鄰加正三巷31號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,31號,120.68341991554,23.752159682543
南投縣竹山鎮桂林里24鄰加正三巷35號,10008,1000804,1000804-007,24鄰,加正三巷,,,,,,35號,120.68333588018,23.752225698623
