FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣竹山鎮中央里12鄰北勢巷1號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,1號,120.74174933179,23.816293922179
南投縣竹山鎮中央里12鄰北勢巷1之1號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,1之1號,120.74199228859,23.816621927481
南投縣竹山鎮中央里14鄰北勢巷4號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,4號,120.74038324206,23.816864926219
南投縣竹山鎮中央里12鄰北勢巷5號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,5號,120.74008524114,23.816184937051
南投縣竹山鎮中央里12鄰北勢巷5之1號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,5之1號,120.7399922544,23.816894878325
南投縣竹山鎮中央里12鄰北勢巷5之3號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,5之3號,120.74013725383,23.816976841773
南投縣竹山鎮中央里12鄰北勢巷6號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,6號,120.73988219267,23.816075876762
南投縣竹山鎮中央里12鄰北勢巷7號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,7號,120.73982019071,23.816061866392
南投縣竹山鎮中央里12鄰北勢巷8號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,8號,120.73978621542,23.816069845533
南投縣竹山鎮中央里12鄰北勢巷8之1號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,8之1號,120.73975420092,23.816078911543
南投縣竹山鎮中央里12鄰北勢巷9號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,9號,120.73964819905,23.816128847643
南投縣竹山鎮中央里12鄰北勢巷10號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,10號,120.73459020672,23.815068894897
南投縣竹山鎮中央里12鄰北勢巷11號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,11號,120.73900320757,23.815862915475
南投縣竹山鎮中央里12鄰北勢巷12號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,12號,120.73896314537,23.815479084102
南投縣竹山鎮中央里12鄰北勢巷14號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,14號,120.73847626298,23.816002886633
南投縣竹山鎮中央里12鄰北勢巷14之4號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,14之4號,120.73842629942,23.81600587201
南投縣竹山鎮中央里12鄰北勢巷15號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,15號,120.73851517378,23.815980920067
南投縣竹山鎮中央里12鄰北勢巷16號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,16號,120.73829821187,23.815909849277
南投縣竹山鎮中央里12鄰北勢巷16之5號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,16之5號,120.7385080621,23.816493345198
南投縣竹山鎮中央里12鄰北勢巷17號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,17號,120.73800827465,23.815570922723
南投縣竹山鎮中央里12鄰北勢巷19號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,19號,120.73683526537,23.815006915229
南投縣竹山鎮中央里12鄰北勢巷19之1號,10008,1000804,1000804-017,12鄰,北勢巷,,,,,,19之1號,120.73684830471,23.81472186887
南投縣竹山鎮中央里13鄰北勢巷20號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,20號,120.73567126088,23.815768930145
南投縣竹山鎮中央里13鄰北勢巷20之8號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,20之8號,120.73498740175,23.815169988494
南投縣竹山鎮中央里13鄰北勢巷21號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,21號,120.73553128426,23.815825848365
南投縣竹山鎮中央里13鄰北勢巷21之18號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,21之18號,120.73703998573,23.818425287692
南投縣竹山鎮中央里13鄰北勢巷21之30號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,21之30號,120.737763249,23.819258879482
南投縣竹山鎮中央里13鄰北勢巷21之36號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,21之36號,120.73889827883,23.81949792605
南投縣竹山鎮中央里13鄰北勢巷21之43號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,21之43號,120.73925406793,23.819846172517
南投縣竹山鎮中央里13鄰北勢巷22號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,22號,120.73496717098,23.815997889602
南投縣竹山鎮中央里13鄰北勢巷24號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,24號,120.73553519448,23.816414954582
南投縣竹山鎮中央里13鄰北勢巷25號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,25號,120.73592724523,23.816295892167
南投縣竹山鎮中央里13鄰北勢巷26號,10008,1000804,1000804-017,13鄰,北勢巷,,,,,,26號,120.73565319892,23.816157990216
南投縣竹山鎮中央里14鄰北勢巷27號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,27號,120.73395524923,23.818314890905
南投縣竹山鎮中央里14鄰北勢巷28之1號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,28之1號,120.73505822142,23.818672922135
南投縣竹山鎮中央里14鄰北勢巷29號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,29號,120.7348222641,23.820751971791
南投縣竹山鎮中央里14鄰北勢巷29之1號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,29之1號,120.7343921889,23.820159965332
南投縣竹山鎮中央里14鄰北勢巷29之3號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,29之3號,120.73509122553,23.820352868814
南投縣竹山鎮中央里14鄰北勢巷31號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,31號,120.73419828398,23.821343879372
南投縣竹山鎮中央里14鄰北勢巷32號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,32號,120.73485421811,23.821014972271
南投縣竹山鎮中央里14鄰北勢巷33號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,33號,120.73422828563,23.821552878851
南投縣竹山鎮中央里14鄰北勢巷34號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,34號,120.73501127596,23.820862910819
南投縣竹山鎮中央里14鄰北勢巷34之5號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,34之5號,120.73683403937,23.82096996447
南投縣竹山鎮中央里14鄰北勢巷35號,10008,1000804,1000804-017,14鄰,北勢巷,,,,,,35號,120.73684097655,23.823370708616
南投縣集集鎮廣明里4鄰北勢巷1之3號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,1之3號,120.80041615024,23.836821905269
南投縣集集鎮廣明里4鄰北勢巷3號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,3號,120.80057282379,23.838039496555
南投縣集集鎮廣明里4鄰北勢巷4號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,4號,120.80078416174,23.837918861771
南投縣集集鎮廣明里4鄰北勢巷4之2號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,4之2號,120.80065628725,23.838088726271
南投縣集集鎮廣明里4鄰北勢巷5號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,5號,120.80097823374,23.838240932136
南投縣集集鎮廣明里8鄰北勢巷5之1號,10008,1000805,1000805-011,8鄰,北勢巷,,,,,,5之1號,120.80097117147,23.837979963777
南投縣集集鎮廣明里4鄰北勢巷6號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,6號,120.80207815868,23.838835872844
南投縣集集鎮廣明里4鄰北勢巷7號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,7號,120.80083909753,23.840063945223
南投縣集集鎮廣明里4鄰北勢巷7之1號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,7之1號,120.80209413517,23.842279922303
南投縣集集鎮廣明里4鄰北勢巷7之2號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,7之2號,120.80208151226,23.84251169918
南投縣集集鎮廣明里2鄰北勢巷9號,10008,1000805,1000805-011,2鄰,北勢巷,,,,,,9號,120.79983632401,23.840446951293
南投縣集集鎮廣明里2鄰北勢巷10號,10008,1000805,1000805-011,2鄰,北勢巷,,,,,,10號,120.79984117452,23.840100938396
南投縣集集鎮廣明里4鄰北勢巷10之1號,10008,1000805,1000805-011,4鄰,北勢巷,,,,,,10之1號,120.80011544204,23.840107976372
南投縣集集鎮廣明里2鄰北勢巷11號,10008,1000805,1000805-011,2鄰,北勢巷,,,,,,11號,120.79940617966,23.839537910997
