FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣埔里鎮東門里19鄰北澤街2號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,2號,120.97236316232,23.964819955583
南投縣埔里鎮東門里19鄰北澤街2之1號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,2之1號,120.97238920985,23.964781313501
南投縣埔里鎮東門里19鄰北澤街5號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,5號,120.9721878895,23.964700100882
南投縣埔里鎮東門里19鄰北澤街6號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,6號,120.97233288991,23.964856790975
南投縣埔里鎮東門里19鄰北澤街7號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,7號,120.97216066484,23.964729171321
南投縣埔里鎮東門里19鄰北澤街8號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,8號,120.97229053027,23.964898500174
南投縣埔里鎮東門里19鄰北澤街9號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,9號,120.97213196666,23.964756345267
南投縣埔里鎮東門里19鄰北澤街10號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,10號,120.9722155404,23.964974516009
南投縣埔里鎮東門里19鄰北澤街11號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,11號,120.97211140919,23.964853139049
南投縣埔里鎮東門里19鄰北澤街13號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,13號,120.97208123736,23.964878867978
南投縣埔里鎮東門里19鄰北澤街15號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,15號,120.97203789636,23.964914346491
南投縣埔里鎮東門里19鄰北澤街16號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,16號,120.97214575986,23.965043309058
南投縣埔里鎮東門里19鄰北澤街16之1號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,16之1號,120.97200290946,23.964941067786
南投縣埔里鎮東門里19鄰北澤街17號,10008,1000802,1000802-001,19鄰,北澤街,,,,,,17號,120.97197735608,23.964965894575
南投縣埔里鎮東門里16鄰北澤街17之1號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,17之1號,120.97184487035,23.965099689281
南投縣埔里鎮東門里16鄰北澤街18號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,18號,120.97192746976,23.965278400559
南投縣埔里鎮東門里16鄰北澤街19號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,19號,120.97172832596,23.965127117901
南投縣埔里鎮東門里16鄰北澤街20號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,20號,120.97190063877,23.965303768878
南投縣埔里鎮東門里16鄰北澤街21號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,21號,120.97169864491,23.965154652768
南投縣埔里鎮東門里16鄰北澤街22號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,22號,120.97186840188,23.965335998711
南投縣埔里鎮東門里16鄰北澤街23號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,23號,120.97167132164,23.965184355173
南投縣埔里鎮東門里16鄰北澤街24號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,24號,120.9718369513,23.965367145127
南投縣埔里鎮東門里16鄰北澤街25號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,25號,120.9716417388,23.965211980344
南投縣埔里鎮東門里16鄰北澤街26號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,26號,120.97181090553,23.96539639631
南投縣埔里鎮東門里16鄰北澤街28號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,28號,120.97177689821,23.965436300973
南投縣埔里鎮東門里16鄰北澤街30號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,30號,120.97174240383,23.965456611268
南投縣埔里鎮東門里16鄰北澤街32號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,32號,120.97170731819,23.965484596622
南投縣埔里鎮東門里16鄰北澤街35號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,35號,120.97132192901,23.96550971774
南投縣埔里鎮東門里16鄰北澤街36號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,36號,120.97146712693,23.965661261788
南投縣埔里鎮東門里16鄰北澤街37號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,37號,120.97128517131,23.965544474898
南投縣埔里鎮東門里16鄰北澤街38號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,38號,120.97143980288,23.965693853627
南投縣埔里鎮東門里16鄰北澤街39號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,39號,120.97126571192,23.965560273088
南投縣埔里鎮東門里16鄰北澤街40號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,40號,120.97140913928,23.965720124107
南投縣埔里鎮東門里16鄰北澤街41號,10008,1000802,1000802-001,16鄰,北澤街,,,,,,41號,120.97122040799,23.965583290127
