FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣魚池鄉水社村11鄰名勝街2之2號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,2之2號,120.91166899844,23.865288069491
南投縣魚池鄉水社村15鄰名勝街3號,10008,1000809,1000809-010,15鄰,名勝街,,,,,,3號,120.91186820467,23.865017923829
南投縣魚池鄉水社村15鄰名勝街5號,10008,1000809,1000809-010,15鄰,名勝街,,,,,,5號,120.91173766532,23.864947055982
南投縣魚池鄉水社村11鄰名勝街6號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,6號,120.91160696765,23.865254353006
南投縣魚池鄉水社村11鄰名勝街8號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,8號,120.91157978498,23.865232395158
南投縣魚池鄉水社村15鄰名勝街11號,10008,1000809,1000809-010,15鄰,名勝街,,,,,,11號,120.91160732145,23.86487772319
南投縣魚池鄉水社村11鄰名勝街12號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,12號,120.91156430775,23.865179110867
南投縣魚池鄉水社村11鄰名勝街12之1號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,12之1號,120.91152142179,23.865147662773
南投縣魚池鄉水社村15鄰名勝街15號,10008,1000809,1000809-010,15鄰,名勝街,,,,,,15號,120.91140196651,23.864659988687
南投縣魚池鄉水社村15鄰名勝街15之1號,10008,1000809,1000809-010,15鄰,名勝街,,,,,,15之1號,120.91130596304,23.864627426394
南投縣魚池鄉水社村11鄰名勝街16號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,16號,120.91149908145,23.865079836667
南投縣魚池鄉水社村15鄰名勝街17號,10008,1000809,1000809-010,15鄰,名勝街,,,,,,17號,120.91964732829,23.862719868715
南投縣魚池鄉水社村11鄰名勝街18號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,18號,120.91145060151,23.865044592852
南投縣魚池鄉水社村11鄰名勝街20號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,20號,120.91137479757,23.865050960351
南投縣魚池鄉水社村11鄰名勝街22號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,22號,120.91133475921,23.865019333249
南投縣魚池鄉水社村15鄰名勝街23號,10008,1000809,1000809-010,15鄰,名勝街,,,,,,23號,120.91113893613,23.864502629529
南投縣魚池鄉水社村11鄰名勝街26號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,26號,120.91124837688,23.864843926137
南投縣魚池鄉水社村11鄰名勝街28號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,28號,120.91117542955,23.864836931185
南投縣魚池鄉水社村11鄰名勝街30號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,30號,120.91114157424,23.864809370977
南投縣魚池鄉水社村11鄰名勝街32號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,32號,120.91110988056,23.864779554577
南投縣魚池鄉水社村11鄰名勝街34號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,34號,120.91103399258,23.864765424374
南投縣魚池鄉水社村11鄰名勝街36號,10008,1000809,1000809-010,11鄰,名勝街,,,,,,36號,120.9109567644,23.864700997763
