FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣南投市營北里45鄰向上二路2號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,2號,120.68782615722,23.951639102423
南投縣南投市營北里45鄰向上二路6號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,6號,120.68778861656,23.951602004972
南投縣南投市營北里45鄰向上二路8號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,8號,120.68773143461,23.951561255756
南投縣南投市營北里45鄰向上二路10號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,10號,120.687661405,23.951510909071
南投縣南投市營北里45鄰向上二路12號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,12號,120.68760949405,23.951484527507
南投縣南投市營北里45鄰向上二路16號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,16號,120.68757044799,23.951460610075
南投縣南投市營北里45鄰向上二路18號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,18號,120.68752379914,23.951411484734
南投縣南投市營北里45鄰向上二路20號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,20號,120.68748997777,23.951380354278
南投縣南投市營北里45鄰向上二路22號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,22號,120.68744328568,23.951349197619
南投縣南投市營北里45鄰向上二路26號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,26號,120.6874042484,23.951321668345
南投縣南投市營北里45鄰向上二路28號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,28號,120.6873679939,23.951280961592
南投縣南投市營北里45鄰向上二路30號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,30號,120.6873213478,23.95123075265
南投縣南投市營北里45鄰向上二路32號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,32號,120.68727201461,23.951194804902
南投縣南投市營北里45鄰向上二路35號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,35號,120.6871999783,23.950917451159
南投縣南投市營北里45鄰向上二路36號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,36號,120.68722014436,23.951151628336
南投縣南投市營北里45鄰向上二路38號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,38號,120.68716040808,23.951110964001
南投縣南投市營北里45鄰向上二路40號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,40號,120.68709041052,23.951047524282
南投縣南投市營北里45鄰向上二路42號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,42號,120.68705946756,23.951004390301
南投縣南投市營北里45鄰向上二路46號,10008,1000801,1000801-027,45鄰,向上二路,,,,,,46號,120.68701272343,23.950954181065
