FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣仁愛鄉中正村1鄰平等巷1附1號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,1附1號,120.99200122848,23.910442783749
南投縣仁愛鄉中正村1鄰平等巷1附2號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,1附2號,120.99094229546,23.889572479533
南投縣仁愛鄉中正村1鄰平等巷3附2號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,3附2號,120.9922611719,23.894713975247
南投縣仁愛鄉中正村1鄰平等巷4號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,4號,120.99165957904,23.901866638308
南投縣仁愛鄉中正村1鄰平等巷4附1號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,4附1號,120.99194636272,23.901880378726
南投縣仁愛鄉中正村1鄰平等巷4之1號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,4之1號,120.99115295887,23.900907927375
南投縣仁愛鄉中正村1鄰平等巷4之3號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,4之3號,120.9906639651,23.900775161959
南投縣仁愛鄉中正村1鄰平等巷5號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,5號,120.99197505954,23.901582942114
南投縣仁愛鄉中正村1鄰平等巷6號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,6號,120.99230120218,23.902004193994
南投縣仁愛鄉中正村1鄰平等巷7號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,7號,120.99257682951,23.903043073702
南投縣仁愛鄉中正村1鄰平等巷7之1號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,7之1號,120.99252861371,23.902909973703
南投縣仁愛鄉中正村1鄰平等巷8號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,8號,120.99209706912,23.90273450521
南投縣仁愛鄉中正村1鄰平等巷9號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,9號,120.99216934893,23.90283573176
南投縣仁愛鄉中正村1鄰平等巷9之1號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,9之1號,120.99239877115,23.902957373226
南投縣仁愛鄉中正村1鄰平等巷10號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,10號,120.99223398502,23.902653606138
南投縣仁愛鄉中正村1鄰平等巷11號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,11號,120.9922061846,23.90274913888
南投縣仁愛鄉中正村1鄰平等巷11之1號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,11之1號,120.99133395785,23.901026046085
南投縣仁愛鄉中正村1鄰平等巷11之2號,10008,1000813,1000813-002,1鄰,平等巷,,,,,,11之2號,120.98971097913,23.901087257708
南投縣仁愛鄉中正村2鄰平等巷13號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,13號,120.99190238794,23.90305513946
南投縣仁愛鄉中正村2鄰平等巷14號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,14號,120.99181182293,23.903229588316
南投縣仁愛鄉中正村2鄰平等巷15號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,15號,120.99178844038,23.903346792471
南投縣仁愛鄉中正村2鄰平等巷16號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,16號,120.99166507446,23.903469770236
南投縣仁愛鄉中正村2鄰平等巷16之1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,16之1號,120.99174003001,23.903195271648
南投縣仁愛鄉中正村2鄰平等巷17號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,17號,120.99187082951,23.903558723712
南投縣仁愛鄉中正村2鄰平等巷17之1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,17之1號,120.99188163482,23.903532357583
南投縣仁愛鄉中正村2鄰平等巷18號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,18號,120.99199853628,23.903118984416
南投縣仁愛鄉中正村2鄰平等巷19號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,19號,120.99176684749,23.903119243078
南投縣仁愛鄉中正村2鄰平等巷21號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,21號,120.99197908156,23.903251629578
南投縣仁愛鄉中正村2鄰平等巷23號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,23號,120.99202496116,23.903036002917
南投縣仁愛鄉中正村2鄰平等巷24號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,24號,120.99236478025,23.903103923447
南投縣仁愛鄉中正村2鄰平等巷25號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,25號,120.99228503092,23.903085498895
南投縣仁愛鄉中正村2鄰平等巷26號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,26號,120.99229660705,23.903308532869
南投縣仁愛鄉中正村2鄰平等巷27號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,27號,120.99223020594,23.903438827982
南投縣仁愛鄉中正村2鄰平等巷27之1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,27之1號,120.992205648,23.903508445662
南投縣仁愛鄉中正村2鄰平等巷28號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,28號,120.98959463169,23.9031003297
南投縣仁愛鄉中正村2鄰平等巷28附1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,28附1號,120.98927374268,23.903357563579
南投縣仁愛鄉中正村2鄰平等巷28附2號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,28附2號,120.98929736481,23.903936819931
南投縣仁愛鄉中正村2鄰平等巷29號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,29號,120.99245098565,23.90357256871
南投縣仁愛鄉中正村2鄰平等巷29之1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,29之1號,120.99239716854,23.903490486162
南投縣仁愛鄉中正村2鄰平等巷30號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,30號,120.99244282762,23.903678667185
南投縣仁愛鄉中正村2鄰平等巷31號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,31號,120.99238971011,23.903389353246
南投縣仁愛鄉中正村2鄰平等巷31附1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,31附1號,120.99245011131,23.903407235012
南投縣仁愛鄉中正村2鄰平等巷32號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,32號,120.99250629427,23.903338702399
南投縣仁愛鄉中正村2鄰平等巷33號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,33號,120.9925223081,23.903255539716
南投縣仁愛鄉中正村2鄰平等巷34號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,34號,120.99271352121,23.903458084882
南投縣仁愛鄉中正村2鄰平等巷35號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,35號,120.99270636034,23.903300697014
南投縣仁愛鄉中正村2鄰平等巷36號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,36號,120.99276528909,23.903304853455
南投縣仁愛鄉中正村2鄰平等巷37號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,37號,120.99267277641,23.903201639697
南投縣仁愛鄉中正村2鄰平等巷37之1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,37之1號,120.99323032204,23.894159236035
南投縣仁愛鄉中正村2鄰平等巷38號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,38號,120.99268935082,23.903626758374
南投縣仁愛鄉中正村2鄰平等巷39號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,39號,120.99259348555,23.903753440359
南投縣仁愛鄉中正村2鄰平等巷40號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,40號,120.99252719102,23.903739621724
南投縣仁愛鄉中正村2鄰平等巷41號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,41號,120.99266164642,23.903763376287
南投縣仁愛鄉中正村2鄰平等巷44號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,44號,120.99338194542,23.904001070441
南投縣仁愛鄉中正村2鄰平等巷44之1號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,44之1號,120.992865855,23.903418000192
南投縣仁愛鄉中正村2鄰平等巷45號,10008,1000813,1000813-002,2鄰,平等巷,,,,,,45號,120.99338048448,23.903759706731
南投縣仁愛鄉中正村3鄰平等巷46號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,46號,120.99292828723,23.904016310429
南投縣仁愛鄉中正村3鄰平等巷47號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,47號,120.99277575943,23.904000501381
南投縣仁愛鄉中正村3鄰平等巷48號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,48號,120.99260241233,23.90394351579
南投縣仁愛鄉中正村3鄰平等巷48之1號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,48之1號,120.99249967909,23.903941433985
南投縣仁愛鄉中正村3鄰平等巷51號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,51號,120.992292743,23.903876409977
南投縣仁愛鄉中正村3鄰平等巷51之1號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,51之1號,120.9923365568,23.903711349409
南投縣仁愛鄉中正村3鄰平等巷51之2號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,51之2號,120.9922970588,23.90397212492
南投縣仁愛鄉中正村3鄰平等巷53號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,53號,120.99211939027,23.903918479554
南投縣仁愛鄉中正村3鄰平等巷55號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,55號,120.9920349259,23.903903847103
南投縣仁愛鄉中正村3鄰平等巷56號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,56號,120.99213255794,23.903806060572
南投縣仁愛鄉中正村3鄰平等巷57號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,57號,120.99186276341,23.903757827983
南投縣仁愛鄉中正村3鄰平等巷57之1號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,57之1號,120.99183329456,23.903825549106
南投縣仁愛鄉中正村3鄰平等巷58號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,58號,120.99182041832,23.903984922471
南投縣仁愛鄉中正村3鄰平等巷59號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,59號,120.99187700917,23.903685049423
南投縣仁愛鄉中正村3鄰平等巷60號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,60號,120.99166103806,23.90361903082
南投縣仁愛鄉中正村3鄰平等巷61號,10008,1000813,1000813-002,3鄰,平等巷,,,,,,61號,120.99170572032,23.903707704806
