FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣鹿谷鄉鳳凰村5鄰廟口巷1號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,1號,120.78413981203,23.734367066244
南投縣鹿谷鄉鳳凰村5鄰廟口巷2號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,2號,120.78423828373,23.734371989496
南投縣鹿谷鄉鳳凰村5鄰廟口巷2之1號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,2之1號,120.7842771282,23.734370869813
南投縣鹿谷鄉鳳凰村5鄰廟口巷3號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,3號,120.78439899578,23.73434476293
南投縣鹿谷鄉鳳凰村5鄰廟口巷3之1號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,3之1號,120.78439639247,23.734376995851
南投縣鹿谷鄉鳳凰村5鄰廟口巷4之1號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,4之1號,120.78455384843,23.734421100369
南投縣鹿谷鄉鳳凰村2鄰廟口巷5號,10008,1000807,1000807-009,2鄰,廟口巷,,,,,,5號,120.78469368291,23.734086197537
南投縣鹿谷鄉鳳凰村5鄰廟口巷6號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,6號,120.78401802398,23.734225849985
南投縣鹿谷鄉鳳凰村5鄰廟口巷6之1號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,6之1號,120.78427014488,23.734263314602
南投縣鹿谷鄉鳳凰村5鄰廟口巷6之2號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,6之2號,120.7843590133,23.73420293859
南投縣鹿谷鄉鳳凰村5鄰廟口巷8號,10008,1000807,1000807-009,5鄰,廟口巷,,,,,,8號,120.78415824632,23.73413258687
南投縣鹿谷鄉鳳凰村4鄰廟口巷13號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,13號,120.7841217842,23.734057046454
南投縣鹿谷鄉鳳凰村3鄰廟口巷14號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,14號,120.78447521906,23.733861952997
南投縣鹿谷鄉鳳凰村3鄰廟口巷14之1號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,14之1號,120.78450774113,23.733888004282
南投縣鹿谷鄉鳳凰村3鄰廟口巷15號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,15號,120.78466746779,23.733743749241
南投縣鹿谷鄉鳳凰村3鄰廟口巷16號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,16號,120.78471939184,23.733900940876
南投縣鹿谷鄉鳳凰村3鄰廟口巷17號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,17號,120.78468215547,23.733878585309
南投縣鹿谷鄉鳳凰村3鄰廟口巷17之3號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,17之3號,120.78514888319,23.733681209954
南投縣鹿谷鄉鳳凰村3鄰廟口巷21號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,21號,120.78483111566,23.733421430897
南投縣鹿谷鄉鳳凰村3鄰廟口巷22號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,22號,120.78466826773,23.733018111813
南投縣鹿谷鄉鳳凰村3鄰廟口巷22之1號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,22之1號,120.78446374784,23.733381820038
南投縣鹿谷鄉鳳凰村3鄰廟口巷22之5號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,22之5號,120.78492531443,23.732861891974
南投縣鹿谷鄉鳳凰村3鄰廟口巷22之10號,10008,1000807,1000807-009,3鄰,廟口巷,,,,,,22之10號,120.78533566268,23.732649809228
南投縣鹿谷鄉鳳凰村4鄰廟口巷24號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,24號,120.7837667794,23.734132942927
南投縣鹿谷鄉鳳凰村4鄰廟口巷25號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,25號,120.78404307163,23.733906770197
南投縣鹿谷鄉鳳凰村4鄰廟口巷27號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,27號,120.78335995994,23.733867437812
南投縣鹿谷鄉鳳凰村4鄰廟口巷29號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,29號,120.7837862715,23.733733309179
南投縣鹿谷鄉鳳凰村4鄰廟口巷30號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,30號,120.78375283233,23.732836508294
南投縣鹿谷鄉鳳凰村4鄰廟口巷30之1號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,30之1號,120.784072138,23.733113087231
南投縣鹿谷鄉鳳凰村4鄰廟口巷31號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,31號,120.78316194627,23.733319319473
南投縣鹿谷鄉鳳凰村4鄰廟口巷31之3號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,31之3號,120.78318338673,23.733047370543
南投縣鹿谷鄉鳳凰村4鄰廟口巷31之7號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,31之7號,120.78302446767,23.732762617149
南投縣鹿谷鄉鳳凰村4鄰廟口巷31之8號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,31之8號,120.78297868917,23.73256814029
南投縣鹿谷鄉鳳凰村4鄰廟口巷31之9號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,31之9號,120.78299256623,23.732421334439
南投縣鹿谷鄉鳳凰村4鄰廟口巷31之11號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,31之11號,120.78268889614,23.731886431287
南投縣鹿谷鄉鳳凰村4鄰廟口巷31之12號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,31之12號,120.78255338504,23.731210085726
南投縣鹿谷鄉鳳凰村4鄰廟口巷32號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,32號,120.78378439214,23.733980634048
南投縣鹿谷鄉鳳凰村4鄰廟口巷33號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,33號,120.78341525131,23.734004136841
南投縣鹿谷鄉鳳凰村4鄰廟口巷33之1號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,33之1號,120.78337916748,23.734234076475
南投縣鹿谷鄉鳳凰村4鄰廟口巷33之3號,10008,1000807,1000807-009,4鄰,廟口巷,,,,,,33之3號,120.78272033813,23.733805859808
南投縣鹿谷鄉鳳凰村6鄰廟口巷37號,10008,1000807,1000807-009,6鄰,廟口巷,,,,,,37號,120.78374883045,23.734251208811
南投縣鹿谷鄉鳳凰村6鄰廟口巷38號,10008,1000807,1000807-009,6鄰,廟口巷,,,,,,38號,120.78369182919,23.734437053611
南投縣鹿谷鄉鳳凰村6鄰廟口巷43號,10008,1000807,1000807-009,6鄰,廟口巷,,,,,,43號,120.78386642238,23.734676498363
南投縣鹿谷鄉鳳凰村6鄰廟口巷43之1號,10008,1000807,1000807-009,6鄰,廟口巷,,,,,,43之1號,120.78377470961,23.734558079165
南投縣鹿谷鄉鳳凰村6鄰廟口巷43之2號,10008,1000807,1000807-009,6鄰,廟口巷,,,,,,43之2號,120.78380791475,23.734586298712
南投縣鹿谷鄉鳳凰村6鄰廟口巷45號,10008,1000807,1000807-009,6鄰,廟口巷,,,,,,45號,120.78399971743,23.73450168621
